SEP=;
y;Ux;Ux_RESID
6.000000;0.966615;0.858796
1.991532;1.078903;0.971084
1.991532;1.078903;0.971084
1.620000;1.087269;0.979450
1.620000;1.087269;0.979450
0.794812;1.099278;0.991459
0.794812;1.099278;0.991459
0.132535;1.107745;0.999926
0.132535;1.107745;0.999926
-1.493144;1.125491;1.017672
-1.493144;1.125491;1.017672
-1.528030;1.125853;1.018035
-1.528030;1.125853;1.018035
-1.579498;1.126325;1.018506
-1.579498;1.126325;1.018506
-3.176771;1.146263;1.038444
-3.176771;1.146263;1.038444
-4.362365;1.161674;1.053855
-4.362365;1.161674;1.053855
-4.879219;1.166128;1.058309
-4.879219;1.166128;1.058309
-5.608821;1.172091;1.064272
-5.608821;1.172091;1.064272
-6.613463;1.180102;1.072283
-6.613463;1.180102;1.072283
-7.246749;1.185159;1.077341
-7.246749;1.185159;1.077341
-8.470339;1.192846;1.085028
-8.470339;1.192846;1.085028
-9.411759;1.193858;1.086039
-9.411759;1.193858;1.086039
-9.938585;1.194103;1.086284
-9.938585;1.194103;1.086284
-11.004815;1.194497;1.086678
-11.004815;1.194497;1.086678
-11.233267;1.194057;1.086238
-11.233267;1.194057;1.086238
-11.383864;1.193283;1.085464
-11.383864;1.193283;1.085464
-12.578317;1.183984;1.076165
-12.578317;1.183984;1.076165
-13.984521;1.173584;1.065766
-13.984521;1.173584;1.065766
-13.991588;1.173501;1.065683
-13.991588;1.173501;1.065683
-13.997875;1.173409;1.065590
-13.997875;1.173409;1.065590
-15.416861;1.159068;1.051249
-15.416861;1.159068;1.051249
-16.988823;1.077918;0.970100
-16.988823;1.077918;0.970100
-17.035738;1.075695;0.967876
-17.035738;1.075695;0.967876
-17.082365;1.072945;0.965126
-17.082365;1.072945;0.965126
-18.654627;1.002678;0.894859
-18.654627;1.002678;0.894859
-20.227731;0.932223;0.824404
-20.227731;0.932223;0.824404
-20.274697;0.930131;0.822312
-20.274697;0.930131;0.822312
-20.321414;0.928032;0.820213
-20.321414;0.928032;0.820213
-21.896607;0.861415;0.753596
-21.896607;0.861415;0.753596
-23.473667;0.790255;0.682436
-23.473667;0.790255;0.682436
-23.528971;0.787365;0.679547
-23.528971;0.787365;0.679547
-23.584874;0.784669;0.676850
-23.584874;0.784669;0.676850
-25.173415;0.706026;0.598207
-25.173415;0.706026;0.598207
-26.698962;0.629059;0.521240
-26.698962;0.629059;0.521240
-26.869950;0.619734;0.511915
-26.869950;0.619734;0.511915
-27.105696;0.606124;0.498305
-27.105696;0.606124;0.498305
-28.671852;0.518809;0.410990
-28.671852;0.518809;0.410990
-29.288376;0.486834;0.379015
-29.288376;0.486834;0.379015
-30.711211;0.412235;0.304416
-30.711211;0.412235;0.304416
-30.879298;0.403344;0.295525
-30.879298;0.403344;0.295525
-31.112098;0.390735;0.282916
-31.112098;0.390735;0.282916
-32.468417;0.314469;0.206650
-32.468417;0.314469;0.206650
-33.713308;0.240856;0.133037
-33.713308;0.240856;0.133037
-34.084060;0.218192;0.110373
-34.084060;0.218192;0.110373
-34.508160;0.191801;0.083982
-34.508160;0.191801;0.083982
-35.680332;0.118706;0.010887
-35.680332;0.118706;0.010887
-36.614819;0.118407;0.010588
-36.614819;0.118407;0.010588
-36.851618;0.118334;0.010515
-36.851618;0.118334;0.010515
-38.273172;0.117893;0.010074
-38.273172;0.117893;0.010074
-38.341680;0.117872;0.010053
-38.341680;0.117872;0.010053
-40.238283;0.117324;0.009505
-40.238283;0.117324;0.009505
-40.288233;0.117311;0.009492
-40.288233;0.117311;0.009492
-42.355222;0.116775;0.008956
-42.355222;0.116775;0.008956
-42.382212;0.116768;0.008950
-42.382212;0.116768;0.008950
-44.532201;0.116200;0.008381
-44.532201;0.116200;0.008381
-44.538802;0.116198;0.008379
-44.538802;0.116198;0.008379
-45.463677;0.115956;0.008138
-45.463677;0.115956;0.008138
-46.727746;0.115643;0.007824
-46.727746;0.115643;0.007824
-46.736732;0.115641;0.007822
-46.736732;0.115641;0.007822
-48.972183;0.115119;0.007300
-48.972183;0.115119;0.007300
-48.991023;0.115115;0.007296
-48.991023;0.115115;0.007296
-51.769212;0.114514;0.006695
-51.769212;0.114514;0.006695
-51.794565;0.114509;0.006690
-51.794565;0.114509;0.006690
-51.838665;0.114500;0.006681
-51.838665;0.114500;0.006681
-55.134045;0.113796;0.005978
-55.134045;0.113796;0.005978
-58.435525;0.113044;0.005225
-58.435525;0.113044;0.005225
-58.485590;0.113035;0.005216
-58.485590;0.113035;0.005216
-58.535567;0.113025;0.005206
-58.535567;0.113025;0.005206
-61.840758;0.112233;0.004414
-61.840758;0.112233;0.004414
-65.159245;0.111589;0.003770
-65.159245;0.111589;0.003770
-65.199888;0.111581;0.003762
-65.199888;0.111581;0.003762
-65.240372;0.111570;0.003751
-65.240372;0.111570;0.003751
-68.559786;0.111137;0.003318
-68.559786;0.111137;0.003318
-71.892883;0.110505;0.002686
-71.892883;0.110505;0.002686
-71.920191;0.110501;0.002682
-71.920191;0.110501;0.002682
-71.947388;0.110499;0.002681
-71.947388;0.110499;0.002681
-75.280419;0.109975;0.002156
-75.280419;0.109975;0.002156
-78.626144;0.109369;0.001550
-78.626144;0.109369;0.001550
-78.640321;0.109365;0.001546
-78.640321;0.109365;0.001546
-78.654445;0.109360;0.001541
-78.654445;0.109360;0.001541
-82.000000;0.108625;0.000806
-82.000000;0.108625;0.000806
-85.990671;0.108225;0.000406
-85.990671;0.108225;0.000406
-85.999995;0.108224;0.000405
-85.999995;0.108224;0.000405
-86.009319;0.108223;0.000405
-86.009319;0.108223;0.000405
-90.000000;0.107819;0.000000
