y,Ux,Ux_RESID,,y,Ux,Ux_RESID,,y,Ux,Ux_RESID
6,0.764271,0.732188,,4.13,-0.215698,-0.248945,,-15.84,0.951861,0.918573
1.991532,0.864441,0.832358,,3.640472,-0.18754,-0.220787,,-15.93818,0.951245,0.917957
1.991532,0.864441,0.832358,,3.640472,-0.18754,-0.220787,,-15.93818,0.951245,0.917957
1.62,0.873064,0.840981,,2.932242,-0.152738,-0.185985,,-16.420766,0.948325,0.915036
1.62,0.873064,0.840981,,2.932242,-0.152738,-0.185985,,-16.420766,0.948325,0.915036
0.794812,0.882383,0.8503,,2.230339,-0.121263,-0.154511,,-16.612731,0.949479,0.91619
0.794812,0.882383,0.8503,,2.230339,-0.121263,-0.154511,,-16.612731,0.949479,0.91619
0.132535,0.890927,0.858844,,1.647629,-0.103393,-0.136641,,-17.179667,0.952849,0.919561
0.132535,0.890927,0.858844,,1.647629,-0.103393,-0.136641,,-17.179667,0.952849,0.919561
-1.493144,0.917213,0.88513,,1.043278,-0.08832,-0.121567,,-17.250827,0.952551,0.919263
-1.493144,0.917213,0.88513,,1.043278,-0.08832,-0.121567,,-17.250827,0.952551,0.919263
-1.52803,0.917686,0.885603,,0.323513,-0.076989,-0.110236,,-17.458285,0.950118,0.916829
-1.52803,0.917686,0.885603,,0.323513,-0.076989,-0.110236,,-17.458285,0.950118,0.916829
-1.579498,0.918259,0.886176,,-0.329471,-0.067445,-0.100692,,-17.900965,0.939195,0.905906
-1.579498,0.918259,0.886176,,-0.329471,-0.067445,-0.100692,,-17.900965,0.939195,0.905906
-3.176771,0.932156,0.900073,,-1.018151,-0.060009,-0.093256,,-18.058573,0.934726,0.901437
-3.176771,0.932156,0.900073,,-1.018151,-0.060009,-0.093256,,-18.058573,0.934726,0.901437
-4.362365,0.948688,0.916605,,-1.791563,-0.05104,-0.084287,,-18.599738,0.916199,0.88291
-4.362365,0.948688,0.916605,,-1.791563,-0.05104,-0.084287,,-18.599738,0.916199,0.88291
-4.879219,0.955704,0.923621,,-2.372274,-0.044592,-0.077839,,-18.978733,0.90064,0.867351
-4.879219,0.955704,0.923621,,-2.372274,-0.044592,-0.077839,,-18.978733,0.90064,0.867351
-5.608821,0.962958,0.930875,,-2.88668,-0.039219,-0.072466,,-19.364062,0.88422,0.850932
-5.608821,0.962958,0.930875,,-2.88668,-0.039219,-0.072466,,-19.364062,0.88422,0.850932
-6.613463,0.971271,0.939188,,-3.739554,-0.030829,-0.064076,,-20.038749,0.854205,0.820916
-6.613463,0.971271,0.939188,,-3.739554,-0.030829,-0.064076,,-20.038749,0.854205,0.820916
-7.246749,0.975966,0.943883,,-4.686711,-0.021677,-0.054924,,-20.259664,0.84437,0.811081
-7.246749,0.975966,0.943883,,-4.686711,-0.021677,-0.054924,,-20.259664,0.84437,0.811081
-8.470339,0.985475,0.953392,,-5.123454,-0.017998,-0.051246,,-20.621602,0.830516,0.797227
-8.470339,0.985475,0.953392,,-5.123454,-0.017998,-0.051246,,-20.621602,0.830516,0.797227
-9.411759,0.988639,0.956555,,-5.533693,-0.014977,-0.048224,,-21.077457,0.812443,0.779155
-9.411759,0.988639,0.956555,,-5.533693,-0.014977,-0.048224,,-21.077457,0.812443,0.779155
-9.938585,0.987757,0.955674,,-6.521876,-0.009928,-0.043176,,-21.377287,0.801781,0.768492
-9.938585,0.987757,0.955674,,-6.521876,-0.009928,-0.043176,,-21.377287,0.801781,0.768492
-11.004815,0.988777,0.956693,,-7.558913,-0.006417,-0.039664,,-21.847416,0.784966,0.751678
-11.004815,0.988777,0.956693,,-7.558913,-0.006417,-0.039664,,-21.847416,0.784966,0.751678
-11.233267,0.989838,0.957755,,-7.939321,-0.005481,-0.038728,,-22.47106,0.764071,0.730782
-11.233267,0.989838,0.957755,,-7.939321,-0.005481,-0.038728,,-22.47106,0.764071,0.730782
-11.383864,0.989787,0.957704,,-8.324662,-0.00456,-0.037807,,-22.707244,0.755779,0.72249
-11.383864,0.989787,0.957704,,-8.324662,-0.00456,-0.037807,,-22.707244,0.755779,0.72249
-12.578317,0.98287,0.950787,,-9.371298,-0.004265,-0.037512,,-23.590001,0.730311,0.697022
-12.578317,0.98287,0.950787,,-9.371298,-0.004265,-0.037512,,-23.590001,0.730311,0.697022
-13.984521,0.974263,0.94218,,-10.399242,-0.004073,-0.037321,,-24.541578,0.681852,0.648563
-13.984521,0.974263,0.94218,,-10.399242,-0.004073,-0.037321,,-24.541578,0.681852,0.648563
-13.991588,0.974229,0.942146,,-10.821713,-0.00413,-0.037377,,-24.627011,0.677467,0.644179
-13.991588,0.974229,0.942146,,-10.821713,-0.00413,-0.037377,,-24.627011,0.677467,0.644179
-13.997875,0.974213,0.94213,,-11.282637,-0.004399,-0.037646,,-25.50282,0.633937,0.600648
-13.997875,0.974213,0.94213,,-11.282637,-0.004399,-0.037646,,-25.50282,0.633937,0.600648
-15.416861,0.964356,0.932273,,-12.285706,-0.004503,-0.03775,,-26.027486,0.60854,0.575252
-15.416861,0.964356,0.932273,,-12.285706,-0.004503,-0.03775,,-26.027486,0.60854,0.575252
-16.988823,0.905519,0.873436,,-13.197465,-0.005492,-0.038739,,-26.465904,0.587963,0.554674
-16.988823,0.905519,0.873436,,-13.197465,-0.005492,-0.038739,,-26.465904,0.587963,0.554674
-17.035738,0.903585,0.871502,,-13.76427,-0.006581,-0.039828,,-27.400393,0.541088,0.507799
-17.035738,0.903585,0.871502,,-13.76427,-0.006581,-0.039828,,-27.400393,0.541088,0.507799
-17.082365,0.901793,0.86971,,-14.443306,-0.00787,-0.041117,,-27.43004,0.539658,0.50637
-17.082365,0.901793,0.86971,,-14.443306,-0.00787,-0.041117,,-27.43004,0.539658,0.50637
-18.654627,0.845674,0.813591,,-15.253482,-0.009445,-0.042692,,-27.498673,0.536685,0.503396
-18.654627,0.845674,0.813591,,-15.253482,-0.009445,-0.042692,,-27.498673,0.536685,0.503396
-20.227731,0.790608,0.758524,,-15.931696,-0.010702,-0.043949,,-28.403061,0.488618,0.455329
-20.227731,0.790608,0.758524,,-15.931696,-0.010702,-0.043949,,-28.403061,0.488618,0.455329
-20.274697,0.788925,0.756842,,-16.750315,-0.011728,-0.044976,,-28.866986,0.464179,0.43089
-20.274697,0.788925,0.756842,,-16.750315,-0.011728,-0.044976,,-28.866986,0.464179,0.43089
-20.321414,0.787345,0.755262,,-17.509355,-0.030627,-0.063874,,-29.374113,0.435791,0.402503
-20.321414,0.787345,0.755262,,-17.509355,-0.030627,-0.063874,,-29.374113,0.435791,0.402503
-21.896607,0.732559,0.700476,,-18.214402,-0.047131,-0.080379,,-30.347143,0.384162,0.350873
-21.896607,0.732559,0.700476,,-18.214402,-0.047131,-0.080379,,-30.347143,0.384162,0.350873
-23.473667,0.67324,0.641157,,-19.165461,-0.058159,-0.091406,,-31.451918,0.326552,0.293264
-23.473667,0.67324,0.641157,,-19.165461,-0.058159,-0.091406,,-31.451918,0.326552,0.293264
-23.528971,0.670941,0.638858,,-19.711892,-0.057109,-0.090356,,-31.511313,0.323152,0.289864
