SEP=;
y;Uy;Uy_RESID
6.000000;-0.178209;-0.176603
1.880631;-0.173592;-0.171986
1.880631;-0.173592;-0.171986
1.620000;-0.172759;-0.171152
1.620000;-0.172759;-0.171152
0.053849;-0.163794;-0.162188
0.053849;-0.163794;-0.162188
-0.054863;-0.163175;-0.161569
-0.054863;-0.163175;-0.161569
-0.347102;-0.161654;-0.160048
-0.347102;-0.161654;-0.160048
-1.683496;-0.157350;-0.155744
-1.683496;-0.157350;-0.155744
-2.098936;-0.155972;-0.154365
-2.098936;-0.155972;-0.154365
-3.344650;-0.146178;-0.144572
-3.344650;-0.146178;-0.144572
-3.959464;-0.143993;-0.142386
-3.959464;-0.143993;-0.142386
-5.360748;-0.137313;-0.135707
-5.360748;-0.137313;-0.135707
-5.752715;-0.133261;-0.131655
-5.752715;-0.133261;-0.131655
-6.044497;-0.130325;-0.128719
-6.044497;-0.130325;-0.128719
-7.426024;-0.126069;-0.124463
-7.426024;-0.126069;-0.124463
-8.996001;-0.120139;-0.118533
-8.996001;-0.120139;-0.118533
-9.055002;-0.119740;-0.118134
-9.055002;-0.119740;-0.118134
-9.112178;-0.119367;-0.117761
-9.112178;-0.119367;-0.117761
-10.663531;-0.111574;-0.109968
-10.663531;-0.111574;-0.109968
-12.149751;-0.099533;-0.097927
-12.149751;-0.099533;-0.097927
-12.262309;-0.098550;-0.096944
-12.262309;-0.098550;-0.096944
-12.389326;-0.097382;-0.095776
-12.389326;-0.097382;-0.095776
-13.849617;-0.084707;-0.083101
-13.849617;-0.084707;-0.083101
-15.143862;-0.074784;-0.073178
-15.143862;-0.074784;-0.073178
-15.416861;-0.072865;-0.071259
-15.416861;-0.072865;-0.071259
-15.686816;-0.070885;-0.069279
-15.686816;-0.070885;-0.069279
-16.782356;-0.063021;-0.061415
-16.782356;-0.063021;-0.061415
-17.904021;-0.054968;-0.053362
-17.904021;-0.054968;-0.053362
-18.145440;-0.053577;-0.051971
-18.145440;-0.053577;-0.051971
-18.379634;-0.052321;-0.050715
-18.379634;-0.052321;-0.050715
-19.505186;-0.046674;-0.045068
-19.505186;-0.046674;-0.045068
-20.658648;-0.040889;-0.039283
-20.658648;-0.040889;-0.039283
-20.856465;-0.039950;-0.038344
-20.856465;-0.039950;-0.038344
-21.045441;-0.039041;-0.037435
-21.045441;-0.039041;-0.037435
-22.200053;-0.033776;-0.032170
-22.200053;-0.033776;-0.032170
-23.422780;-0.029268;-0.027662
-23.422780;-0.029268;-0.027662
-23.531996;-0.028817;-0.027211
-23.531996;-0.028817;-0.027211
-23.629266;-0.028422;-0.026816
-23.629266;-0.028422;-0.026816
-24.861776;-0.024017;-0.022411
-24.861776;-0.024017;-0.022411
