SEP=;
y;Ux;Ux_RESID
5.000000;-0.175698;-0.182178
3.850000;-0.178632;-0.185111
3.850000;-0.178632;-0.185111
2.265514;-0.181626;-0.188106
2.265514;-0.181626;-0.188106
1.192446;-0.183210;-0.189689
1.192446;-0.183210;-0.189689
0.780966;-0.183837;-0.190316
0.780966;-0.183837;-0.190316
-0.543638;-0.184211;-0.190691
-0.543638;-0.184211;-0.190691
-0.835361;-0.184058;-0.190538
-0.835361;-0.184058;-0.190538
-2.127931;-0.184907;-0.191386
-2.127931;-0.184907;-0.191386
-2.362387;-0.184813;-0.191293
-2.362387;-0.184813;-0.191293
-3.616243;-0.185341;-0.191821
-3.616243;-0.185341;-0.191821
-3.841090;-0.185607;-0.192087
-3.841090;-0.185607;-0.192087
-5.053893;-0.185328;-0.191808
-5.053893;-0.185328;-0.191808
-5.277683;-0.184986;-0.191465
-5.277683;-0.184986;-0.191465
-6.449597;-0.184099;-0.190579
-6.449597;-0.184099;-0.190579
-6.675959;-0.183525;-0.190005
-6.675959;-0.183525;-0.190005
-7.805668;-0.182100;-0.188579
-7.805668;-0.182100;-0.188579
-8.038373;-0.181920;-0.188400
-8.038373;-0.181920;-0.188400
-9.123248;-0.182053;-0.188532
-9.123248;-0.182053;-0.188532
-9.369771;-0.180832;-0.187312
-9.369771;-0.180832;-0.187312
-10.404280;-0.178843;-0.185323
-10.404280;-0.178843;-0.185323
-10.684937;-0.178339;-0.184819
-10.684937;-0.178339;-0.184819
-11.652001;-0.177211;-0.183691
-11.652001;-0.177211;-0.183691
-12.054670;-0.177108;-0.183588
-12.054670;-0.177108;-0.183588
-12.876637;-0.177145;-0.183625
-12.876637;-0.177145;-0.183625
-13.675295;-0.176299;-0.182778
-13.675295;-0.176299;-0.182778
-14.093429;-0.174449;-0.180929
-14.093429;-0.174449;-0.180929
-14.446025;-0.166327;-0.172806
-14.446025;-0.166327;-0.172806
-15.123604;-0.149853;-0.156332
-15.123604;-0.149853;-0.156332
-15.830485;-0.130116;-0.136596
-15.830485;-0.130116;-0.136596
-16.154183;-0.120288;-0.126768
-16.154183;-0.120288;-0.126768
-16.469694;-0.111272;-0.117751
-16.469694;-0.111272;-0.117751
-17.185879;-0.090984;-0.097464
-17.185879;-0.090984;-0.097464
-17.871214;-0.071645;-0.078125
-17.871214;-0.071645;-0.078125
-18.216374;-0.060833;-0.067313
-18.216374;-0.060833;-0.067313
-18.620514;-0.048673;-0.055153
-18.620514;-0.048673;-0.055153
-19.236802;-0.029535;-0.036015
-19.236802;-0.029535;-0.036015
-19.670873;-0.015737;-0.022217
-19.670873;-0.015737;-0.022217
-20.214571;0.003126;-0.003354
-20.214571;0.003126;-0.003354
-20.726098;0.003155;-0.003325
-20.726098;0.003155;-0.003325
-21.173106;0.003177;-0.003302
-21.173106;0.003177;-0.003302
-22.120992;0.003224;-0.003255
-22.120992;0.003224;-0.003255
-22.387338;0.003240;-0.003239
-22.387338;0.003240;-0.003239
-22.598394;0.003252;-0.003227
-22.598394;0.003252;-0.003227
-23.605063;0.003317;-0.003163
-23.605063;0.003317;-0.003163
-24.646169;0.003391;-0.003089
-24.646169;0.003391;-0.003089
-24.895504;0.003410;-0.003070
-24.895504;0.003410;-0.003070
-25.163075;0.003430;-0.003049
-25.163075;0.003430;-0.003049
-26.242691;0.003518;-0.002962
-26.242691;0.003518;-0.002962
-27.287741;0.003603;-0.002877
-27.287741;0.003603;-0.002877
-27.654057;0.003634;-0.002846
-27.654057;0.003634;-0.002846
-28.012615;0.003665;-0.002814
-28.012615;0.003665;-0.002814
-29.065596;0.003755;-0.002724
-29.065596;0.003755;-0.002724
-29.989843;0.003825;-0.002654
-29.989843;0.003825;-0.002654
-30.862729;0.003890;-0.002590
-30.862729;0.003890;-0.002590
-32.017192;0.003972;-0.002508
-32.017192;0.003972;-0.002508
-33.405156;0.004054;-0.002426
-33.405156;0.004054;-0.002426
-34.970340;0.004130;-0.002349
-34.970340;0.004130;-0.002349
-35.933357;0.004169;-0.002311
-35.933357;0.004169;-0.002311
-36.786679;0.004209;-0.002271
-36.786679;0.004209;-0.002271
-38.460808;0.004260;-0.002219
-38.460808;0.004260;-0.002219
-40.342191;0.004380;-0.002100
-40.342191;0.004380;-0.002100
-41.000176;0.004423;-0.002056
-41.000176;0.004423;-0.002056
-41.592173;0.004457;-0.002023
-41.592173;0.004457;-0.002023
-43.550850;0.004575;-0.001905
-43.550850;0.004575;-0.001905
-45.676605;0.004667;-0.001813
-45.676605;0.004667;-0.001813
-46.107591;0.004688;-0.001792
-46.107591;0.004688;-0.001792
-46.479329;0.004703;-0.001776
-46.479329;0.004703;-0.001776
-48.628729;0.004801;-0.001679
-48.628729;0.004801;-0.001679
-50.733760;0.004865;-0.001615
-50.733760;0.004865;-0.001615
-52.132017;0.004855;-0.001624
-52.132017;0.004855;-0.001624
-54.343381;0.004733;-0.001747
-54.343381;0.004733;-0.001747
-57.166789;0.004701;-0.001779
-57.166789;0.004701;-0.001779
-59.955833;0.004808;-0.001672
-59.955833;0.004808;-0.001672
-62.160653;0.004915;-0.001564
-62.160653;0.004915;-0.001564
-64.391997;0.005021;-0.001459
-64.391997;0.005021;-0.001459
-67.133491;0.005182;-0.001297
-67.133491;0.005182;-0.001297
-69.817384;0.005446;-0.001034
-69.817384;0.005446;-0.001034
-72.094027;0.005627;-0.000853
-72.094027;0.005627;-0.000853
-74.428892;0.005769;-0.000711
-74.428892;0.005769;-0.000711
-77.048330;0.005943;-0.000537
-77.048330;0.005943;-0.000537
-79.592673;0.006118;-0.000361
-79.592673;0.006118;-0.000361
-82.000000;0.006240;-0.000240
-82.000000;0.006240;-0.000240
-84.466638;0.006296;-0.000184
-84.466638;0.006296;-0.000184
-86.999942;0.006356;-0.000124
-86.999942;0.006356;-0.000124
-89.533305;0.006417;-0.000062
-89.533305;0.006417;-0.000062
-92.000000;0.006480;0.000000
