SEP=;
y;Ux;Ux_RESID
5.000000;-0.318685;-0.336877
3.850000;-0.319985;-0.338177
3.850000;-0.319985;-0.338177
2.265514;-0.317132;-0.335324
2.265514;-0.317132;-0.335324
1.192446;-0.316067;-0.334259
1.192446;-0.316067;-0.334259
0.780966;-0.315332;-0.333524
0.780966;-0.315332;-0.333524
-0.543638;-0.315286;-0.333478
-0.543638;-0.315286;-0.333478
-0.835361;-0.315623;-0.333815
-0.835361;-0.315623;-0.333815
-2.127931;-0.314101;-0.332294
-2.127931;-0.314101;-0.332294
-2.362387;-0.313734;-0.331926
-2.362387;-0.313734;-0.331926
-3.616243;-0.309577;-0.327769
-3.616243;-0.309577;-0.327769
-3.841090;-0.308906;-0.327098
-3.841090;-0.308906;-0.327098
-5.053893;-0.308935;-0.327127
-5.053893;-0.308935;-0.327127
-5.277683;-0.309098;-0.327290
-5.277683;-0.309098;-0.327290
-6.449597;-0.309600;-0.327793
-6.449597;-0.309600;-0.327793
-6.675959;-0.309860;-0.328052
-6.675959;-0.309860;-0.328052
-7.805668;-0.309983;-0.328175
-7.805668;-0.309983;-0.328175
-8.038373;-0.309972;-0.328164
-8.038373;-0.309972;-0.328164
-9.123248;-0.308438;-0.326630
-9.123248;-0.308438;-0.326630
-9.369771;-0.307986;-0.326178
-9.369771;-0.307986;-0.326178
-10.404280;-0.304993;-0.323185
-10.404280;-0.304993;-0.323185
-10.684937;-0.303534;-0.321726
-10.684937;-0.303534;-0.321726
-11.652001;-0.299258;-0.317450
-11.652001;-0.299258;-0.317450
-12.054670;-0.298079;-0.316271
-12.054670;-0.298079;-0.316271
-12.876637;-0.293403;-0.311596
-12.876637;-0.293403;-0.311596
-13.675295;-0.289251;-0.307443
-13.675295;-0.289251;-0.307443
-14.093429;-0.286856;-0.305048
-14.093429;-0.286856;-0.305048
-14.446025;-0.280679;-0.298872
-14.446025;-0.280679;-0.298872
-15.123604;-0.262519;-0.280711
-15.123604;-0.262519;-0.280711
-15.830485;-0.239275;-0.257467
-15.830485;-0.239275;-0.257467
-16.154183;-0.227041;-0.245233
-16.154183;-0.227041;-0.245233
-16.469694;-0.213990;-0.232182
-16.469694;-0.213990;-0.232182
-17.185879;-0.179261;-0.197453
-17.185879;-0.179261;-0.197453
-17.871214;-0.142316;-0.160508
-17.871214;-0.142316;-0.160508
-18.216374;-0.123130;-0.141322
-18.216374;-0.123130;-0.141322
-18.620514;-0.099558;-0.117750
-18.620514;-0.099558;-0.117750
-19.236802;-0.062331;-0.080524
-19.236802;-0.062331;-0.080524
-19.670873;-0.032400;-0.050593
-19.670873;-0.032400;-0.050593
-20.214571;0.013907;-0.004285
-20.214571;0.013907;-0.004285
-20.726098;0.013900;-0.004293
-20.726098;0.013900;-0.004293
-21.173106;0.013898;-0.004294
-21.173106;0.013898;-0.004294
-22.120992;0.013898;-0.004294
-22.120992;0.013898;-0.004294
-22.387338;0.013900;-0.004292
-22.387338;0.013900;-0.004292
-22.598394;0.013904;-0.004288
-22.598394;0.013904;-0.004288
-23.605063;0.013926;-0.004266
