SEP=;
y;Uy;Uy_RESID
5.000000;-0.084101;-0.081698
3.850000;-0.084224;-0.081821
3.850000;-0.084224;-0.081821
2.265514;-0.077532;-0.075129
2.265514;-0.077532;-0.075129
1.192446;-0.072632;-0.070228
1.192446;-0.072632;-0.070228
0.780966;-0.070911;-0.068508
0.780966;-0.070911;-0.068508
-0.543638;-0.064983;-0.062580
-0.543638;-0.064983;-0.062580
-0.835361;-0.063663;-0.061260
-0.835361;-0.063663;-0.061260
-2.127931;-0.059974;-0.057570
-2.127931;-0.059974;-0.057570
-2.362387;-0.059084;-0.056680
-2.362387;-0.059084;-0.056680
-3.616243;-0.054309;-0.051906
-3.616243;-0.054309;-0.051906
-3.841090;-0.053569;-0.051165
-3.841090;-0.053569;-0.051165
-5.053893;-0.049934;-0.047530
-5.053893;-0.049934;-0.047530
-5.277683;-0.049337;-0.046934
-5.277683;-0.049337;-0.046934
-6.449597;-0.045177;-0.042773
-6.449597;-0.045177;-0.042773
-6.675959;-0.044253;-0.041849
-6.675959;-0.044253;-0.041849
-7.805668;-0.040073;-0.037670
-7.805668;-0.040073;-0.037670
-8.038373;-0.039185;-0.036782
-8.038373;-0.039185;-0.036782
-9.123248;-0.035725;-0.033321
-9.123248;-0.035725;-0.033321
-9.369771;-0.034549;-0.032146
-9.369771;-0.034549;-0.032146
-10.404280;-0.030061;-0.027658
-10.404280;-0.030061;-0.027658
-10.684937;-0.029184;-0.026780
-10.684937;-0.029184;-0.026780
-11.652001;-0.026029;-0.023626
-11.652001;-0.026029;-0.023626
-12.054670;-0.024171;-0.021768
-12.054670;-0.024171;-0.021768
-12.876637;-0.019591;-0.017187
-12.876637;-0.019591;-0.017187
-13.675295;-0.016916;-0.014513
-13.675295;-0.016916;-0.014513
-14.093429;-0.015744;-0.013341
-14.093429;-0.015744;-0.013341
-14.446025;-0.014760;-0.012356
-14.446025;-0.014760;-0.012356
-15.123604;-0.013208;-0.010804
-15.123604;-0.013208;-0.010804
-15.830485;-0.011100;-0.008697
-15.830485;-0.011100;-0.008697
-16.154183;-0.009954;-0.007550
-16.154183;-0.009954;-0.007550
-16.469694;-0.009109;-0.006705
-16.469694;-0.009109;-0.006705
-17.185879;-0.007081;-0.004678
-17.185879;-0.007081;-0.004678
-17.871214;-0.005403;-0.002999
-17.871214;-0.005403;-0.002999
-18.216374;-0.004726;-0.002322
-18.216374;-0.004726;-0.002322
-18.620514;-0.003945;-0.001541
