SEP=;
y;Uy;Uy_RESID
5.000000;-0.192532;-0.184658
3.850000;-0.192788;-0.184914
3.850000;-0.192788;-0.184914
2.265514;-0.177308;-0.169433
2.265514;-0.177308;-0.169433
1.192446;-0.167075;-0.159201
1.192446;-0.167075;-0.159201
0.780966;-0.163740;-0.155866
0.780966;-0.163740;-0.155866
-0.543638;-0.148294;-0.140419
-0.543638;-0.148294;-0.140419
-0.835361;-0.144763;-0.136889
-0.835361;-0.144763;-0.136889
-2.127931;-0.128963;-0.121088
-2.127931;-0.128963;-0.121088
-2.362387;-0.125626;-0.117751
-2.362387;-0.125626;-0.117751
-3.616243;-0.111265;-0.103391
-3.616243;-0.111265;-0.103391
-3.841090;-0.109089;-0.101215
-3.841090;-0.109089;-0.101215
-5.053893;-0.096227;-0.088352
-5.053893;-0.096227;-0.088352
-5.277683;-0.093398;-0.085524
-5.277683;-0.093398;-0.085524
-6.449597;-0.080781;-0.072906
-6.449597;-0.080781;-0.072906
-6.675959;-0.078199;-0.070324
-6.675959;-0.078199;-0.070324
-7.805668;-0.068145;-0.060271
-7.805668;-0.068145;-0.060271
-8.038373;-0.066266;-0.058391
-8.038373;-0.066266;-0.058391
-9.123248;-0.058280;-0.050406
-9.123248;-0.058280;-0.050406
-9.369771;-0.056315;-0.048440
-9.369771;-0.056315;-0.048440
-10.404280;-0.049228;-0.041353
-10.404280;-0.049228;-0.041353
-10.684937;-0.048022;-0.040148
-10.684937;-0.048022;-0.040148
-11.652001;-0.043124;-0.035250
-11.652001;-0.043124;-0.035250
-12.054670;-0.040447;-0.032573
-12.054670;-0.040447;-0.032573
-12.876637;-0.036222;-0.028347
-12.876637;-0.036222;-0.028347
-13.675295;-0.032040;-0.024166
-13.675295;-0.032040;-0.024166
-14.093429;-0.029873;-0.021999
-14.093429;-0.029873;-0.021999
-14.446025;-0.028362;-0.020487
-14.446025;-0.028362;-0.020487
-15.123604;-0.025395;-0.017521
-15.123604;-0.025395;-0.017521
-15.830485;-0.022389;-0.014515
-15.830485;-0.022389;-0.014515
-16.154183;-0.021078;-0.013204
-16.154183;-0.021078;-0.013204
-16.469694;-0.019923;-0.012048
-16.469694;-0.019923;-0.012048
-17.185879;-0.016845;-0.008970
-17.185879;-0.016845;-0.008970
-17.871214;-0.014616;-0.006741
-17.871214;-0.014616;-0.006741
-18.216374;-0.013334;-0.005460
-18.216374;-0.013334;-0.005460
-18.620514;-0.012079;-0.004205
-18.620514;-0.012079;-0.004205
-19.236802;-0.010251;-0.002377
-19.236802;-0.010251;-0.002377
-19.670873;-0.009410;-0.001536
-19.670873;-0.009410;-0.001536
-20.214571;-0.009010;-0.001135
-20.214571;-0.009010;-0.001135
-20.726098;-0.009020;-0.001146
-20.726098;-0.009020;-0.001146
-21.173106;-0.009024;-0.001150
-21.173106;-0.009024;-0.001150
-22.120992;-0.009037;-0.001163
-22.120992;-0.009037;-0.001163
-22.387338;-0.009042;-0.001167
-22.387338;-0.009042;-0.001167
-22.598394;-0.009044;-0.001170
-22.598394;-0.009044;-0.001170
-23.605063;-0.009054;-0.001180
-23.605063;-0.009054;-0.001180
-24.646169;-0.009066;-0.001192
-24.646169;-0.009066;-0.001192
-24.895504;-0.009069;-0.001195
-24.895504;-0.009069;-0.001195
-25.163075;-0.009072;-0.001197
-25.163075;-0.009072;-0.001197
-26.242691;-0.009081;-0.001206
-26.242691;-0.009081;-0.001206
-27.287741;-0.009091;-0.001217
-27.287741;-0.009091;-0.001217
-27.654057;-0.009094;-0.001219
-27.654057;-0.009094;-0.001219
-28.012615;-0.009095;-0.001221
-28.012615;-0.009095;-0.001221
-29.065596;-0.009096;-0.001222
-29.065596;-0.009096;-0.001222
-29.989843;-0.009092;-0.001218
-29.989843;-0.009092;-0.001218
-30.862729;-0.009089;-0.001214
