SEP=;
y;Ux;Ux_RESID
-4.000000;-0.200668;-0.207069
-4.019500;-0.200667;-0.207068
-4.019500;-0.200667;-0.207068
-5.098962;-0.204637;-0.211038
-5.098962;-0.204637;-0.211038
-5.815086;-0.211597;-0.217998
-5.815086;-0.211597;-0.217998
-6.180468;-0.215159;-0.221560
-6.180468;-0.215159;-0.221560
-6.597485;-0.218068;-0.224469
-6.597485;-0.218068;-0.224469
-7.246656;-0.220117;-0.226518
-7.246656;-0.220117;-0.226518
-7.856699;-0.220162;-0.226562
-7.856699;-0.220162;-0.226562
-8.291422;-0.219252;-0.225653
-8.291422;-0.219252;-0.225653
-8.685511;-0.218322;-0.224722
-8.685511;-0.218322;-0.224722
-9.319146;-0.215530;-0.221930
-9.319146;-0.215530;-0.221930
-10.089521;-0.212050;-0.218450
-10.089521;-0.212050;-0.218450
-10.323654;-0.210852;-0.217253
-10.323654;-0.210852;-0.217253
-10.503056;-0.209952;-0.216353
-10.503056;-0.209952;-0.216353
-11.313500;-0.206637;-0.213038
-11.313500;-0.206637;-0.213038
-12.196008;-0.203780;-0.210181
-12.196008;-0.203780;-0.210181
-12.280544;-0.203398;-0.209799
-12.280544;-0.203398;-0.209799
-12.398760;-0.202861;-0.209261
-12.398760;-0.202861;-0.209261
-13.224032;-0.194746;-0.201146
-13.224032;-0.194746;-0.201146
-13.819376;-0.178760;-0.185161
-13.819376;-0.178760;-0.185161
-14.100000;-0.166880;-0.173280
-14.100000;-0.166880;-0.173280
-15.140184;-0.150927;-0.157327
-15.140184;-0.150927;-0.157327
-15.140943;-0.150915;-0.157316
-15.140943;-0.150915;-0.157316
-15.141792;-0.150903;-0.157303
-15.141792;-0.150903;-0.157303
-16.228299;-0.131573;-0.137974
-16.228299;-0.131573;-0.137974
-16.902449;-0.116278;-0.122679
-16.902449;-0.116278;-0.122679
-17.194479;-0.109805;-0.116206
-17.194479;-0.109805;-0.116206
-17.598199;-0.101392;-0.107793
-17.598199;-0.101392;-0.107793
-18.145011;-0.088885;-0.095286
-18.145011;-0.088885;-0.095286
-18.542270;-0.078974;-0.085375
-18.542270;-0.078974;-0.085375
-19.085397;-0.063264;-0.069664
-19.085397;-0.063264;-0.069664
-19.825628;-0.038669;-0.045070
-19.825628;-0.038669;-0.045070
-20.020520;-0.031929;-0.038330
-20.020520;-0.031929;-0.038330
-20.166296;-0.026706;-0.033107
-20.166296;-0.026706;-0.033107
-20.952767;0.004592;-0.001809
-20.952767;0.004592;-0.001809
-21.576470;0.004587;-0.001813
-21.576470;0.004587;-0.001813
-21.818446;0.004586;-0.001814
-21.818446;0.004586;-0.001814
-22.161970;0.004587;-0.001814
-22.161970;0.004587;-0.001814
-22.816630;0.004595;-0.001805
-22.816630;0.004595;-0.001805
-23.327838;0.004606;-0.001795
-23.327838;0.004606;-0.001795
-23.986872;0.004623;-0.001778
-23.986872;0.004623;-0.001778
-24.698228;0.004641;-0.001760
-24.698228;0.004641;-0.001760
-25.197790;0.004656;-0.001745
-25.197790;0.004656;-0.001745
-25.744546;0.004672;-0.001729
-25.744546;0.004672;-0.001729
-26.422679;0.004693;-0.001707
-26.422679;0.004693;-0.001707
-27.034786;0.004713;-0.001688
-27.034786;0.004713;-0.001688
-27.663762;0.004734;-0.001667
-27.663762;0.004734;-0.001667
-28.419292;0.004759;-0.001642
-28.419292;0.004759;-0.001642
-28.915091;0.004776;-0.001625
-28.915091;0.004776;-0.001625
-29.351495;0.004790;-0.001610
-29.351495;0.004790;-0.001610
-30.192473;0.004818;-0.001582
-30.192473;0.004818;-0.001582
-30.967124;0.004844;-0.001557
-30.967124;0.004844;-0.001557
-31.850061;0.004871;-0.001530
-31.850061;0.004871;-0.001530
-33.009425;0.004903;-0.001498
-33.009425;0.004903;-0.001498
-34.222542;0.004942;-0.001459
-34.222542;0.004942;-0.001459
-35.601666;0.004987;-0.001414
-35.601666;0.004987;-0.001414
-36.631363;0.005010;-0.001390
-36.631363;0.005010;-0.001390
-37.588682;0.005030;-0.001370
-37.588682;0.005030;-0.001370
-39.074687;0.005061;-0.001340
-39.074687;0.005061;-0.001340
-40.696137;0.005097;-0.001304
-40.696137;0.005097;-0.001304
-41.540496;0.005112;-0.001289
-41.540496;0.005112;-0.001289
-42.319429;0.005128;-0.001273
-42.319429;0.005128;-0.001273
-44.013627;0.005179;-0.001222
-44.013627;0.005179;-0.001222
-45.863071;0.005209;-0.001192
-45.863071;0.005209;-0.001192
-46.490373;0.005215;-0.001186
-46.490373;0.005215;-0.001186
-47.016078;0.005216;-0.001185
-47.016078;0.005216;-0.001185
-48.922680;0.005257;-0.001144
-48.922680;0.005257;-0.001144
-51.031251;0.005331;-0.001070
-51.031251;0.005331;-0.001070
-52.346008;0.005363;-0.001037
-52.346008;0.005363;-0.001037
-54.546858;0.005372;-0.001028
-54.546858;0.005372;-0.001028
-57.295937;0.005325;-0.001076
-57.295937;0.005325;-0.001076
-59.854542;0.005317;-0.001084
-59.854542;0.005317;-0.001084
-62.241194;0.005376;-0.001025
-62.241194;0.005376;-0.001025
-64.781092;0.005472;-0.000929
-64.781092;0.005472;-0.000929
-67.183109;0.005560;-0.000841
-67.183109;0.005560;-0.000841
-69.450992;0.005644;-0.000757
-69.450992;0.005644;-0.000757
-72.122870;0.005785;-0.000616
-72.122870;0.005785;-0.000616
-74.933405;0.005941;-0.000460
-74.933405;0.005941;-0.000460
-77.061755;0.006065;-0.000336
-77.061755;0.006065;-0.000336
-79.087747;0.006224;-0.000177
-79.087747;0.006224;-0.000177
-82.000000;0.006388;-0.000012
-82.000000;0.006388;-0.000012
-85.018465;0.006391;-0.000009
-85.018465;0.006391;-0.000009
-86.999930;0.006393;-0.000008
-86.999930;0.006393;-0.000008
-88.981428;0.006396;-0.000005
-88.981428;0.006396;-0.000005
-92.000000;0.006401;0.000000
