SEP=;
y;Ux;Ux_RESID
-4.000000;-0.275816;-0.279571
-4.019500;-0.276037;-0.279792
-4.019500;-0.276037;-0.279792
-5.098962;-0.292045;-0.295801
-5.098962;-0.292045;-0.295801
-5.815086;-0.307752;-0.311507
-5.815086;-0.307752;-0.311507
-6.180468;-0.313469;-0.317225
-6.180468;-0.313469;-0.317225
-6.597485;-0.315283;-0.319039
-6.597485;-0.315283;-0.319039
-7.246656;-0.307990;-0.311746
-7.246656;-0.307990;-0.311746
-7.856699;-0.294692;-0.298448
-7.856699;-0.294692;-0.298448
-8.291422;-0.284011;-0.287767
-8.291422;-0.284011;-0.287767
-8.685511;-0.274926;-0.278682
-8.685511;-0.274926;-0.278682
-9.319146;-0.260278;-0.264034
-9.319146;-0.260278;-0.264034
-10.089521;-0.246896;-0.250651
-10.089521;-0.246896;-0.250651
-10.323654;-0.243796;-0.247552
-10.323654;-0.243796;-0.247552
-10.503056;-0.241741;-0.245496
-10.503056;-0.241741;-0.245496
-11.313500;-0.235773;-0.239528
-11.313500;-0.235773;-0.239528
-12.196008;-0.232806;-0.236562
-12.196008;-0.232806;-0.236562
-12.280544;-0.232502;-0.236258
-12.280544;-0.232502;-0.236258
-12.398760;-0.231997;-0.235752
-12.398760;-0.231997;-0.235752
-13.224032;-0.219741;-0.223496
-13.224032;-0.219741;-0.223496
-13.819376;-0.198765;-0.202521
-13.819376;-0.198765;-0.202521
-14.100000;-0.182635;-0.186390
-14.100000;-0.182635;-0.186390
-15.140184;-0.161586;-0.165342
-15.140184;-0.161586;-0.165342
-15.140943;-0.161571;-0.165326
-15.140943;-0.161571;-0.165326
-15.141792;-0.161554;-0.165310
-15.141792;-0.161554;-0.165310
-16.228299;-0.141545;-0.145301
-16.228299;-0.141545;-0.145301
-16.902449;-0.129906;-0.133661
-16.902449;-0.129906;-0.133661
-17.194479;-0.123757;-0.127513
-17.194479;-0.123757;-0.127513
-17.598199;-0.113151;-0.116907
-17.598199;-0.113151;-0.116907
-18.145011;-0.097661;-0.101417
-18.145011;-0.097661;-0.101417
-18.542270;-0.085192;-0.088948
-18.542270;-0.085192;-0.088948
-19.085397;-0.069534;-0.073290
-19.085397;-0.069534;-0.073290
-19.825628;-0.048059;-0.051815
-19.825628;-0.048059;-0.051815
-20.020520;-0.041992;-0.045748
-20.020520;-0.041992;-0.045748
-20.166296;-0.037259;-0.041014
-20.166296;-0.037259;-0.041014
-20.952767;-0.006419;-0.010175
-20.952767;-0.006419;-0.010175
-21.576470;-0.006454;-0.010209
-21.576470;-0.006454;-0.010209
-21.818446;-0.006466;-0.010222
-21.818446;-0.006466;-0.010222
-22.161970;-0.006480;-0.010236
-22.161970;-0.006480;-0.010236
-22.816630;-0.006505;-0.010261
-22.816630;-0.006505;-0.010261
-23.327838;-0.006525;-0.010280
-23.327838;-0.006525;-0.010280
-23.986872;-0.006551;-0.010307
-23.986872;-0.006551;-0.010307
-24.698228;-0.006580;-0.010336
-24.698228;-0.006580;-0.010336
-25.197790;-0.006600;-0.010356
-25.197790;-0.006600;-0.010356
-25.744546;-0.006619;-0.010375
-25.744546;-0.006619;-0.010375
-26.422679;-0.006640;-0.010395
-26.422679;-0.006640;-0.010395
-27.034786;-0.006657;-0.010413
-27.034786;-0.006657;-0.010413
-27.663762;-0.006671;-0.010426
-27.663762;-0.006671;-0.010426
-28.419292;-0.006686;-0.010441
-28.419292;-0.006686;-0.010441
-28.915091;-0.006693;-0.010449
-28.915091;-0.006693;-0.010449
-29.351495;-0.006698;-0.010453
-29.351495;-0.006698;-0.010453
-30.192473;-0.006702;-0.010457
-30.192473;-0.006702;-0.010457
-30.967124;-0.006703;-0.010458
-30.967124;-0.006703;-0.010458
-31.850061;-0.006692;-0.010447
-31.850061;-0.006692;-0.010447
-33.009425;-0.006661;-0.010417
-33.009425;-0.006661;-0.010417
-34.222542;-0.006615;-0.010371
-34.222542;-0.006615;-0.010371
-35.601666;-0.006549;-0.010304
-35.601666;-0.006549;-0.010304
-36.631363;-0.006474;-0.010229
-36.631363;-0.006474;-0.010229
-37.588682;-0.006410;-0.010165
-37.588682;-0.006410;-0.010165
-39.074687;-0.006273;-0.010028
-39.074687;-0.006273;-0.010028
-40.696137;-0.006099;-0.009855
-40.696137;-0.006099;-0.009855
-41.540496;-0.006017;-0.009772
-41.540496;-0.006017;-0.009772
-42.319429;-0.005946;-0.009702
-42.319429;-0.005946;-0.009702
-44.013627;-0.005787;-0.009543
-44.013627;-0.005787;-0.009543
-45.863071;-0.005545;-0.009300
-45.863071;-0.005545;-0.009300
-46.490373;-0.005447;-0.009202
-46.490373;-0.005447;-0.009202
-47.016078;-0.005355;-0.009111
-47.016078;-0.005355;-0.009111
-48.922680;-0.004939;-0.008695
-48.922680;-0.004939;-0.008695
-51.031251;-0.004410;-0.008166
-51.031251;-0.004410;-0.008166
-52.346008;-0.003951;-0.007707
-52.346008;-0.003951;-0.007707
-54.546858;-0.003230;-0.006986
-54.546858;-0.003230;-0.006986
-57.295937;-0.001773;-0.005528
-57.295937;-0.001773;-0.005528
-59.854542;-0.000490;-0.004246
-59.854542;-0.000490;-0.004246
-62.241194;0.000906;-0.002850
-62.241194;0.000906;-0.002850
-64.781092;0.001649;-0.002107
-64.781092;0.001649;-0.002107
-67.183109;0.002263;-0.001493
-67.183109;0.002263;-0.001493
-69.450992;0.002558;-0.001198
-69.450992;0.002558;-0.001198
-72.122870;0.002706;-0.001050
-72.122870;0.002706;-0.001050
-74.933405;0.003015;-0.000740
-74.933405;0.003015;-0.000740
-77.061755;0.003257;-0.000499
-77.061755;0.003257;-0.000499
-79.087747;0.003532;-0.000224
-79.087747;0.003532;-0.000224
-82.000000;0.004085;0.000329
-82.000000;0.004085;0.000329
-85.018465;0.003993;0.000237
-85.018465;0.003993;0.000237
-86.999930;0.003932;0.000176
-86.999930;0.003932;0.000176
-88.981428;0.003866;0.000111
-88.981428;0.003866;0.000111
-92.000000;0.003756;0.000000
