SEP=;
y;Uy;Uy_RESID
-4.000000;0.172644;0.175432
-4.019500;0.172177;0.174966
-4.019500;0.172177;0.174966
-5.098962;0.152205;0.154993
-5.098962;0.152205;0.154993
-5.815086;0.135018;0.137806
-5.815086;0.135018;0.137806
-6.180468;0.125765;0.128553
-6.180468;0.125765;0.128553
-6.597485;0.115914;0.118702
-6.597485;0.115914;0.118702
-7.246656;0.102082;0.104870
-7.246656;0.102082;0.104870
-7.856699;0.091324;0.094112
-7.856699;0.091324;0.094112
-8.291422;0.084794;0.087582
-8.291422;0.084794;0.087582
-8.685511;0.079567;0.082355
-8.685511;0.079567;0.082355
-9.319146;0.072342;0.075130
-9.319146;0.072342;0.075130
-10.089521;0.064724;0.067512
-10.089521;0.064724;0.067512
-10.323654;0.062584;0.065372
-10.323654;0.062584;0.065372
-10.503056;0.061053;0.063841
-10.503056;0.061053;0.063841
-11.313500;0.054491;0.057279
-11.313500;0.054491;0.057279
-12.196008;0.048339;0.051127
-12.196008;0.048339;0.051127
-12.280544;0.047771;0.050559
-12.280544;0.047771;0.050559
-12.398760;0.047141;0.049929
-12.398760;0.047141;0.049929
-13.224032;0.041442;0.044230
-13.224032;0.041442;0.044230
-13.819376;0.035560;0.038348
-13.819376;0.035560;0.038348
-14.100000;0.032254;0.035042
-14.100000;0.032254;0.035042
-15.140184;0.020747;0.023535
-15.140184;0.020747;0.023535
-15.140943;0.020739;0.023527
-15.140943;0.020739;0.023527
-15.141792;0.020729;0.023517
-15.141792;0.020729;0.023517
-16.228299;0.011114;0.013902
-16.228299;0.011114;0.013902
-16.902449;0.006234;0.009022
-16.902449;0.006234;0.009022
-17.194479;0.004484;0.007272
-17.194479;0.004484;0.007272
-17.598199;0.002984;0.005772
-17.598199;0.002984;0.005772
-18.145011;0.000776;0.003564
-18.145011;0.000776;0.003564
-18.542270;-0.000508;0.002280
-18.542270;-0.000508;0.002280
-19.085397;-0.002053;0.000735
-19.085397;-0.002053;0.000735
-19.825628;-0.003311;-0.000523
-19.825628;-0.003311;-0.000523
-20.020520;-0.003488;-0.000700
-20.020520;-0.003488;-0.000700
-20.166296;-0.003560;-0.000772
-20.166296;-0.003560;-0.000772
-20.952767;-0.002993;-0.000205
-20.952767;-0.002993;-0.000205
-21.576470;-0.002993;-0.000205
-21.576470;-0.002993;-0.000205
-21.818446;-0.002993;-0.000205
-21.818446;-0.002993;-0.000205
-22.161970;-0.002993;-0.000205
-22.161970;-0.002993;-0.000205
-22.816630;-0.002995;-0.000207
-22.816630;-0.002995;-0.000207
-23.327838;-0.002997;-0.000209
-23.327838;-0.002997;-0.000209
-23.986872;-0.003000;-0.000212
-23.986872;-0.003000;-0.000212
-24.698228;-0.003003;-0.000215
-24.698228;-0.003003;-0.000215
-25.197790;-0.003005;-0.000216
-25.197790;-0.003005;-0.000216
-25.744546;-0.003006;-0.000218
-25.744546;-0.003006;-0.000218
-26.422679;-0.003007;-0.000219
-26.422679;-0.003007;-0.000219
-27.034786;-0.003008;-0.000220
-27.034786;-0.003008;-0.000220
-27.663762;-0.003008;-0.000220
-27.663762;-0.003008;-0.000220
-28.419292;-0.003008;-0.000220
-28.419292;-0.003008;-0.000220
-28.915091;-0.003007;-0.000219
-28.915091;-0.003007;-0.000219
-29.351495;-0.003007;-0.000219
-29.351495;-0.003007;-0.000219
-30.192473;-0.003005;-0.000217
-30.192473;-0.003005;-0.000217
-30.967124;-0.003003;-0.000215
-30.967124;-0.003003;-0.000215
-31.850061;-0.003000;-0.000212
-31.850061;-0.003000;-0.000212
-33.009425;-0.002996;-0.000208
-33.009425;-0.002996;-0.000208
-34.222542;-0.002989;-0.000201
-34.222542;-0.002989;-0.000201
-35.601666;-0.002981;-0.000193
-35.601666;-0.002981;-0.000193
-36.631363;-0.002974;-0.000186
-36.631363;-0.002974;-0.000186
-37.588682;-0.002967;-0.000179
-37.588682;-0.002967;-0.000179
-39.074687;-0.002955;-0.000167
-39.074687;-0.002955;-0.000167
-40.696137;-0.002943;-0.000155
-40.696137;-0.002943;-0.000155
-41.540496;-0.002936;-0.000148
-41.540496;-0.002936;-0.000148
-42.319429;-0.002929;-0.000141
-42.319429;-0.002929;-0.000141
-44.013627;-0.002914;-0.000126
-44.013627;-0.002914;-0.000126
-45.863071;-0.002900;-0.000112
-45.863071;-0.002900;-0.000112
-46.490373;-0.002895;-0.000107
-46.490373;-0.002895;-0.000107
-47.016078;-0.002891;-0.000103
-47.016078;-0.002891;-0.000103
-48.922680;-0.002875;-0.000087
-48.922680;-0.002875;-0.000087
-51.031251;-0.002854;-0.000066
-51.031251;-0.002854;-0.000066
-52.346008;-0.002843;-0.000055
-52.346008;-0.002843;-0.000055
-54.546858;-0.002827;-0.000039
-54.546858;-0.002827;-0.000039
-57.295937;-0.002805;-0.000017
-57.295937;-0.002805;-0.000017
-59.854542;-0.002797;-0.000009
-59.854542;-0.002797;-0.000009
-62.241194;-0.002789;-0.000001
-62.241194;-0.002789;-0.000001
-64.781092;-0.002788;-0.000000
-64.781092;-0.002788;-0.000000
-67.183109;-0.002787;0.000001
-67.183109;-0.002787;0.000001
-69.450992;-0.002792;-0.000004
-69.450992;-0.002792;-0.000004
-72.122870;-0.002794;-0.000006
-72.122870;-0.002794;-0.000006
-74.933405;-0.002795;-0.000007
-74.933405;-0.002795;-0.000007
-77.061755;-0.002796;-0.000008
-77.061755;-0.002796;-0.000008
-79.087747;-0.002798;-0.000010
-79.087747;-0.002798;-0.000010
-82.000000;-0.002802;-0.000014
-82.000000;-0.002802;-0.000014
-85.018465;-0.002795;-0.000007
-85.018465;-0.002795;-0.000007
-86.999930;-0.002792;-0.000004
-86.999930;-0.002792;-0.000004
-88.981428;-0.002790;-0.000002
-88.981428;-0.002790;-0.000002
-92.000000;-0.002788;0.000000
