SEP=;
y;Uy;Uy_RESID
-4.000000;0.528305;0.534757
-4.019500;0.527204;0.533656
-4.019500;0.527204;0.533656
-5.098962;0.467958;0.474411
-5.098962;0.467958;0.474411
-5.815086;0.410802;0.417255
-5.815086;0.410802;0.417255
-6.180468;0.380486;0.386938
-6.180468;0.380486;0.386938
-6.597485;0.348082;0.354534
-6.597485;0.348082;0.354534
-7.246656;0.301524;0.307976
-7.246656;0.301524;0.307976
-7.856699;0.262707;0.269159
-7.856699;0.262707;0.269159
-8.291422;0.238334;0.244786
-8.291422;0.238334;0.244786
-8.685511;0.218331;0.224783
-8.685511;0.218331;0.224783
-9.319146;0.189906;0.196358
-9.319146;0.189906;0.196358
-10.089521;0.160567;0.167019
-10.089521;0.160567;0.167019
-10.323654;0.152846;0.159298
-10.323654;0.152846;0.159298
-10.503056;0.147211;0.153664
-10.503056;0.147211;0.153664
-11.313500;0.124957;0.131409
-11.313500;0.124957;0.131409
-12.196008;0.104685;0.111137
-12.196008;0.104685;0.111137
-12.280544;0.102961;0.109413
-12.280544;0.102961;0.109413
-12.398760;0.100603;0.107056
-12.398760;0.100603;0.107056
-13.224032;0.084421;0.090874
-13.224032;0.084421;0.090874
-13.819376;0.069541;0.075993
-13.819376;0.069541;0.075993
-14.100000;0.061976;0.068428
-14.100000;0.061976;0.068428
-15.140184;0.036492;0.042945
-15.140184;0.036492;0.042945
-15.140943;0.036474;0.042927
-15.140943;0.036474;0.042927
-15.141792;0.036454;0.042907
-15.141792;0.036454;0.042907
-16.228299;0.015131;0.021584
-16.228299;0.015131;0.021584
-16.902449;0.006738;0.013190
-16.902449;0.006738;0.013190
-17.194479;0.004267;0.010719
-17.194479;0.004267;0.010719
-17.598199;0.001071;0.007523
-17.598199;0.001071;0.007523
-18.145011;-0.001998;0.004454
-18.145011;-0.001998;0.004454
-18.542270;-0.003840;0.002612
-18.542270;-0.003840;0.002612
-19.085397;-0.005627;0.000825
-19.085397;-0.005627;0.000825
-19.825628;-0.007403;-0.000951
-19.825628;-0.007403;-0.000951
-20.020520;-0.007658;-0.001206
-20.020520;-0.007658;-0.001206
-20.166296;-0.007806;-0.001354
-20.166296;-0.007806;-0.001354
-20.952767;-0.006914;-0.000461
-20.952767;-0.006914;-0.000461
-21.576470;-0.006912;-0.000460
-21.576470;-0.006912;-0.000460
-21.818446;-0.006914;-0.000461
-21.818446;-0.006914;-0.000461
-22.161970;-0.006918;-0.000465
-22.161970;-0.006918;-0.000465
-22.816630;-0.006924;-0.000472
-22.816630;-0.006924;-0.000472
-23.327838;-0.006929;-0.000477
-23.327838;-0.006929;-0.000477
-23.986872;-0.006933;-0.000481
-23.986872;-0.006933;-0.000481
-24.698228;-0.006936;-0.000484
-24.698228;-0.006936;-0.000484
-25.197790;-0.006936;-0.000484
-25.197790;-0.006936;-0.000484
-25.744546;-0.006936;-0.000484
-25.744546;-0.006936;-0.000484
-26.422679;-0.006932;-0.000480
-26.422679;-0.006932;-0.000480
-27.034786;-0.006928;-0.000476
-27.034786;-0.006928;-0.000476
-27.663762;-0.006922;-0.000470
-27.663762;-0.006922;-0.000470
-28.419292;-0.006914;-0.000461
-28.419292;-0.006914;-0.000461
-28.915091;-0.006908;-0.000456
-28.915091;-0.006908;-0.000456
-29.351495;-0.006904;-0.000452
-29.351495;-0.006904;-0.000452
-30.192473;-0.006893;-0.000441
-30.192473;-0.006893;-0.000441
-30.967124;-0.006883;-0.000431
-30.967124;-0.006883;-0.000431
-31.850061;-0.006869;-0.000417
-31.850061;-0.006869;-0.000417
-33.009425;-0.006851;-0.000399
-33.009425;-0.006851;-0.000399
-34.222542;-0.006836;-0.000384
-34.222542;-0.006836;-0.000384
-35.601666;-0.006825;-0.000372
-35.601666;-0.006825;-0.000372
-36.631363;-0.006818;-0.000366
-36.631363;-0.006818;-0.000366
-37.588682;-0.006809;-0.000357
-37.588682;-0.006809;-0.000357
-39.074687;-0.006803;-0.000351
-39.074687;-0.006803;-0.000351
-40.696137;-0.006798;-0.000346
-40.696137;-0.006798;-0.000346
-41.540496;-0.006799;-0.000346
-41.540496;-0.006799;-0.000346
-42.319429;-0.006796;-0.000344
-42.319429;-0.006796;-0.000344
-44.013627;-0.006750;-0.000298
-44.013627;-0.006750;-0.000298
-45.863071;-0.006723;-0.000271
-45.863071;-0.006723;-0.000271
-46.490373;-0.006710;-0.000258
-46.490373;-0.006710;-0.000258
-47.016078;-0.006712;-0.000260
-47.016078;-0.006712;-0.000260
-48.922680;-0.006736;-0.000284
-48.922680;-0.006736;-0.000284
-51.031251;-0.006796;-0.000344
-51.031251;-0.006796;-0.000344
-52.346008;-0.006823;-0.000370
-52.346008;-0.006823;-0.000370
-54.546858;-0.006835;-0.000382
-54.546858;-0.006835;-0.000382
-57.295937;-0.006844;-0.000391
-57.295937;-0.006844;-0.000391
-59.854542;-0.006885;-0.000433
-59.854542;-0.006885;-0.000433
-62.241194;-0.006834;-0.000381
-62.241194;-0.006834;-0.000381
-64.781092;-0.006809;-0.000357
-64.781092;-0.006809;-0.000357
-67.183109;-0.006807;-0.000355
-67.183109;-0.006807;-0.000355
-69.450992;-0.006786;-0.000334
-69.450992;-0.006786;-0.000334
-72.122870;-0.006726;-0.000274
-72.122870;-0.006726;-0.000274
-74.933405;-0.006664;-0.000211
-74.933405;-0.006664;-0.000211
-77.061755;-0.006678;-0.000226
-77.061755;-0.006678;-0.000226
-79.087747;-0.006639;-0.000187
-79.087747;-0.006639;-0.000187
-82.000000;-0.006610;-0.000158
-82.000000;-0.006610;-0.000158
-85.018465;-0.006552;-0.000099
-85.018465;-0.006552;-0.000099
-86.999930;-0.006519;-0.000066
-86.999930;-0.006519;-0.000066
-88.981428;-0.006491;-0.000039
-88.981428;-0.006491;-0.000039
-92.000000;-0.006452;0.000000
