SEP=;
y;Ux;Ux_RESID
5.000000;0.053775;0.047806
3.895396;0.056969;0.051000
3.895396;0.056969;0.051000
3.762319;0.057393;0.051424
3.762319;0.057393;0.051424
2.250000;0.060918;0.054949
2.250000;0.060918;0.054949
0.790251;0.062595;0.056625
0.790251;0.062595;0.056625
-0.647487;0.060790;0.054821
-0.647487;0.060790;0.054821
-2.063545;0.061954;0.055984
-2.063545;0.061954;0.055984
-3.458252;0.061301;0.055332
-3.458252;0.061301;0.055332
-4.831928;0.063862;0.057893
-4.831928;0.063862;0.057893
-6.184891;0.059939;0.053970
-6.184891;0.059939;0.053970
-7.517454;0.060876;0.054907
-7.517454;0.060876;0.054907
-8.829923;0.061349;0.055379
-8.829923;0.061349;0.055379
-10.122602;0.062954;0.056985
-10.122602;0.062954;0.056985
-11.395789;0.063756;0.057787
-11.395789;0.063756;0.057787
-12.649778;0.065010;0.059041
-12.649778;0.065010;0.059041
-13.884858;0.063237;0.057268
-13.884858;0.063237;0.057268
-15.101316;0.062463;0.056493
-15.101316;0.062463;0.056493
-16.189046;0.063858;0.057889
-16.189046;0.063858;0.057889
-17.083756;0.060654;0.054685
-17.083756;0.060654;0.054685
-17.279246;0.059760;0.053791
-17.279246;0.059760;0.053791
-17.514282;0.058201;0.052231
-17.514282;0.058201;0.052231
-18.372099;0.052176;0.046207
-18.372099;0.052176;0.046207
-19.073400;0.047090;0.041121
-19.073400;0.047090;0.041121
-19.468593;0.044270;0.038301
-19.468593;0.044270;0.038301
-19.941527;0.040600;0.034630
-19.941527;0.040600;0.034630
-20.568860;0.035967;0.029998
-20.568860;0.035967;0.029998
-21.074240;0.032460;0.026491
-21.074240;0.032460;0.026491
-21.670719;0.028120;0.022151
-21.670719;0.028120;0.022151
-22.374091;0.023226;0.017257
-22.374091;0.023226;0.017257
-22.751853;0.020316;0.014347
-22.751853;0.020316;0.014347
-23.021223;0.018261;0.012292
-23.021223;0.018261;0.012292
-23.751695;0.013095;0.007126
-23.751695;0.013095;0.007126
-24.499876;0.007162;0.001192
-24.499876;0.007162;0.001192
-24.533178;0.006836;0.000867
-24.533178;0.006836;0.000867
-25.096865;0.006806;0.000837
-25.096865;0.006806;0.000837
-25.188658;0.006802;0.000832
-25.188658;0.006802;0.000832
-26.108320;0.006752;0.000783
-26.108320;0.006752;0.000783
-26.499354;0.006733;0.000763
-26.499354;0.006733;0.000763
-27.379651;0.006691;0.000721
-27.379651;0.006691;0.000721
-28.329319;0.006648;0.000678
-28.329319;0.006648;0.000678
-28.995251;0.006619;0.000650
-28.995251;0.006619;0.000650
-30.095558;0.006577;0.000608
-30.095558;0.006577;0.000608
-30.646007;0.006557;0.000587
-30.646007;0.006557;0.000587
-31.790955;0.006518;0.000549
-31.790955;0.006518;0.000549
-32.317829;0.006502;0.000533
-32.317829;0.006502;0.000533
-33.403053;0.006475;0.000505
-33.403053;0.006475;0.000505
-34.053424;0.006464;0.000495
-34.053424;0.006464;0.000495
-35.069774;0.006446;0.000477
-35.069774;0.006446;0.000477
-36.803331;0.006416;0.000447
-36.803331;0.006416;0.000447
-37.620266;0.006406;0.000437
-37.620266;0.006406;0.000437
-38.468026;0.006398;0.000429
-38.468026;0.006398;0.000429
-40.181927;0.006373;0.000404
-40.181927;0.006373;0.000404
-41.809018;0.006343;0.000373
-41.809018;0.006343;0.000373
-42.754050;0.006324;0.000355
-42.754050;0.006324;0.000355
-43.753512;0.006295;0.000326
-43.753512;0.006295;0.000326
-45.331245;0.006259;0.000290
-45.331245;0.006259;0.000290
-46.818056;0.006224;0.000255
-46.818056;0.006224;0.000255
-47.912419;0.006191;0.000222
-47.912419;0.006191;0.000222
-49.067708;0.006161;0.000192
-49.067708;0.006161;0.000192
-50.494094;0.006120;0.000150
-50.494094;0.006120;0.000150
-51.728414;0.006081;0.000112
-51.728414;0.006081;0.000112
-52.953309;0.006056;0.000087
-52.953309;0.006056;0.000087
-55.756740;0.006039;0.000070
-55.756740;0.006039;0.000070
-56.586727;0.006056;0.000087
-56.586727;0.006056;0.000087
-57.922301;0.006071;0.000102
-57.922301;0.006071;0.000102
-61.715025;0.006176;0.000207
-61.715025;0.006176;0.000207
-65.406188;0.006206;0.000237
-65.406188;0.006206;0.000237
-66.811902;0.006212;0.000242
-66.811902;0.006212;0.000242
-68.241172;0.006205;0.000236
-68.241172;0.006205;0.000236
-71.889094;0.006211;0.000242
-71.889094;0.006211;0.000242
-75.485427;0.006223;0.000253
-75.485427;0.006223;0.000253
-76.947922;0.006235;0.000265
-76.947922;0.006235;0.000265
-78.430287;0.006261;0.000292
-78.430287;0.006261;0.000292
-82.000000;0.006313;0.000343
-82.000000;0.006313;0.000343
-85.518459;0.006196;0.000226
-85.518459;0.006196;0.000226
-86.999935;0.006144;0.000175
-86.999935;0.006144;0.000175
-88.481422;0.006093;0.000124
-88.481422;0.006093;0.000124
-92.000000;0.005969;0.000000
