SEP=;
y;Ux;Ux_RESID
5.000000;0.194582;0.184853
3.895396;0.196694;0.186965
3.895396;0.196694;0.186965
3.762319;0.196957;0.187228
3.762319;0.196957;0.187228
2.250000;0.199528;0.189799
2.250000;0.199528;0.189799
0.790251;0.204060;0.194331
0.790251;0.204060;0.194331
-0.647487;0.206731;0.197002
-0.647487;0.206731;0.197002
-2.063545;0.208658;0.198929
-2.063545;0.208658;0.198929
-3.458252;0.209263;0.199534
-3.458252;0.209263;0.199534
-4.831928;0.213065;0.203336
-4.831928;0.213065;0.203336
-6.184891;0.213752;0.204023
-6.184891;0.213752;0.204023
-7.517454;0.214514;0.204785
-7.517454;0.214514;0.204785
-8.829923;0.216682;0.206953
-8.829923;0.216682;0.206953
-10.122602;0.218591;0.208862
-10.122602;0.218591;0.208862
-11.395789;0.219110;0.209381
-11.395789;0.219110;0.209381
-12.649778;0.219645;0.209916
-12.649778;0.219645;0.209916
-13.884858;0.219427;0.209698
-13.884858;0.219427;0.209698
-15.101316;0.218884;0.209155
-15.101316;0.218884;0.209155
-16.189046;0.205717;0.195988
-16.189046;0.205717;0.195988
-17.083756;0.195100;0.185371
-17.083756;0.195100;0.185371
-17.279246;0.192689;0.182960
-17.279246;0.192689;0.182960
-17.514282;0.189363;0.179634
-17.514282;0.189363;0.179634
-18.372099;0.175994;0.166265
-18.372099;0.175994;0.166265
-19.073400;0.163218;0.153489
-19.073400;0.163218;0.153489
-19.468593;0.155145;0.145416
-19.468593;0.155145;0.145416
-19.941527;0.144384;0.134655
-19.941527;0.144384;0.134655
-20.568860;0.129087;0.119358
-20.568860;0.129087;0.119358
-21.074240;0.116790;0.107061
-21.074240;0.116790;0.107061
-21.670719;0.100631;0.090902
-21.670719;0.100631;0.090902
-22.374091;0.079230;0.069501
-22.374091;0.079230;0.069501
-22.751853;0.067912;0.058183
-22.751853;0.067912;0.058183
-23.021223;0.059899;0.050170
-23.021223;0.059899;0.050170
-23.751695;0.036343;0.026614
-23.751695;0.036343;0.026614
-24.499876;0.013204;0.003475
-24.499876;0.013204;0.003475
-24.533178;0.012168;0.002439
-24.533178;0.012168;0.002439
-25.096865;0.012148;0.002419
-25.096865;0.012148;0.002419
-25.188658;0.012144;0.002415
-25.188658;0.012144;0.002415
-26.108320;0.012102;0.002373
-26.108320;0.012102;0.002373
-26.499354;0.012084;0.002355
-26.499354;0.012084;0.002355
-27.379651;0.012036;0.002307
-27.379651;0.012036;0.002307
-28.329319;0.011981;0.002252
-28.329319;0.011981;0.002252
-28.995251;0.011940;0.002211
-28.995251;0.011940;0.002211
-30.095558;0.011869;0.002140
-30.095558;0.011869;0.002140
-30.646007;0.011836;0.002107
-30.646007;0.011836;0.002107
-31.790955;0.011768;0.002039
-31.790955;0.011768;0.002039
-32.317829;0.011737;0.002007
-32.317829;0.011737;0.002007
-33.403053;0.011673;0.001944
-33.403053;0.011673;0.001944
-34.053424;0.011637;0.001907
-34.053424;0.011637;0.001907
-35.069774;0.011583;0.001854
-35.069774;0.011583;0.001854
-36.803331;0.011496;0.001767
-36.803331;0.011496;0.001767
-37.620266;0.011451;0.001722
-37.620266;0.011451;0.001722
-38.468026;0.011406;0.001677
-38.468026;0.011406;0.001677
-40.181927;0.011323;0.001594
-40.181927;0.011323;0.001594
-41.809018;0.011246;0.001517
-41.809018;0.011246;0.001517
-42.754050;0.011206;0.001477
-42.754050;0.011206;0.001477
-43.753512;0.011163;0.001434
-43.753512;0.011163;0.001434
-45.331245;0.011094;0.001365
-45.331245;0.011094;0.001365
-46.818056;0.011048;0.001319
-46.818056;0.011048;0.001319
-47.912419;0.011024;0.001295
-47.912419;0.011024;0.001295
-49.067708;0.010999;0.001270
-49.067708;0.010999;0.001270
-50.494094;0.010978;0.001249
-50.494094;0.010978;0.001249
-51.728414;0.010940;0.001211
-51.728414;0.010940;0.001211
-52.953309;0.010894;0.001165
-52.953309;0.010894;0.001165
-55.756740;0.010784;0.001055
-55.756740;0.010784;0.001055
-56.586727;0.010751;0.001022
-56.586727;0.010751;0.001022
-57.922301;0.010706;0.000977
-57.922301;0.010706;0.000977
-61.715025;0.010614;0.000885
-61.715025;0.010614;0.000885
-65.406188;0.010543;0.000814
-65.406188;0.010543;0.000814
-66.811902;0.010515;0.000786
-66.811902;0.010515;0.000786
-68.241172;0.010478;0.000749
-68.241172;0.010478;0.000749
-71.889094;0.010362;0.000633
-71.889094;0.010362;0.000633
-75.485427;0.010238;0.000509
-75.485427;0.010238;0.000509
-76.947922;0.010190;0.000461
-76.947922;0.010190;0.000461
-78.430287;0.010140;0.000411
-78.430287;0.010140;0.000411
-82.000000;0.010046;0.000317
-82.000000;0.010046;0.000317
-85.518459;0.009935;0.000206
-85.518459;0.009935;0.000206
-86.999935;0.009889;0.000160
-86.999935;0.009889;0.000160
-88.481422;0.009842;0.000113
-88.481422;0.009842;0.000113
-92.000000;0.009729;0.000000
