SEP=;
y;Uy;Uy_RESID
5.000000;-0.086090;-0.084223
3.895396;-0.086140;-0.084273
3.895396;-0.086140;-0.084273
3.762319;-0.086139;-0.084272
3.762319;-0.086139;-0.084272
2.250000;-0.081930;-0.080063
2.250000;-0.081930;-0.080063
0.790251;-0.076780;-0.074912
0.790251;-0.076780;-0.074912
-0.647487;-0.070677;-0.068810
-0.647487;-0.070677;-0.068810
-2.063545;-0.067529;-0.065662
-2.063545;-0.067529;-0.065662
-3.458252;-0.063029;-0.061162
-3.458252;-0.063029;-0.061162
-4.831928;-0.058970;-0.057102
-4.831928;-0.058970;-0.057102
-6.184891;-0.050979;-0.049112
-6.184891;-0.050979;-0.049112
-7.517454;-0.046971;-0.045104
-7.517454;-0.046971;-0.045104
-8.829923;-0.043171;-0.041304
-8.829923;-0.043171;-0.041304
-10.122602;-0.039308;-0.037441
-10.122602;-0.039308;-0.037441
-11.395789;-0.033884;-0.032016
-11.395789;-0.033884;-0.032016
-12.649778;-0.028377;-0.026509
-12.649778;-0.028377;-0.026509
-13.884858;-0.024987;-0.023119
-13.884858;-0.024987;-0.023119
-15.101316;-0.021108;-0.019240
-15.101316;-0.021108;-0.019240
-16.189046;-0.017646;-0.015779
-16.189046;-0.017646;-0.015779
-17.083756;-0.015470;-0.013602
-17.083756;-0.015470;-0.013602
-17.279246;-0.015112;-0.013244
-17.279246;-0.015112;-0.013244
-17.514282;-0.014583;-0.012716
-17.514282;-0.014583;-0.012716
-18.372099;-0.012605;-0.010738
-18.372099;-0.012605;-0.010738
-19.073400;-0.011101;-0.009233
-19.073400;-0.011101;-0.009233
-19.468593;-0.010332;-0.008465
-19.468593;-0.010332;-0.008465
-19.941527;-0.009346;-0.007478
-19.941527;-0.009346;-0.007478
-20.568860;-0.007851;-0.005984
-20.568860;-0.007851;-0.005984
-21.074240;-0.006604;-0.004737
-21.074240;-0.006604;-0.004737
-21.670719;-0.005125;-0.003258
-21.670719;-0.005125;-0.003258
-22.374091;-0.003581;-0.001714
-22.374091;-0.003581;-0.001714
-22.751853;-0.002834;-0.000967
-22.751853;-0.002834;-0.000967
-23.021223;-0.002373;-0.000505
-23.021223;-0.002373;-0.000505
-23.751695;-0.001613;0.000254
-23.751695;-0.001613;0.000254
-24.499876;-0.001484;0.000383
-24.499876;-0.001484;0.000383
-24.533178;-0.001487;0.000381
-24.533178;-0.001487;0.000381
-25.096865;-0.001497;0.000370
-25.096865;-0.001497;0.000370
-25.188658;-0.001498;0.000369
-25.188658;-0.001498;0.000369
-26.108320;-0.001514;0.000354
-26.108320;-0.001514;0.000354
-26.499354;-0.001520;0.000347
-26.499354;-0.001520;0.000347
-27.379651;-0.001534;0.000334
-27.379651;-0.001534;0.000334
-28.329319;-0.001549;0.000319
-28.329319;-0.001549;0.000319
-28.995251;-0.001558;0.000310
-28.995251;-0.001558;0.000310
-30.095558;-0.001573;0.000294
-30.095558;-0.001573;0.000294
-30.646007;-0.001581;0.000286
-30.646007;-0.001581;0.000286
-31.790955;-0.001597;0.000270
-31.790955;-0.001597;0.000270
-32.317829;-0.001605;0.000263
-32.317829;-0.001605;0.000263
-33.403053;-0.001620;0.000247
-33.403053;-0.001620;0.000247
-34.053424;-0.001630;0.000238
-34.053424;-0.001630;0.000238
-35.069774;-0.001643;0.000224
-35.069774;-0.001643;0.000224
-36.803331;-0.001665;0.000203
-36.803331;-0.001665;0.000203
-37.620266;-0.001674;0.000193
-37.620266;-0.001674;0.000193
-38.468026;-0.001684;0.000183
-38.468026;-0.001684;0.000183
-40.181927;-0.001704;0.000163
-40.181927;-0.001704;0.000163
-41.809018;-0.001721;0.000147
-41.809018;-0.001721;0.000147
-42.754050;-0.001728;0.000139
-42.754050;-0.001728;0.000139
-43.753512;-0.001736;0.000132
-43.753512;-0.001736;0.000132
-45.331245;-0.001747;0.000120
-45.331245;-0.001747;0.000120
-46.818056;-0.001758;0.000110
-46.818056;-0.001758;0.000110
-47.912419;-0.001766;0.000101
-47.912419;-0.001766;0.000101
-49.067708;-0.001774;0.000093
-49.067708;-0.001774;0.000093
-50.494094;-0.001782;0.000085
-50.494094;-0.001782;0.000085
-51.728414;-0.001790;0.000078
-51.728414;-0.001790;0.000078
-52.953309;-0.001797;0.000070
-52.953309;-0.001797;0.000070
-55.756740;-0.001815;0.000052
-55.756740;-0.001815;0.000052
-56.586727;-0.001820;0.000048
-56.586727;-0.001820;0.000048
-57.922301;-0.001827;0.000040
-57.922301;-0.001827;0.000040
-61.715025;-0.001840;0.000027
-61.715025;-0.001840;0.000027
-65.406188;-0.001852;0.000015
-65.406188;-0.001852;0.000015
-66.811902;-0.001855;0.000013
-66.811902;-0.001855;0.000013
-68.241172;-0.001857;0.000011
-68.241172;-0.001857;0.000011
-71.889094;-0.001864;0.000004
-71.889094;-0.001864;0.000004
-75.485427;-0.001856;0.000012
-75.485427;-0.001856;0.000012
-76.947922;-0.001855;0.000013
-76.947922;-0.001855;0.000013
-78.430287;-0.001855;0.000013
-78.430287;-0.001855;0.000013
-82.000000;-0.001862;0.000005
-82.000000;-0.001862;0.000005
-85.518459;-0.001868;-0.000001
-85.518459;-0.001868;-0.000001
-86.999935;-0.001869;-0.000002
-86.999935;-0.001869;-0.000002
-88.481422;-0.001870;-0.000002
-88.481422;-0.001870;-0.000002
-92.000000;-0.001867;0.000000
