SEP=;
y;Uy;Uy_RESID
5.000000;-0.177438;-0.173683
3.895396;-0.177535;-0.173780
3.895396;-0.177535;-0.173780
3.762319;-0.177531;-0.173776
3.762319;-0.177531;-0.173776
2.250000;-0.169591;-0.165836
2.250000;-0.169591;-0.165836
0.790251;-0.159989;-0.156234
0.790251;-0.159989;-0.156234
-0.647487;-0.146277;-0.142521
-0.647487;-0.146277;-0.142521
-2.063545;-0.133525;-0.129770
-2.063545;-0.133525;-0.129770
-3.458252;-0.121173;-0.117417
-3.458252;-0.121173;-0.117417
-4.831928;-0.110097;-0.106342
-4.831928;-0.110097;-0.106342
-6.184891;-0.098024;-0.094269
-6.184891;-0.098024;-0.094269
-7.517454;-0.088524;-0.084769
-7.517454;-0.088524;-0.084769
-8.829923;-0.077393;-0.073638
-8.829923;-0.077393;-0.073638
-10.122602;-0.069769;-0.066013
-10.122602;-0.069769;-0.066013
-11.395789;-0.060599;-0.056844
-11.395789;-0.060599;-0.056844
-12.649778;-0.053892;-0.050137
-12.649778;-0.053892;-0.050137
-13.884858;-0.046043;-0.042288
-13.884858;-0.046043;-0.042288
-15.101316;-0.036228;-0.032473
-15.101316;-0.036228;-0.032473
-16.189046;-0.031295;-0.027540
-16.189046;-0.031295;-0.027540
-17.083756;-0.026892;-0.023137
-17.083756;-0.026892;-0.023137
-17.279246;-0.025868;-0.022112
-17.279246;-0.025868;-0.022112
-17.514282;-0.024537;-0.020782
-17.514282;-0.024537;-0.020782
-18.372099;-0.020374;-0.016618
-18.372099;-0.020374;-0.016618
-19.073400;-0.017421;-0.013666
-19.073400;-0.017421;-0.013666
-19.468593;-0.015950;-0.012195
-19.468593;-0.015950;-0.012195
-19.941527;-0.013951;-0.010196
-19.941527;-0.013951;-0.010196
-20.568860;-0.011616;-0.007861
-20.568860;-0.011616;-0.007861
-21.074240;-0.009848;-0.006092
-21.074240;-0.009848;-0.006092
-21.670719;-0.007960;-0.004205
-21.670719;-0.007960;-0.004205
-22.374091;-0.005997;-0.002242
-22.374091;-0.005997;-0.002242
-22.751853;-0.005210;-0.001455
-22.751853;-0.005210;-0.001455
-23.021223;-0.004790;-0.001035
-23.021223;-0.004790;-0.001035
-23.751695;-0.003444;0.000311
-23.751695;-0.003444;0.000311
-24.499876;-0.002939;0.000816
-24.499876;-0.002939;0.000816
-24.533178;-0.002941;0.000814
-24.533178;-0.002941;0.000814
-25.096865;-0.002958;0.000797
-25.096865;-0.002958;0.000797
-25.188658;-0.002961;0.000794
-25.188658;-0.002961;0.000794
-26.108320;-0.002995;0.000760
-26.108320;-0.002995;0.000760
-26.499354;-0.003008;0.000747
-26.499354;-0.003008;0.000747
-27.379651;-0.003035;0.000720
-27.379651;-0.003035;0.000720
-28.329319;-0.003066;0.000689
-28.329319;-0.003066;0.000689
-28.995251;-0.003087;0.000668
-28.995251;-0.003087;0.000668
-30.095558;-0.003125;0.000630
-30.095558;-0.003125;0.000630
-30.646007;-0.003147;0.000609
-30.646007;-0.003147;0.000609
-31.790955;-0.003197;0.000558
-31.790955;-0.003197;0.000558
-32.317829;-0.003221;0.000534
-32.317829;-0.003221;0.000534
-33.403053;-0.003272;0.000483
-33.403053;-0.003272;0.000483
-34.053424;-0.003303;0.000452
-34.053424;-0.003303;0.000452
-35.069774;-0.003360;0.000395
-35.069774;-0.003360;0.000395
-36.803331;-0.003462;0.000294
-36.803331;-0.003462;0.000294
-37.620266;-0.003505;0.000250
-37.620266;-0.003505;0.000250
-38.468026;-0.003545;0.000210
-38.468026;-0.003545;0.000210
-40.181927;-0.003618;0.000138
-40.181927;-0.003618;0.000138
-41.809018;-0.003679;0.000076
-41.809018;-0.003679;0.000076
-42.754050;-0.003717;0.000038
-42.754050;-0.003717;0.000038
-43.753512;-0.003751;0.000004
-43.753512;-0.003751;0.000004
-45.331245;-0.003802;-0.000047
-45.331245;-0.003802;-0.000047
-46.818056;-0.003845;-0.000090
-46.818056;-0.003845;-0.000090
-47.912419;-0.003891;-0.000136
-47.912419;-0.003891;-0.000136
-49.067708;-0.003924;-0.000169
-49.067708;-0.003924;-0.000169
-50.494094;-0.003932;-0.000177
-50.494094;-0.003932;-0.000177
-51.728414;-0.003934;-0.000179
-51.728414;-0.003934;-0.000179
-52.953309;-0.003950;-0.000194
-52.953309;-0.003950;-0.000194
-55.756740;-0.003998;-0.000243
-55.756740;-0.003998;-0.000243
-56.586727;-0.003996;-0.000240
-56.586727;-0.003996;-0.000240
-57.922301;-0.004002;-0.000247
-57.922301;-0.004002;-0.000247
-61.715025;-0.004008;-0.000253
-61.715025;-0.004008;-0.000253
-65.406188;-0.003912;-0.000157
-65.406188;-0.003912;-0.000157
-66.811902;-0.003983;-0.000228
-66.811902;-0.003983;-0.000228
-68.241172;-0.004091;-0.000336
-68.241172;-0.004091;-0.000336
-71.889094;-0.004060;-0.000305
-71.889094;-0.004060;-0.000305
-75.485427;-0.004029;-0.000273
-75.485427;-0.004029;-0.000273
-76.947922;-0.004020;-0.000265
-76.947922;-0.004020;-0.000265
-78.430287;-0.003993;-0.000238
-78.430287;-0.003993;-0.000238
-82.000000;-0.003868;-0.000113
-82.000000;-0.003868;-0.000113
-85.518459;-0.003838;-0.000083
-85.518459;-0.003838;-0.000083
-86.999935;-0.003823;-0.000068
-86.999935;-0.003823;-0.000068
-88.481422;-0.003805;-0.000050
-88.481422;-0.003805;-0.000050
-92.000000;-0.003755;0.000000
