SEP=;
y;Ux;Ux_RESID
-4.000000;0.077827;0.071624
-4.018585;0.077750;0.071547
-4.018585;0.077750;0.071547
-5.147713;0.077709;0.071506
-5.147713;0.077709;0.071506
-6.025754;0.083854;0.077651
-6.025754;0.083854;0.077651
-6.290113;0.085668;0.079465
-6.290113;0.085668;0.079465
-6.543930;0.086883;0.080680
-6.543930;0.086883;0.080680
-7.436110;0.089441;0.083237
-7.436110;0.089441;0.083237
-8.589488;0.089683;0.083480
-8.589488;0.089683;0.083480
-8.590849;0.089680;0.083477
-8.590849;0.089680;0.083477
-8.593522;0.089681;0.083477
-8.593522;0.089681;0.083477
-9.724120;0.089477;0.083274
-9.724120;0.089477;0.083274
-10.215509;0.089995;0.083791
-10.215509;0.089995;0.083791
-10.763215;0.091093;0.084889
-10.763215;0.091093;0.084889
-11.619194;0.093505;0.087302
-11.619194;0.093505;0.087302
-11.696665;0.093684;0.087481
-11.696665;0.093684;0.087481
-11.842397;0.094170;0.087967
-11.842397;0.094170;0.087967
-12.575881;0.096880;0.090676
-12.575881;0.096880;0.090676
-12.987770;0.098344;0.092140
-12.987770;0.098344;0.092140
-13.360202;0.099167;0.092963
-13.360202;0.099167;0.092963
-14.138123;0.092864;0.086661
-14.138123;0.092864;0.086661
-14.359414;0.088305;0.082102
-14.359414;0.088305;0.082102
-14.884567;0.086744;0.080540
-14.884567;0.086744;0.080540
-15.164919;0.085452;0.079249
-15.164919;0.085452;0.079249
-15.931234;0.082624;0.076421
-15.931234;0.082624;0.076421
-16.112529;0.082147;0.075944
-16.112529;0.082147;0.075944
-16.215213;0.081846;0.075643
-16.215213;0.081846;0.075643
-16.970943;0.077482;0.071278
-16.970943;0.077482;0.071278
-17.823887;0.070982;0.064779
-17.823887;0.070982;0.064779
-17.854042;0.070762;0.064559
-17.854042;0.070762;0.064559
-17.882355;0.070551;0.064347
-17.882355;0.070551;0.064347
-18.770739;0.064064;0.057861
-18.770739;0.064064;0.057861
-19.701840;0.057422;0.051219
-19.701840;0.057422;0.051219
-19.712898;0.057361;0.051158
-19.712898;0.057361;0.051158
-19.724090;0.057272;0.051068
-19.724090;0.057272;0.051068
-20.650825;0.049924;0.043721
-20.650825;0.049924;0.043721
