SEP=;
y;Ux;Ux_RESID
-4.000000;0.244397;0.227081
-4.018585;0.244189;0.226873
-4.018585;0.244189;0.226873
-5.147713;0.254151;0.236834
-5.147713;0.254151;0.236834
-6.025754;0.285615;0.268299
-6.025754;0.285615;0.268299
-6.290113;0.294213;0.276897
-6.290113;0.294213;0.276897
-6.543930;0.300797;0.283480
-6.543930;0.300797;0.283480
-7.436110;0.312566;0.295250
-7.436110;0.312566;0.295250
-8.589488;0.310128;0.292812
-8.589488;0.310128;0.292812
-8.590849;0.310118;0.292802
-8.590849;0.310118;0.292802
-8.593522;0.310105;0.292789
-8.593522;0.310105;0.292789
-9.724120;0.300618;0.283301
-9.724120;0.300618;0.283301
-10.215509;0.296705;0.279388
-10.215509;0.296705;0.279388
-10.763215;0.292353;0.275037
-10.763215;0.292353;0.275037
-11.619194;0.288357;0.271040
-11.619194;0.288357;0.271040
-11.696665;0.288295;0.270979
-11.696665;0.288295;0.270979
-11.842397;0.288119;0.270802
-11.842397;0.288119;0.270802
-12.575881;0.289885;0.272569
-12.575881;0.289885;0.272569
-12.987770;0.295155;0.277839
-12.987770;0.295155;0.277839
-13.360202;0.304912;0.287595
-13.360202;0.304912;0.287595
-14.138123;0.315115;0.297799
-14.138123;0.315115;0.297799
-14.359414;0.307503;0.290186
-14.359414;0.307503;0.290186
-14.884567;0.293300;0.275984
-14.884567;0.293300;0.275984
-15.164919;0.284962;0.267646
-15.164919;0.284962;0.267646
-15.931234;0.266111;0.248794
-15.931234;0.266111;0.248794
-16.112529;0.263003;0.245686
-16.112529;0.263003;0.245686
-16.215213;0.260922;0.243606
-16.215213;0.260922;0.243606
-16.970943;0.246005;0.228688
-16.970943;0.246005;0.228688
-17.823887;0.231614;0.214297
-17.823887;0.231614;0.214297
-17.854042;0.231132;0.213815
-17.854042;0.231132;0.213815
-17.882355;0.230632;0.213316
-17.882355;0.230632;0.213316
-18.770739;0.213005;0.195689
-18.770739;0.213005;0.195689
-19.701840;0.190575;0.173258
-19.701840;0.190575;0.173258
-19.712898;0.190327;0.173011
-19.712898;0.190327;0.173011
-19.724090;0.190072;0.172755
-19.724090;0.190072;0.172755
-20.650825;0.166924;0.149607
-20.650825;0.166924;0.149607
-21.562349;0.138682;0.121365
-21.562349;0.138682;0.121365
-21.576865;0.138184;0.120868
-21.576865;0.138184;0.120868
-21.591894;0.137678;0.120362
-21.591894;0.137678;0.120362
-22.498575;0.104195;0.086879
-22.498575;0.104195;0.086879
-23.393748;0.066615;0.049299
-23.393748;0.066615;0.049299
-23.416346;0.065611;0.048295
-23.416346;0.065611;0.048295
-23.439492;0.064543;0.047227
-23.439492;0.064543;0.047227
-24.333333;0.016945;-0.000372
-24.333333;0.016945;-0.000372
-24.717029;0.016935;-0.000382
-24.717029;0.016935;-0.000382
-25.304106;0.016922;-0.000395
-25.304106;0.016922;-0.000395
-26.057542;0.016908;-0.000408
-26.057542;0.016908;-0.000408
-26.593767;0.016898;-0.000418
-26.593767;0.016898;-0.000418
-27.288354;0.016884;-0.000433
-27.288354;0.016884;-0.000433
-27.861965;0.016875;-0.000441
-27.861965;0.016875;-0.000441
-28.528278;0.016865;-0.000451
-28.528278;0.016865;-0.000451
-29.185407;0.016857;-0.000459
-29.185407;0.016857;-0.000459
-30.018795;0.016851;-0.000465
-30.018795;0.016851;-0.000465
-30.805048;0.016844;-0.000472
-30.805048;0.016844;-0.000472
-31.891142;0.016832;-0.000485
-31.891142;0.016832;-0.000485
-32.181509;0.016831;-0.000485
-32.181509;0.016831;-0.000485
-33.320027;0.016830;-0.000486
-33.320027;0.016830;-0.000486
-34.090019;0.016833;-0.000484
-34.090019;0.016833;-0.000484
-35.250459;0.016834;-0.000483
-35.250459;0.016834;-0.000483
-37.180280;0.016826;-0.000491
-37.180280;0.016826;-0.000491
-37.623796;0.016825;-0.000492
-37.623796;0.016825;-0.000492
-38.042626;0.016820;-0.000496
-38.042626;0.016820;-0.000496
-40.140728;0.016809;-0.000507
-40.140728;0.016809;-0.000507
-42.380915;0.016743;-0.000573
-42.380915;0.016743;-0.000573
-42.777235;0.016738;-0.000579
-42.777235;0.016738;-0.000579
-43.144906;0.016730;-0.000587
-43.144906;0.016730;-0.000587
-45.447921;0.016649;-0.000667
-45.447921;0.016649;-0.000667
-48.035287;0.016525;-0.000791
-48.035287;0.016525;-0.000791
-48.139090;0.016522;-0.000794
-48.139090;0.016522;-0.000794
-48.229175;0.016522;-0.000795
-48.229175;0.016522;-0.000795
-50.823282;0.016528;-0.000789
-50.823282;0.016528;-0.000789
-52.931528;0.016603;-0.000713
-52.931528;0.016603;-0.000713
-53.251710;0.016621;-0.000695
-53.251710;0.016621;-0.000695
-56.591103;0.016716;-0.000600
-56.591103;0.016716;-0.000600
-56.988037;0.016727;-0.000589
-56.988037;0.016727;-0.000589
-57.675927;0.016703;-0.000613
-57.675927;0.016703;-0.000613
-62.038146;0.016763;-0.000554
-62.038146;0.016763;-0.000554
-66.136934;0.017080;-0.000237
-66.136934;0.017080;-0.000237
-67.037128;0.017177;-0.000140
-67.037128;0.017177;-0.000140
-67.945650;0.017257;-0.000059
-67.945650;0.017257;-0.000059
-72.030111;0.017481;0.000164
-72.030111;0.017481;0.000164
-76.139501;0.017451;0.000135
-76.139501;0.017451;0.000135
-77.015756;0.017442;0.000126
-77.015756;0.017442;0.000126
-77.878008;0.017448;0.000131
-77.878008;0.017448;0.000131
-82.000000;0.017557;0.000241
-82.000000;0.017557;0.000241
-86.166625;0.017463;0.000147
-86.166625;0.017463;0.000147
-86.999955;0.017443;0.000127
-86.999955;0.017443;0.000127
-87.833292;0.017422;0.000106
-87.833292;0.017422;0.000106
-92.000000;0.017316;0.000000
