SEP=;
y;Uy;Uy_RESID
-4.000000;0.147463;0.150211
-4.018585;0.147248;0.149996
-4.018585;0.147248;0.149996
-5.147713;0.135682;0.138430
-5.147713;0.135682;0.138430
-6.025754;0.121444;0.124192
-6.025754;0.121444;0.124192
-6.290113;0.116710;0.119458
-6.290113;0.116710;0.119458
-6.543930;0.112275;0.115023
-6.543930;0.112275;0.115023
-7.436110;0.097332;0.100080
-7.436110;0.097332;0.100080
-8.589488;0.081599;0.084347
-8.589488;0.081599;0.084347
-8.590849;0.081582;0.084329
-8.590849;0.081582;0.084329
-8.593522;0.081549;0.084297
-8.593522;0.081549;0.084297
-9.724120;0.070091;0.072839
-9.724120;0.070091;0.072839
-10.215509;0.066000;0.068748
-10.215509;0.066000;0.068748
-10.763215;0.061994;0.064741
-10.763215;0.061994;0.064741
-11.619194;0.056499;0.059247
-11.619194;0.056499;0.059247
-11.696665;0.056033;0.058781
-11.696665;0.056033;0.058781
-11.842397;0.055136;0.057883
-11.842397;0.055136;0.057883
-12.575881;0.051130;0.053878
-12.575881;0.051130;0.053878
-12.987770;0.048923;0.051671
-12.987770;0.048923;0.051671
-13.360202;0.046725;0.049473
-13.360202;0.046725;0.049473
-14.138123;0.040850;0.043598
-14.138123;0.040850;0.043598
-14.359414;0.039070;0.041818
-14.359414;0.039070;0.041818
-14.884567;0.035062;0.037810
-14.884567;0.035062;0.037810
-15.164919;0.032738;0.035486
-15.164919;0.032738;0.035486
-15.931234;0.026379;0.029126
-15.931234;0.026379;0.029126
-16.112529;0.025032;0.027780
-16.112529;0.025032;0.027780
-16.215213;0.024288;0.027036
-16.215213;0.024288;0.027036
-16.970943;0.019043;0.021791
-16.970943;0.019043;0.021791
-17.823887;0.014768;0.017516
-17.823887;0.014768;0.017516
-17.854042;0.014625;0.017373
-17.854042;0.014625;0.017373
-17.882355;0.014488;0.017236
-17.882355;0.014488;0.017236
-18.770739;0.010580;0.013328
-18.770739;0.010580;0.013328
-19.701840;0.007237;0.009984
-19.701840;0.007237;0.009984
-19.712898;0.007194;0.009942
-19.712898;0.007194;0.009942
-19.724090;0.007152;0.009900
-19.724090;0.007152;0.009900
-20.650825;0.004473;0.007221
-20.650825;0.004473;0.007221
-21.562349;0.002157;0.004904
-21.562349;0.002157;0.004904
-21.576865;0.002125;0.004872
-21.576865;0.002125;0.004872
-21.591894;0.002092;0.004840
-21.591894;0.002092;0.004840
-22.498575;0.000063;0.002811
-22.498575;0.000063;0.002811
-23.393748;-0.001429;0.001319
-23.393748;-0.001429;0.001319
-23.416346;-0.001456;0.001292
-23.416346;-0.001456;0.001292
-23.439492;-0.001483;0.001265
-23.439492;-0.001483;0.001265
-24.333333;-0.002771;-0.000023
-24.333333;-0.002771;-0.000023
-24.717029;-0.002776;-0.000028
-24.717029;-0.002776;-0.000028
-25.304106;-0.002780;-0.000032
-25.304106;-0.002780;-0.000032
-26.057542;-0.002783;-0.000036
-26.057542;-0.002783;-0.000036
-26.593767;-0.002785;-0.000038
-26.593767;-0.002785;-0.000038
-27.288354;-0.002788;-0.000040
-27.288354;-0.002788;-0.000040
-27.861965;-0.002790;-0.000042
-27.861965;-0.002790;-0.000042
-28.528278;-0.002792;-0.000044
-28.528278;-0.002792;-0.000044
-29.185407;-0.002794;-0.000046
-29.185407;-0.002794;-0.000046
-30.018795;-0.002796;-0.000048
-30.018795;-0.002796;-0.000048
-30.805048;-0.002799;-0.000051
-30.805048;-0.002799;-0.000051
-31.891142;-0.002802;-0.000054
-31.891142;-0.002802;-0.000054
-32.181509;-0.002803;-0.000055
-32.181509;-0.002803;-0.000055
-33.320027;-0.002805;-0.000057
-33.320027;-0.002805;-0.000057
-34.090019;-0.002805;-0.000057
-34.090019;-0.002805;-0.000057
-35.250459;-0.002802;-0.000054
-35.250459;-0.002802;-0.000054
-37.180280;-0.002804;-0.000056
-37.180280;-0.002804;-0.000056
-37.623796;-0.002805;-0.000057
-37.623796;-0.002805;-0.000057
-38.042626;-0.002806;-0.000058
-38.042626;-0.002806;-0.000058
-40.140728;-0.002811;-0.000064
-40.140728;-0.002811;-0.000064
-42.380915;-0.002818;-0.000071
-42.380915;-0.002818;-0.000071
-42.777235;-0.002820;-0.000072
-42.777235;-0.002820;-0.000072
-43.144906;-0.002820;-0.000073
-43.144906;-0.002820;-0.000073
-45.447921;-0.002818;-0.000070
-45.447921;-0.002818;-0.000070
-48.035287;-0.002818;-0.000070
-48.035287;-0.002818;-0.000070
-48.139090;-0.002818;-0.000070
-48.139090;-0.002818;-0.000070
-48.229175;-0.002818;-0.000070
-48.229175;-0.002818;-0.000070
-50.823282;-0.002811;-0.000063
-50.823282;-0.002811;-0.000063
-52.931528;-0.002808;-0.000060
-52.931528;-0.002808;-0.000060
-53.251710;-0.002806;-0.000059
-53.251710;-0.002806;-0.000059
-56.591103;-0.002798;-0.000050
-56.591103;-0.002798;-0.000050
-56.988037;-0.002796;-0.000049
-56.988037;-0.002796;-0.000049
-57.675927;-0.002794;-0.000047
-57.675927;-0.002794;-0.000047
-62.038146;-0.002757;-0.000009
-62.038146;-0.002757;-0.000009
-66.136934;-0.002753;-0.000005
-66.136934;-0.002753;-0.000005
-67.037128;-0.002748;-0.000000
-67.037128;-0.002748;-0.000000
-67.945650;-0.002746;0.000001
-67.945650;-0.002746;0.000001
-72.030111;-0.002751;-0.000003
-72.030111;-0.002751;-0.000003
-76.139501;-0.002755;-0.000007
-76.139501;-0.002755;-0.000007
-77.015756;-0.002756;-0.000008
-77.015756;-0.002756;-0.000008
-77.878008;-0.002762;-0.000014
-77.878008;-0.002762;-0.000014
-82.000000;-0.002785;-0.000037
-82.000000;-0.002785;-0.000037
-86.166625;-0.002769;-0.000021
-86.166625;-0.002769;-0.000021
-86.999955;-0.002766;-0.000018
-86.999955;-0.002766;-0.000018
-87.833292;-0.002763;-0.000015
-87.833292;-0.002763;-0.000015
-92.000000;-0.002748;0.000000
