SEP=;
y;Uy;Uy_RESID
-4.000000;0.434094;0.438183
-4.018585;0.433139;0.437228
-4.018585;0.433139;0.437228
-5.147713;0.381888;0.385977
-5.147713;0.381888;0.385977
-6.025754;0.328351;0.332441
-6.025754;0.328351;0.332441
-6.290113;0.311885;0.315975
-6.290113;0.311885;0.315975
-6.543930;0.296706;0.300796
-6.543930;0.296706;0.300796
-7.436110;0.249265;0.253355
-7.436110;0.249265;0.253355
-8.589488;0.202646;0.206736
-8.589488;0.202646;0.206736
-8.590849;0.202598;0.206688
-8.590849;0.202598;0.206688
-8.593522;0.202513;0.206603
-8.593522;0.202513;0.206603
-9.724120;0.170402;0.174492
-9.724120;0.170402;0.174492
-10.215509;0.160137;0.164227
-10.215509;0.160137;0.164227
-10.763215;0.151031;0.155121
-10.763215;0.151031;0.155121
-11.619194;0.139110;0.143200
-11.619194;0.139110;0.143200
-11.696665;0.138071;0.142160
-11.696665;0.138071;0.142160
-11.842397;0.136263;0.140353
-11.842397;0.136263;0.140353
-12.575881;0.128041;0.132131
-12.575881;0.128041;0.132131
-12.987770;0.124587;0.128677
-12.987770;0.124587;0.128677
-13.360202;0.122618;0.126707
-13.360202;0.122618;0.126707
-14.138123;0.112488;0.116578
-14.138123;0.112488;0.116578
-14.359414;0.107304;0.111394
-14.359414;0.107304;0.111394
-14.884567;0.093990;0.098080
-14.884567;0.093990;0.098080
-15.164919;0.087090;0.091179
-15.164919;0.087090;0.091179
-15.931234;0.071075;0.075165
-15.931234;0.071075;0.075165
-16.112529;0.067630;0.071719
-16.112529;0.067630;0.071719
-16.215213;0.065665;0.069755
-16.215213;0.065665;0.069755
-16.970943;0.052586;0.056676
-16.970943;0.052586;0.056676
-17.823887;0.039874;0.043964
-17.823887;0.039874;0.043964
-17.854042;0.039463;0.043553
-17.854042;0.039463;0.043553
-17.882355;0.039086;0.043176
-17.882355;0.039086;0.043176
-18.770739;0.028325;0.032415
-18.770739;0.028325;0.032415
-19.701840;0.019772;0.023862
-19.701840;0.019772;0.023862
-19.712898;0.019681;0.023771
-19.712898;0.019681;0.023771
-19.724090;0.019589;0.023679
-19.724090;0.019589;0.023679
-20.650825;0.012765;0.016855
-20.650825;0.012765;0.016855
-21.562349;0.007217;0.011307
-21.562349;0.007217;0.011307
-21.576865;0.007159;0.011249
-21.576865;0.007159;0.011249
-21.591894;0.007100;0.011190
-21.591894;0.007100;0.011190
-22.498575;0.003133;0.007222
-22.498575;0.003133;0.007222
-23.393748;-0.000616;0.003474
-23.393748;-0.000616;0.003474
-23.416346;-0.000696;0.003394
-23.416346;-0.000696;0.003394
-23.439492;-0.000778;0.003312
-23.439492;-0.000778;0.003312
-24.333333;-0.004258;-0.000168
-24.333333;-0.004258;-0.000168
-24.717029;-0.004261;-0.000171
-24.717029;-0.004261;-0.000171
-25.304106;-0.004267;-0.000178
-25.304106;-0.004267;-0.000178
-26.057542;-0.004275;-0.000185
-26.057542;-0.004275;-0.000185
-26.593767;-0.004279;-0.000189
-26.593767;-0.004279;-0.000189
-27.288354;-0.004282;-0.000192
-27.288354;-0.004282;-0.000192
-27.861965;-0.004284;-0.000194
-27.861965;-0.004284;-0.000194
-28.528278;-0.004284;-0.000194
-28.528278;-0.004284;-0.000194
-29.185407;-0.004283;-0.000193
-29.185407;-0.004283;-0.000193
