SEP=;
y;Ux;Ux_RESID
4.130000;-0.100616;-0.106956
4.128496;-0.100616;-0.106956
4.128496;-0.100616;-0.106956
2.250000;-0.100213;-0.106554
2.250000;-0.100213;-0.106554
2.247898;-0.100213;-0.106553
2.247898;-0.100213;-0.106553
0.887431;-0.099881;-0.106222
0.887431;-0.099881;-0.106222
-0.390433;-0.099379;-0.105720
-0.390433;-0.099379;-0.105720
-0.474084;-0.099356;-0.105696
-0.474084;-0.099356;-0.105696
-0.562105;-0.099327;-0.105667
-0.562105;-0.099327;-0.105667
-1.834546;-0.098995;-0.105335
-1.834546;-0.098995;-0.105335
-3.039742;-0.098130;-0.104471
-3.039742;-0.098130;-0.104471
-3.192650;-0.097996;-0.104336
-3.192650;-0.097996;-0.104336
-3.351062;-0.097815;-0.104155
-3.351062;-0.097815;-0.104155
-4.549113;-0.096455;-0.102795
-4.549113;-0.096455;-0.102795
-5.705690;-0.095300;-0.101640
-5.705690;-0.095300;-0.101640
-5.902650;-0.095149;-0.101489
-5.902650;-0.095149;-0.101489
-6.102799;-0.094919;-0.101259
-6.102799;-0.094919;-0.101259
-7.254409;-0.094146;-0.100487
-7.254409;-0.094146;-0.100487
-8.389782;-0.093071;-0.099411
-8.389782;-0.093071;-0.099411
-8.603346;-0.092753;-0.099093
-8.603346;-0.092753;-0.099093
-8.816339;-0.092344;-0.098685
-8.816339;-0.092344;-0.098685
-9.950547;-0.090199;-0.096539
-9.950547;-0.090199;-0.096539
-11.087137;-0.087372;-0.093713
-11.087137;-0.087372;-0.093713
-11.292485;-0.086903;-0.093244
-11.292485;-0.086903;-0.093244
-11.496568;-0.086347;-0.092688
-11.496568;-0.086347;-0.092688
-12.627007;-0.083051;-0.089391
-12.627007;-0.083051;-0.089391
-13.749521;-0.080037;-0.086378
-13.749521;-0.080037;-0.086378
-13.929591;-0.079565;-0.085906
-13.929591;-0.079565;-0.085906
-14.132754;-0.079044;-0.085384
-14.132754;-0.079044;-0.085384
-15.200000;-0.077663;-0.084004
-15.200000;-0.077663;-0.084004
-16.148404;-0.065596;-0.071936
-16.148404;-0.065596;-0.071936
-16.392473;-0.062610;-0.068950
-16.392473;-0.062610;-0.068950
-16.674279;-0.059281;-0.065621
-16.674279;-0.059281;-0.065621
-17.585497;-0.048443;-0.054783
-17.585497;-0.048443;-0.054783
-18.360788;-0.040482;-0.046822
-18.360788;-0.040482;-0.046822
-18.779646;-0.036672;-0.043012
-18.779646;-0.036672;-0.043012
-19.283093;-0.032897;-0.039238
-19.283093;-0.032897;-0.039238
-19.979536;-0.027601;-0.033942
-19.979536;-0.027601;-0.033942
-20.537656;-0.023612;-0.029952
-20.537656;-0.023612;-0.029952
-21.183218;-0.018816;-0.025156
-21.183218;-0.018816;-0.025156
-21.976427;-0.012962;-0.019302
-21.976427;-0.012962;-0.019302
-22.377478;-0.009902;-0.016242
-22.377478;-0.009902;-0.016242
-22.651953;-0.007983;-0.014323
-22.651953;-0.007983;-0.014323
-23.576990;-0.001057;-0.007397
-23.576990;-0.001057;-0.007397
-24.203853;0.002018;-0.004323
-24.203853;0.002018;-0.004323
-24.676156;0.003872;-0.002469
-24.676156;0.003872;-0.002469
-25.160576;0.006380;0.000040
-25.160576;0.006380;0.000040
-25.610502;0.006382;0.000042
-25.610502;0.006382;0.000042
-26.280367;0.006393;0.000053
-26.280367;0.006393;0.000053
-27.299743;0.006414;0.000073
-27.299743;0.006414;0.000073
-27.862565;0.006423;0.000083
-27.862565;0.006423;0.000083
-28.516086;0.006435;0.000094
-28.516086;0.006435;0.000094
-29.465044;0.006451;0.000111
-29.465044;0.006451;0.000111
-30.117968;0.006462;0.000122
-30.117968;0.006462;0.000122
-31.444047;0.006484;0.000143
-31.444047;0.006484;0.000143
-33.553789;0.006513;0.000173
-33.553789;0.006513;0.000173
-33.781667;0.006516;0.000176
-33.781667;0.006516;0.000176
-33.967609;0.006519;0.000179
-33.967609;0.006519;0.000179
-36.100729;0.006550;0.000210
-36.100729;0.006550;0.000210
-38.405891;0.006580;0.000240
-38.405891;0.006580;0.000240
-38.626015;0.006583;0.000243
-38.626015;0.006583;0.000243
-38.856703;0.006586;0.000246
-38.856703;0.006586;0.000246
-41.332242;0.006618;0.000278
-41.332242;0.006618;0.000278
-44.195054;0.006641;0.000301
-44.195054;0.006641;0.000301
-44.227998;0.006641;0.000301
-44.227998;0.006641;0.000301
-44.256339;0.006642;0.000301
-44.256339;0.006642;0.000301
-47.220356;0.006654;0.000313
-47.220356;0.006654;0.000313
-50.257702;0.006645;0.000305
-50.257702;0.006645;0.000305
-50.519428;0.006644;0.000304
-50.519428;0.006644;0.000304
-50.768391;0.006645;0.000305
-50.768391;0.006645;0.000305
-54.080959;0.006640;0.000299
-54.080959;0.006640;0.000299
-57.592537;0.006570;0.000230
-57.592537;0.006570;0.000230
-58.107099;0.006559;0.000218
-58.107099;0.006559;0.000218
-58.739016;0.006544;0.000203
-58.739016;0.006544;0.000203
-62.333120;0.006411;0.000071
-62.333120;0.006411;0.000071
-64.867893;0.006359;0.000019
-64.867893;0.006359;0.000019
-66.876290;0.006355;0.000015
-66.876290;0.006355;0.000015
-70.141192;0.006358;0.000018
-70.141192;0.006358;0.000018
-71.699274;0.006367;0.000027
-71.699274;0.006367;0.000027
-72.701084;0.006375;0.000035
-72.701084;0.006375;0.000035
-76.737580;0.006398;0.000058
-76.737580;0.006398;0.000058
-81.343528;0.006432;0.000092
-81.343528;0.006432;0.000092
-82.000000;0.006444;0.000103
-82.000000;0.006444;0.000103
-82.595573;0.006437;0.000097
-82.595573;0.006437;0.000097
-87.000001;0.006393;0.000053
-87.000001;0.006393;0.000053
-91.404448;0.006346;0.000006
-91.404448;0.006346;0.000006
-92.000000;0.006340;0.000000
