SEP=;
y;Ux;Ux_RESID
4.130000;-0.054450;-0.059618
4.128496;-0.054442;-0.059610
4.128496;-0.054442;-0.059610
2.250000;-0.049689;-0.054857
2.250000;-0.049689;-0.054857
2.247898;-0.049685;-0.054853
2.247898;-0.049685;-0.054853
0.887431;-0.047583;-0.052752
0.887431;-0.047583;-0.052752
-0.390433;-0.046238;-0.051406
-0.390433;-0.046238;-0.051406
-0.474084;-0.046194;-0.051362
-0.474084;-0.046194;-0.051362
-0.562105;-0.046161;-0.051329
-0.562105;-0.046161;-0.051329
-1.834546;-0.045931;-0.051099
-1.834546;-0.045931;-0.051099
-3.039742;-0.047323;-0.052492
-3.039742;-0.047323;-0.052492
-3.192650;-0.047345;-0.052513
-3.192650;-0.047345;-0.052513
-3.351062;-0.047400;-0.052568
-3.351062;-0.047400;-0.052568
-4.549113;-0.047839;-0.053007
-4.549113;-0.047839;-0.053007
-5.705690;-0.048679;-0.053847
-5.705690;-0.048679;-0.053847
-5.902650;-0.048747;-0.053915
-5.902650;-0.048747;-0.053915
-6.102799;-0.048884;-0.054052
-6.102799;-0.048884;-0.054052
-7.254409;-0.049985;-0.055153
-7.254409;-0.049985;-0.055153
-8.389782;-0.051096;-0.056265
-8.389782;-0.051096;-0.056265
-8.603346;-0.051530;-0.056699
-8.603346;-0.051530;-0.056699
-8.816339;-0.052244;-0.057412
-8.816339;-0.052244;-0.057412
-9.950547;-0.054647;-0.059815
-9.950547;-0.054647;-0.059815
-11.087137;-0.057251;-0.062419
-11.087137;-0.057251;-0.062419
-11.292485;-0.057459;-0.062628
-11.292485;-0.057459;-0.062628
-11.496568;-0.057720;-0.062888
-11.496568;-0.057720;-0.062888
-12.627007;-0.058439;-0.063607
-12.627007;-0.058439;-0.063607
-13.749521;-0.058003;-0.063171
-13.749521;-0.058003;-0.063171
-13.929591;-0.057860;-0.063029
-13.929591;-0.057860;-0.063029
-14.132754;-0.057980;-0.063148
-14.132754;-0.057980;-0.063148
-15.200000;-0.059018;-0.064186
-15.200000;-0.059018;-0.064186
-16.148404;-0.061364;-0.066532
-16.148404;-0.061364;-0.066532
-16.392473;-0.061777;-0.066945
-16.392473;-0.061777;-0.066945
-16.674279;-0.061863;-0.067031
-16.674279;-0.061863;-0.067031
-17.585497;-0.059397;-0.064565
-17.585497;-0.059397;-0.064565
-18.360788;-0.058983;-0.064152
-18.360788;-0.058983;-0.064152
-18.779646;-0.059355;-0.064523
-18.779646;-0.059355;-0.064523
-19.283093;-0.059657;-0.064826
-19.283093;-0.059657;-0.064826
-19.979536;-0.058550;-0.063718
-19.979536;-0.058550;-0.063718
-20.537656;-0.055857;-0.061025
-20.537656;-0.055857;-0.061025
-21.183218;-0.049378;-0.054546
-21.183218;-0.049378;-0.054546
-21.976427;-0.038659;-0.043827
-21.976427;-0.038659;-0.043827
-22.377478;-0.031735;-0.036903
-22.377478;-0.031735;-0.036903
-22.651953;-0.026519;-0.031687
-22.651953;-0.026519;-0.031687
-23.576990;-0.010361;-0.015529
-23.576990;-0.010361;-0.015529
-24.203853;-0.002605;-0.007773
-24.203853;-0.002605;-0.007773
-24.676156;0.002571;-0.002597
-24.676156;0.002571;-0.002597
-25.160576;0.006908;0.001740
-25.160576;0.006908;0.001740
-25.610502;0.006903;0.001735
-25.610502;0.006903;0.001735
-26.280367;0.006887;0.001719
-26.280367;0.006887;0.001719
-27.299743;0.006848;0.001680
-27.299743;0.006848;0.001680
-27.862565;0.006819;0.001651
-27.862565;0.006819;0.001651
-28.516086;0.006786;0.001618
-28.516086;0.006786;0.001618
-29.465044;0.006757;0.001589
-29.465044;0.006757;0.001589
-30.117968;0.006738;0.001570
-30.117968;0.006738;0.001570
-31.444047;0.006703;0.001535
-31.444047;0.006703;0.001535
-33.553789;0.006646;0.001478
-33.553789;0.006646;0.001478
-33.781667;0.006640;0.001471
-33.781667;0.006640;0.001471
-33.967609;0.006634;0.001466
-33.967609;0.006634;0.001466
-36.100729;0.006546;0.001378
-36.100729;0.006546;0.001378
-38.405891;0.006417;0.001249
-38.405891;0.006417;0.001249
-38.626015;0.006403;0.001235
-38.626015;0.006403;0.001235
-38.856703;0.006389;0.001220
-38.856703;0.006389;0.001220
-41.332242;0.006200;0.001032
-41.332242;0.006200;0.001032
-44.195054;0.005939;0.000771
-44.195054;0.005939;0.000771
-44.227998;0.005936;0.000768
-44.227998;0.005936;0.000768
-44.256339;0.005934;0.000765
-44.256339;0.005934;0.000765
-47.220356;0.005690;0.000522
-47.220356;0.005690;0.000522
-50.257702;0.005548;0.000379
-50.257702;0.005548;0.000379
-50.519428;0.005543;0.000375
