SEP=;
y;Uy;Uy_RESID
4.130000;-0.006442;-0.009472
4.128496;-0.006442;-0.009472
4.128496;-0.006442;-0.009472
2.250000;-0.006238;-0.009268
2.250000;-0.006238;-0.009268
2.247898;-0.006238;-0.009268
2.247898;-0.006238;-0.009268
0.887431;-0.006018;-0.009048
0.887431;-0.006018;-0.009048
-0.390433;-0.005622;-0.008652
-0.390433;-0.005622;-0.008652
-0.474084;-0.005594;-0.008624
-0.474084;-0.005594;-0.008624
-0.562105;-0.005567;-0.008596
-0.562105;-0.005567;-0.008596
-1.834546;-0.004897;-0.007927
-1.834546;-0.004897;-0.007927
-3.039742;-0.004287;-0.007317
-3.039742;-0.004287;-0.007317
-3.192650;-0.004232;-0.007261
-3.192650;-0.004232;-0.007261
-3.351062;-0.004173;-0.007203
-3.351062;-0.004173;-0.007203
-4.549113;-0.003653;-0.006683
-4.549113;-0.003653;-0.006683
-5.705690;-0.003054;-0.006084
-5.705690;-0.003054;-0.006084
-5.902650;-0.002990;-0.006019
-5.902650;-0.002990;-0.006019
-6.102799;-0.002880;-0.005910
-6.102799;-0.002880;-0.005910
-7.254409;-0.002060;-0.005089
-7.254409;-0.002060;-0.005089
-8.389782;-0.001341;-0.004371
-8.389782;-0.001341;-0.004371
-8.603346;-0.001283;-0.004312
-8.603346;-0.001283;-0.004312
-8.816339;-0.001228;-0.004258
-8.816339;-0.001228;-0.004258
-9.950547;-0.000725;-0.003755
-9.950547;-0.000725;-0.003755
-11.087137;-0.000098;-0.003128
-11.087137;-0.000098;-0.003128
-11.292485;0.000002;-0.003028
-11.292485;0.000002;-0.003028
-11.496568;0.000127;-0.002903
-11.496568;0.000127;-0.002903
-12.627007;0.000810;-0.002220
-12.627007;0.000810;-0.002220
-13.749521;0.001538;-0.001491
-13.749521;0.001538;-0.001491
-13.929591;0.001715;-0.001315
-13.929591;0.001715;-0.001315
-14.132754;0.001883;-0.001147
-14.132754;0.001883;-0.001147
-15.200000;0.002512;-0.000518
-15.200000;0.002512;-0.000518
-16.148404;0.002690;-0.000340
-16.148404;0.002690;-0.000340
-16.392473;0.002737;-0.000293
-16.392473;0.002737;-0.000293
-16.674279;0.002828;-0.000202
-16.674279;0.002828;-0.000202
-17.585497;0.003010;-0.000020
-17.585497;0.003010;-0.000020
-18.360788;0.003094;0.000064
-18.360788;0.003094;0.000064
-18.779646;0.003179;0.000149
-18.779646;0.003179;0.000149
-19.283093;0.003319;0.000290
-19.283093;0.003319;0.000290
-19.979536;0.003363;0.000333
-19.979536;0.003363;0.000333
-20.537656;0.003439;0.000409
-20.537656;0.003439;0.000409
-21.183218;0.003457;0.000427
-21.183218;0.003457;0.000427
-21.976427;0.003453;0.000424
-21.976427;0.003453;0.000424
-22.377478;0.003381;0.000352
-22.377478;0.003381;0.000352
-22.651953;0.003403;0.000373
-22.651953;0.003403;0.000373
-23.576990;0.003316;0.000286
-23.576990;0.003316;0.000286
-24.203853;0.003202;0.000173
-24.203853;0.003202;0.000173
-24.676156;0.003140;0.000110
-24.676156;0.003140;0.000110
-25.160576;0.003041;0.000011
-25.160576;0.003041;0.000011
-25.610502;0.003038;0.000009
-25.610502;0.003038;0.000009
-26.280367;0.003037;0.000007
-26.280367;0.003037;0.000007
-27.299743;0.003035;0.000006
-27.299743;0.003035;0.000006
-27.862565;0.003035;0.000005
-27.862565;0.003035;0.000005
-28.516086;0.003035;0.000005
-28.516086;0.003035;0.000005
-29.465044;0.003036;0.000006
-29.465044;0.003036;0.000006
-30.117968;0.003037;0.000007
-30.117968;0.003037;0.000007
-31.444047;0.003041;0.000011
-31.444047;0.003041;0.000011
-33.553789;0.003046;0.000016
-33.553789;0.003046;0.000016
-33.781667;0.003046;0.000017
-33.781667;0.003046;0.000017
-33.967609;0.003047;0.000017
-33.967609;0.003047;0.000017
-36.100729;0.003052;0.000022
-36.100729;0.003052;0.000022
-38.405891;0.003057;0.000027
-38.405891;0.003057;0.000027
-38.626015;0.003058;0.000028
-38.626015;0.003058;0.000028
-38.856703;0.003058;0.000029
-38.856703;0.003058;0.000029
-41.332242;0.003066;0.000036
-41.332242;0.003066;0.000036
-44.195054;0.003074;0.000044
-44.195054;0.003074;0.000044
-44.227998;0.003074;0.000044
-44.227998;0.003074;0.000044
-44.256339;0.003074;0.000044
-44.256339;0.003074;0.000044
-47.220356;0.003081;0.000051
-47.220356;0.003081;0.000051
-50.257702;0.003080;0.000050
