SEP=;
y;Uy;Uy_RESID
4.130000;-0.393216;-0.405023
4.127118;-0.392873;-0.404679
4.127118;-0.392873;-0.404679
3.189677;-0.314099;-0.325905
3.189677;-0.314099;-0.325905
2.175679;-0.250962;-0.262769
2.175679;-0.250962;-0.262769
2.147554;-0.249089;-0.260896
2.147554;-0.249089;-0.260896
2.118301;-0.247211;-0.259018
2.118301;-0.247211;-0.259018
0.995935;-0.205232;-0.217039
0.995935;-0.205232;-0.217039
-0.179816;-0.170246;-0.182053
-0.179816;-0.170246;-0.182053
-0.304091;-0.167731;-0.179538
-0.304091;-0.167731;-0.179538
-0.438054;-0.164862;-0.176669
-0.438054;-0.164862;-0.176669
-1.650046;-0.144126;-0.155933
-1.650046;-0.144126;-0.155933
-2.783961;-0.128942;-0.140749
-2.783961;-0.128942;-0.140749
-3.043936;-0.124750;-0.136557
-3.043936;-0.124750;-0.136557
-3.332804;-0.120610;-0.132417
-3.332804;-0.120610;-0.132417
-4.457802;-0.105830;-0.117636
-4.457802;-0.105830;-0.117636
-5.481042;-0.094951;-0.106758
-5.481042;-0.094951;-0.106758
-5.894713;-0.089466;-0.101273
-5.894713;-0.089466;-0.101273
-6.353770;-0.084698;-0.096504
-6.353770;-0.084698;-0.096504
-7.340000;-0.076573;-0.088380
-7.340000;-0.076573;-0.088380
-8.444492;-0.068064;-0.079871
-8.444492;-0.068064;-0.079871
-8.926781;-0.063943;-0.075750
-8.926781;-0.063943;-0.075750
-9.349441;-0.060699;-0.072506
-9.349441;-0.060699;-0.072506
-10.508112;-0.052503;-0.064310
-10.508112;-0.052503;-0.064310
-11.862180;-0.042839;-0.054646
-11.862180;-0.042839;-0.054646
-12.076482;-0.041460;-0.053267
-12.076482;-0.041460;-0.053267
-12.261941;-0.040223;-0.052030
-12.261941;-0.040223;-0.052030
-13.637745;-0.030624;-0.042430
-13.637745;-0.030624;-0.042430
-15.106104;-0.021073;-0.032880
-15.106104;-0.021073;-0.032880
-15.193735;-0.020506;-0.032313
-15.193735;-0.020506;-0.032313
-15.308898;-0.019749;-0.031556
-15.308898;-0.019749;-0.031556
-16.749644;-0.010091;-0.021898
-16.749644;-0.010091;-0.021898
-17.960446;-0.004737;-0.016544
-17.960446;-0.004737;-0.016544
-18.057823;-0.004379;-0.016186
-18.057823;-0.004379;-0.016186
-18.133131;-0.004112;-0.015919
-18.133131;-0.004112;-0.015919
-19.372915;-0.001166;-0.012973
-19.372915;-0.001166;-0.012973
-20.368980;0.000070;-0.011737
-20.368980;0.000070;-0.011737
-20.677397;0.000758;-0.011049
-20.677397;0.000758;-0.011049
-21.639392;0.003316;-0.008491
-21.639392;0.003316;-0.008491
-22.004251;0.004064;-0.007743
-22.004251;0.004064;-0.007743
-22.083024;0.004223;-0.007583
-22.083024;0.004223;-0.007583
-23.517347;0.005610;-0.006196
-23.517347;0.005610;-0.006196
-23.591977;0.005792;-0.006015
-23.591977;0.005792;-0.006015
-25.171460;0.007701;-0.004106
-25.171460;0.007701;-0.004106
-25.206673;0.007662;-0.004145
-25.206673;0.007662;-0.004145
-25.271388;0.007653;-0.004154
-25.271388;0.007653;-0.004154
-26.564731;0.008783;-0.003024
-26.564731;0.008783;-0.003024
-27.696710;0.009827;-0.001979
-27.696710;0.009827;-0.001979
-27.786355;0.009883;-0.001924
-27.786355;0.009883;-0.001924
-27.879191;0.009937;-0.001870
-27.879191;0.009937;-0.001870
-29.027388;0.010713;-0.001093
-29.027388;0.010713;-0.001093
-30.111873;0.011315;-0.000492
-30.111873;0.011315;-0.000492
-30.290113;0.011379;-0.000428
-30.290113;0.011379;-0.000428
-30.484354;0.011464;-0.000343
-30.484354;0.011464;-0.000343
-31.558901;0.011808;0.000001
-31.558901;0.011808;0.000001
-32.554475;0.011821;0.000014
-32.554475;0.011821;0.000014
-32.937669;0.011823;0.000016
-32.937669;0.011823;0.000016
-33.277067;0.011824;0.000017
-33.277067;0.011824;0.000017
-34.297834;0.011821;0.000014
-34.297834;0.011821;0.000014
-35.548639;0.011813;0.000006
-35.548639;0.011813;0.000006
-36.179480;0.011810;0.000003
