SEP=;
y;Ux;Ux_RESID
4.130000;-0.038834;-0.044608
4.098108;-0.038843;-0.044617
4.098108;-0.038843;-0.044617
3.339295;-0.039477;-0.045251
3.339295;-0.039477;-0.045251
2.613866;-0.040105;-0.045879
2.613866;-0.040105;-0.045879
2.388693;-0.040235;-0.046010
2.388693;-0.040235;-0.046010
2.139644;-0.040374;-0.046149
2.139644;-0.040374;-0.046149
1.428268;-0.040973;-0.046747
1.428268;-0.040973;-0.046747
0.779429;-0.041238;-0.047012
0.779429;-0.041238;-0.047012
0.470272;-0.041262;-0.047037
0.470272;-0.041262;-0.047037
0.110498;-0.041329;-0.047103
0.110498;-0.041329;-0.047103
-0.485530;-0.041596;-0.047371
-0.485530;-0.041596;-0.047371
-1.002638;-0.041883;-0.047658
-1.002638;-0.041883;-0.047658
-1.440489;-0.041701;-0.047476
-1.440489;-0.041701;-0.047476
-1.949374;-0.041758;-0.047533
-1.949374;-0.041758;-0.047533
-2.395695;-0.041767;-0.047542
-2.395695;-0.041767;-0.047542
-2.790311;-0.041361;-0.047135
-2.790311;-0.041361;-0.047135
-3.352247;-0.040127;-0.045902
-3.352247;-0.040127;-0.045902
-3.984171;-0.038245;-0.044020
-3.984171;-0.038245;-0.044020
-4.310035;-0.037426;-0.043200
-4.310035;-0.037426;-0.043200
-4.605367;-0.036692;-0.042467
-4.605367;-0.036692;-0.042467
-5.267390;-0.034853;-0.040628
-5.267390;-0.034853;-0.040628
-5.989632;-0.033956;-0.039731
-5.989632;-0.033956;-0.039731
-6.221426;-0.033754;-0.039529
-6.221426;-0.033754;-0.039529
-6.438600;-0.033457;-0.039232
-6.438600;-0.033457;-0.039232
-7.173154;-0.032419;-0.038193
-7.173154;-0.032419;-0.038193
-7.936018;-0.031777;-0.037552
-7.936018;-0.031777;-0.037552
-8.125605;-0.031503;-0.037278
-8.125605;-0.031503;-0.037278
-8.315087;-0.031260;-0.037034
-8.315087;-0.031260;-0.037034
-9.082146;-0.030837;-0.036612
-9.082146;-0.030837;-0.036612
-9.835420;-0.029532;-0.035307
-9.835420;-0.029532;-0.035307
-10.048651;-0.029231;-0.035006
-10.048651;-0.029231;-0.035006
-10.272881;-0.028861;-0.034636
-10.272881;-0.028861;-0.034636
-11.023077;-0.027819;-0.033594
-11.023077;-0.027819;-0.033594
-11.736007;-0.026839;-0.032614
-11.736007;-0.026839;-0.032614
-12.009688;-0.027073;-0.032848
-12.009688;-0.027073;-0.032848
-12.303100;-0.027183;-0.032957
-12.303100;-0.027183;-0.032957
-13.003590;-0.027445;-0.033219
-13.003590;-0.027445;-0.033219
