SEP=;
y;Ux;Ux_RESID
4.130000;-0.010525;-0.019151
4.098108;-0.011016;-0.019641
4.098108;-0.011016;-0.019641
3.339295;-0.020192;-0.028817
3.339295;-0.020192;-0.028817
2.613866;-0.028002;-0.036628
2.613866;-0.028002;-0.036628
2.388693;-0.029977;-0.038603
2.388693;-0.029977;-0.038603
2.139644;-0.031899;-0.040525
2.139644;-0.031899;-0.040525
1.428268;-0.036929;-0.045555
1.428268;-0.036929;-0.045555
0.779429;-0.040848;-0.049473
0.779429;-0.040848;-0.049473
0.470272;-0.042699;-0.051325
0.470272;-0.042699;-0.051325
0.110498;-0.044904;-0.053530
0.110498;-0.044904;-0.053530
-0.485530;-0.048643;-0.057268
-0.485530;-0.048643;-0.057268
-1.002638;-0.051221;-0.059846
-1.002638;-0.051221;-0.059846
-1.440489;-0.052929;-0.061555
-1.440489;-0.052929;-0.061555
-1.949374;-0.054228;-0.062854
-1.949374;-0.054228;-0.062854
-2.395695;-0.055210;-0.063836
-2.395695;-0.055210;-0.063836
-2.790311;-0.056244;-0.064870
-2.790311;-0.056244;-0.064870
-3.352247;-0.057543;-0.066169
-3.352247;-0.057543;-0.066169
-3.984171;-0.058635;-0.067261
-3.984171;-0.058635;-0.067261
-4.310035;-0.059088;-0.067713
-4.310035;-0.059088;-0.067713
-4.605367;-0.059659;-0.068285
-4.605367;-0.059659;-0.068285
-5.267390;-0.061198;-0.069823
-5.267390;-0.061198;-0.069823
-5.989632;-0.062478;-0.071103
-5.989632;-0.062478;-0.071103
-6.221426;-0.062580;-0.071205
-6.221426;-0.062580;-0.071205
-6.438600;-0.062435;-0.071061
-6.438600;-0.062435;-0.071061
-7.173154;-0.061455;-0.070080
-7.173154;-0.061455;-0.070080
-7.936018;-0.059258;-0.067883
-7.936018;-0.059258;-0.067883
-8.125605;-0.058953;-0.067579
-8.125605;-0.058953;-0.067579
-8.315087;-0.058343;-0.066968
-8.315087;-0.058343;-0.066968
-9.082146;-0.056362;-0.064988
-9.082146;-0.056362;-0.064988
-9.835420;-0.054048;-0.062674
-9.835420;-0.054048;-0.062674
-10.048651;-0.053301;-0.061926
-10.048651;-0.053301;-0.061926
-10.272881;-0.052530;-0.061156
-10.272881;-0.052530;-0.061156
-11.023077;-0.050152;-0.058777
-11.023077;-0.050152;-0.058777
-11.736007;-0.049388;-0.058014
-11.736007;-0.049388;-0.058014
-12.009688;-0.048852;-0.057478
-12.009688;-0.048852;-0.057478
-12.303100;-0.048516;-0.057142
-12.303100;-0.048516;-0.057142
-13.003590;-0.046783;-0.055409
-13.003590;-0.046783;-0.055409
-13.658581;-0.046054;-0.054680
-13.658581;-0.046054;-0.054680
-14.003333;-0.045871;-0.054497
-14.003333;-0.045871;-0.054497
-14.775629;-0.046382;-0.055008
-14.775629;-0.046382;-0.055008
-15.044880;-0.043624;-0.052249
-15.044880;-0.043624;-0.052249
-16.240031;-0.025357;-0.033983
-16.240031;-0.025357;-0.033983
-16.469588;-0.022233;-0.030859
-16.469588;-0.022233;-0.030859
-17.685559;-0.007332;-0.015958
-17.685559;-0.007332;-0.015958
-17.894128;-0.004657;-0.013283
-17.894128;-0.004657;-0.013283
-18.909221;0.004765;-0.003861
-18.909221;0.004765;-0.003861
-19.043333;0.006182;-0.002443
-19.043333;0.006182;-0.002443
-19.465801;0.006220;-0.002405
-19.465801;0.006220;-0.002405
-20.082448;0.006261;-0.002365
-20.082448;0.006261;-0.002365
-20.657039;0.006290;-0.002335
-20.657039;0.006290;-0.002335
-21.272035;0.006323;-0.002303
-21.272035;0.006323;-0.002303
-21.632750;0.006345;-0.002280
-21.632750;0.006345;-0.002280
-22.733923;0.006381;-0.002245
-22.733923;0.006381;-0.002245
-24.420112;0.006386;-0.002240
-24.420112;0.006386;-0.002240
-24.523104;0.006388;-0.002238
-24.523104;0.006388;-0.002238
-24.635604;0.006391;-0.002235
-24.635604;0.006391;-0.002235
-26.339457;0.006407;-0.002219
-26.339457;0.006407;-0.002219
-28.186189;0.006428;-0.002198
-28.186189;0.006428;-0.002198
-28.261972;0.006428;-0.002198
-28.261972;0.006428;-0.002198
-28.330484;0.006428;-0.002198
-28.330484;0.006428;-0.002198
-30.273018;0.006432;-0.002194
-30.273018;0.006432;-0.002194
-32.254667;0.006404;-0.002221
-32.254667;0.006404;-0.002221
-32.482868;0.006401;-0.002225
-32.482868;0.006401;-0.002225
-32.772441;0.006398;-0.002228
-32.772441;0.006398;-0.002228
-34.819776;0.006390;-0.002236
-34.819776;0.006390;-0.002236
-36.367699;0.006373;-0.002252
-36.367699;0.006373;-0.002252
-37.369559;0.006377;-0.002249
-37.369559;0.006377;-0.002249
-38.882875;0.006386;-0.002239
-38.882875;0.006386;-0.002239
-40.140597;0.006382;-0.002243
-40.140597;0.006382;-0.002243
-41.054887;0.006404;-0.002222
-41.054887;0.006404;-0.002222
-43.155070;0.006422;-0.002204
-43.155070;0.006422;-0.002204
-46.315630;0.006450;-0.002176
-46.315630;0.006450;-0.002176
-46.538068;0.006450;-0.002175
-46.538068;0.006450;-0.002175
-46.888667;0.006452;-0.002174
-46.888667;0.006452;-0.002174
-50.158979;0.006513;-0.002112
-50.158979;0.006513;-0.002112
-52.430408;0.006632;-0.001994
-52.430408;0.006632;-0.001994
-53.845705;0.006778;-0.001848
-53.845705;0.006778;-0.001848
-56.256125;0.007069;-0.001557
-56.256125;0.007069;-0.001557
-57.644092;0.007190;-0.001436
-57.644092;0.007190;-0.001436
-58.328478;0.007238;-0.001387
-58.328478;0.007238;-0.001387
-61.765609;0.007400;-0.001226
-61.765609;0.007400;-0.001226
-64.099731;0.007533;-0.001093
-64.099731;0.007533;-0.001093
-66.316213;0.007739;-0.000887
-66.316213;0.007739;-0.000887
-70.477546;0.008145;-0.000480
-70.477546;0.008145;-0.000480
-71.256912;0.008134;-0.000492
-71.256912;0.008134;-0.000492
-72.642341;0.008132;-0.000494
-72.642341;0.008132;-0.000494
-76.434374;0.008209;-0.000417
-76.434374;0.008209;-0.000417
-80.560654;0.008114;-0.000512
-80.560654;0.008114;-0.000512
-82.000000;0.008013;-0.000613
-82.000000;0.008013;-0.000613
-83.385938;0.008107;-0.000519
-83.385938;0.008107;-0.000519
-87.000000;0.008327;-0.000299
-87.000000;0.008327;-0.000299
-90.614062;0.008542;-0.000084
-90.614062;0.008542;-0.000084
-92.000000;0.008626;0.000000
