SEP=;
y;Uy;Uy_RESID
4.130000;-0.017603;-0.020181
4.098108;-0.017633;-0.020211
4.098108;-0.017633;-0.020211
3.339295;-0.017272;-0.019850
3.339295;-0.017272;-0.019850
2.613866;-0.016527;-0.019105
2.613866;-0.016527;-0.019105
2.388693;-0.016385;-0.018963
2.388693;-0.016385;-0.018963
2.139644;-0.016213;-0.018791
2.139644;-0.016213;-0.018791
1.428268;-0.015395;-0.017973
1.428268;-0.015395;-0.017973
0.779429;-0.014556;-0.017134
0.779429;-0.014556;-0.017134
0.470272;-0.014127;-0.016705
0.470272;-0.014127;-0.016705
0.110498;-0.013597;-0.016174
0.110498;-0.013597;-0.016174
-0.485530;-0.012722;-0.015300
-0.485530;-0.012722;-0.015300
-1.002638;-0.012058;-0.014636
-1.002638;-0.012058;-0.014636
-1.440489;-0.011413;-0.013990
-1.440489;-0.011413;-0.013990
-1.949374;-0.010679;-0.013257
-1.949374;-0.010679;-0.013257
-2.395695;-0.010049;-0.012627
-2.395695;-0.010049;-0.012627
-2.790311;-0.009467;-0.012045
-2.790311;-0.009467;-0.012045
-3.352247;-0.008673;-0.011251
-3.352247;-0.008673;-0.011251
-3.984171;-0.008040;-0.010618
-3.984171;-0.008040;-0.010618
-4.310035;-0.007542;-0.010120
-4.310035;-0.007542;-0.010120
-4.605367;-0.007010;-0.009587
-4.605367;-0.007010;-0.009587
-5.267390;-0.005798;-0.008376
-5.267390;-0.005798;-0.008376
-5.989632;-0.005086;-0.007664
-5.989632;-0.005086;-0.007664
-6.221426;-0.004846;-0.007424
-6.221426;-0.004846;-0.007424
-6.438600;-0.004758;-0.007336
-6.438600;-0.004758;-0.007336
-7.173154;-0.004388;-0.006966
-7.173154;-0.004388;-0.006966
-7.936018;-0.003598;-0.006175
-7.936018;-0.003598;-0.006175
-8.125605;-0.003418;-0.005996
-8.125605;-0.003418;-0.005996
-8.315087;-0.003186;-0.005764
-8.315087;-0.003186;-0.005764
-9.082146;-0.002082;-0.004660
-9.082146;-0.002082;-0.004660
-9.835420;-0.001199;-0.003777
-9.835420;-0.001199;-0.003777
-10.048651;-0.000886;-0.003464
-10.048651;-0.000886;-0.003464
-10.272881;-0.000608;-0.003186
