SEP=;
y;Uy;Uy_RESID
4.130000;-0.007499;-0.014271
4.098108;-0.007509;-0.014282
4.098108;-0.007509;-0.014282
3.339295;-0.007387;-0.014160
3.339295;-0.007387;-0.014160
2.613866;-0.007292;-0.014065
2.613866;-0.007292;-0.014065
2.388693;-0.007255;-0.014027
2.388693;-0.007255;-0.014027
2.139644;-0.007196;-0.013969
2.139644;-0.007196;-0.013969
1.428268;-0.006945;-0.013718
1.428268;-0.006945;-0.013718
0.779429;-0.006635;-0.013408
0.779429;-0.006635;-0.013408
0.470272;-0.006404;-0.013177
0.470272;-0.006404;-0.013177
0.110498;-0.006126;-0.012899
0.110498;-0.006126;-0.012899
-0.485530;-0.005689;-0.012462
-0.485530;-0.005689;-0.012462
-1.002638;-0.005344;-0.012116
-1.002638;-0.005344;-0.012116
-1.440489;-0.004949;-0.011722
-1.440489;-0.004949;-0.011722
-1.949374;-0.004552;-0.011325
-1.949374;-0.004552;-0.011325
-2.395695;-0.004151;-0.010924
-2.395695;-0.004151;-0.010924
-2.790311;-0.003771;-0.010544
-2.790311;-0.003771;-0.010544
-3.352247;-0.003398;-0.010171
-3.352247;-0.003398;-0.010171
-3.984171;-0.002876;-0.009648
-3.984171;-0.002876;-0.009648
-4.310035;-0.002644;-0.009417
-4.310035;-0.002644;-0.009417
-4.605367;-0.002374;-0.009147
-4.605367;-0.002374;-0.009147
-5.267390;-0.001691;-0.008464
-5.267390;-0.001691;-0.008464
-5.989632;-0.000897;-0.007669
-5.989632;-0.000897;-0.007669
-6.221426;-0.000671;-0.007444
-6.221426;-0.000671;-0.007444
-6.438600;-0.000353;-0.007126
-6.438600;-0.000353;-0.007126
-7.173154;0.000560;-0.006213
-7.173154;0.000560;-0.006213
-7.936018;0.001177;-0.005596
-7.936018;0.001177;-0.005596
-8.125605;0.001236;-0.005537
-8.125605;0.001236;-0.005537
-8.315087;0.001365;-0.005408
-8.315087;0.001365;-0.005408
-9.082146;0.001901;-0.004872
-9.082146;0.001901;-0.004872
-9.835420;0.002349;-0.004424
-9.835420;0.002349;-0.004424
-10.048651;0.002457;-0.004316
-10.048651;0.002457;-0.004316
-10.272881;0.002614;-0.004159
-10.272881;0.002614;-0.004159
-11.023077;0.002942;-0.003830
-11.023077;0.002942;-0.003830
-11.736007;0.003731;-0.003041
-11.736007;0.003731;-0.003041
-12.009688;0.004112;-0.002661
-12.009688;0.004112;-0.002661
-12.303100;0.004346;-0.002427
-12.303100;0.004346;-0.002427
-13.003590;0.004883;-0.001890
-13.003590;0.004883;-0.001890
-13.658581;0.005487;-0.001286
-13.658581;0.005487;-0.001286
-14.003333;0.005875;-0.000898
-14.003333;0.005875;-0.000898
-14.775629;0.005838;-0.000935
-14.775629;0.005838;-0.000935
-15.044880;0.005986;-0.000786
-15.044880;0.005986;-0.000786
-16.240031;0.005839;-0.000934
-16.240031;0.005839;-0.000934
-16.469588;0.005776;-0.000997
-16.469588;0.005776;-0.000997
-17.685559;0.005968;-0.000805
-17.685559;0.005968;-0.000805
-17.894128;0.006103;-0.000670
-17.894128;0.006103;-0.000670
-18.909221;0.006592;-0.000181
-18.909221;0.006592;-0.000181
-19.043333;0.006630;-0.000143
-19.043333;0.006630;-0.000143
-19.465801;0.006632;-0.000141
-19.465801;0.006632;-0.000141
-20.082448;0.006635;-0.000138
-20.082448;0.006635;-0.000138
-20.657039;0.006638;-0.000135
-20.657039;0.006638;-0.000135
-21.272035;0.006642;-0.000131
-21.272035;0.006642;-0.000131
-21.632750;0.006644;-0.000129
-21.632750;0.006644;-0.000129
-22.733923;0.006654;-0.000119
-22.733923;0.006654;-0.000119
-24.420112;0.006667;-0.000106
-24.420112;0.006667;-0.000106
-24.523104;0.006667;-0.000106
-24.523104;0.006667;-0.000106
-24.635604;0.006668;-0.000105
-24.635604;0.006668;-0.000105
-26.339457;0.006682;-0.000090
-26.339457;0.006682;-0.000090
-28.186189;0.006695;-0.000078
-28.186189;0.006695;-0.000078
-28.261972;0.006695;-0.000078
-28.261972;0.006695;-0.000078
-28.330484;0.006696;-0.000077
-28.330484;0.006696;-0.000077
-30.273018;0.006708;-0.000065
-30.273018;0.006708;-0.000065
-32.254667;0.006719;-0.000054
-32.254667;0.006719;-0.000054
-32.482868;0.006720;-0.000053
-32.482868;0.006720;-0.000053
-32.772441;0.006723;-0.000050
-32.772441;0.006723;-0.000050
-34.819776;0.006736;-0.000037
-34.819776;0.006736;-0.000037
-36.367699;0.006745;-0.000028
-36.367699;0.006745;-0.000028
-37.369559;0.006750;-0.000022
-37.369559;0.006750;-0.000022
-38.882875;0.006758;-0.000014
-38.882875;0.006758;-0.000014
