SEP=;
y;Ux;Ux_RESID
-15.840000;0.350858;0.313557
-15.847807;0.350832;0.313531
-15.847807;0.350832;0.313531
-16.445936;0.349626;0.312325
-16.445936;0.349626;0.312325
-16.884160;0.349397;0.312096
-16.884160;0.349397;0.312096
-17.171745;0.349287;0.311986
-17.171745;0.349287;0.311986
-17.562225;0.349526;0.312225
-17.562225;0.349526;0.312225
-17.919911;0.349325;0.312024
-17.919911;0.349325;0.312024
-18.177677;0.348546;0.311245
-18.177677;0.348546;0.311245
-18.681839;0.346844;0.309543
-18.681839;0.346844;0.309543
-19.461362;0.341725;0.304424
-19.461362;0.341725;0.304424
-19.463531;0.341701;0.304400
-19.463531;0.341701;0.304400
-19.464849;0.341691;0.304390
-19.464849;0.341691;0.304390
-20.260942;0.337758;0.300457
-20.260942;0.337758;0.300457
-20.809443;0.333742;0.296441
-20.809443;0.333742;0.296441
-21.086468;0.331448;0.294147
-21.086468;0.331448;0.294147
-21.486310;0.329349;0.292048
-21.486310;0.329349;0.292048
-21.929872;0.325822;0.288521
-21.929872;0.325822;0.288521
-22.251009;0.323026;0.285725
-22.251009;0.323026;0.285725
-22.791405;0.317699;0.280398
-22.791405;0.317699;0.280398
-23.368002;0.312890;0.275589
-23.368002;0.312890;0.275589
-23.670001;0.309570;0.272269
-23.670001;0.309570;0.272269
-23.882320;0.305381;0.268080
-23.882320;0.305381;0.268080
-24.637005;0.292172;0.254871
-24.637005;0.292172;0.254871
-25.128647;0.283432;0.246131
-25.128647;0.283432;0.246131
-25.614433;0.274337;0.237036
-25.614433;0.274337;0.237036
-26.562192;0.254755;0.217454
-26.562192;0.254755;0.217454
-26.598004;0.254032;0.216731
-26.598004;0.254032;0.216731
-26.678355;0.252343;0.215042
-26.678355;0.252343;0.215042
-27.589444;0.234979;0.197678
-27.589444;0.234979;0.197678
-27.977342;0.226799;0.189498
-27.977342;0.226799;0.189498
-28.585646;0.212970;0.175669
-28.585646;0.212970;0.175669
-29.441067;0.192263;0.154962
-29.441067;0.192263;0.154962
-29.579161;0.189047;0.151746
-29.579161;0.189047;0.151746
-29.917477;0.181183;0.143882
-29.917477;0.181183;0.143882
-30.575714;0.166130;0.128829
-30.575714;0.166130;0.128829
-31.101105;0.153495;0.116194
-31.101105;0.153495;0.116194
-31.321302;0.148662;0.111361
-31.321302;0.148662;0.111361
-31.516435;0.144676;0.107375
-31.516435;0.144676;0.107375
-32.372673;0.125978;0.088677
-32.372673;0.125978;0.088677
-33.434265;0.098284;0.060983
-33.434265;0.098284;0.060983
-33.437572;0.098197;0.060896
-33.437572;0.098197;0.060896
-33.441357;0.098090;0.060789
-33.441357;0.098090;0.060789
-34.472576;0.068132;0.030831
-34.472576;0.068132;0.030831
-35.105090;0.047541;0.010240
-35.105090;0.047541;0.010240
-35.372394;0.037848;0.000547
-35.372394;0.037848;0.000547
-35.641290;0.037857;0.000556
-35.641290;0.037857;0.000556
-36.388918;0.037866;0.000565
-36.388918;0.037866;0.000565
-37.641486;0.037851;0.000550
-37.641486;0.037851;0.000550
-37.643721;0.037851;0.000550
-37.643721;0.037851;0.000550
-37.646293;0.037851;0.000550
-37.646293;0.037851;0.000550
-38.888831;0.037827;0.000526
-38.888831;0.037827;0.000526
-39.878680;0.037802;0.000501
-39.878680;0.037802;0.000501
-39.982295;0.037799;0.000498
-39.982295;0.037799;0.000498
-41.459313;0.037763;0.000462
-41.459313;0.037763;0.000462
-41.603398;0.037760;0.000459
-41.603398;0.037760;0.000459
-41.850593;0.037754;0.000453
-41.850593;0.037754;0.000453
-43.565696;0.037718;0.000417
-43.565696;0.037718;0.000417
-45.114735;0.037684;0.000383
-45.114735;0.037684;0.000383
-45.550552;0.037674;0.000373
-45.550552;0.037674;0.000373
-45.970085;0.037665;0.000364
-45.970085;0.037665;0.000364
-47.608360;0.037628;0.000327
-47.608360;0.037628;0.000327
-49.495112;0.037596;0.000295
-49.495112;0.037596;0.000295
-49.741397;0.037594;0.000293
-49.741397;0.037594;0.000293
-49.952685;0.037590;0.000289
-49.952685;0.037590;0.000289
-51.899089;0.037568;0.000267
-51.899089;0.037568;0.000267
-53.910538;0.037550;0.000249
-53.910538;0.037550;0.000249
-54.040342;0.037545;0.000244
-54.040342;0.037545;0.000244
-54.218317;0.037539;0.000237
-54.218317;0.037539;0.000237
-56.169466;0.037447;0.000146
-56.169466;0.037447;0.000146
-57.332625;0.037395;0.000094
-57.332625;0.037395;0.000094
-58.890966;0.037351;0.000050
-58.890966;0.037351;0.000050
-61.565972;0.037285;-0.000016
-61.565972;0.037285;-0.000016
-62.760564;0.037269;-0.000032
-62.760564;0.037269;-0.000032
-63.868864;0.037244;-0.000057
-63.868864;0.037244;-0.000057
-66.609677;0.037109;-0.000192
-66.609677;0.037109;-0.000192
-69.458577;0.036990;-0.000311
-69.458577;0.036990;-0.000311
-70.458302;0.036967;-0.000334
-70.458302;0.036967;-0.000334
-71.432231;0.036952;-0.000349
-71.432231;0.036952;-0.000349
-74.305944;0.037014;-0.000287
-74.305944;0.037014;-0.000287
-77.231649;0.037292;-0.000009
-77.231649;0.037292;-0.000009
-78.153203;0.037378;0.000077
-78.153203;0.037378;0.000077
-79.060383;0.037481;0.000180
-79.060383;0.037481;0.000180
-82.000000;0.037696;0.000394
-82.000000;0.037696;0.000394
-85.078768;0.037539;0.000238
-85.078768;0.037539;0.000238
-85.999978;0.037494;0.000193
-85.999978;0.037494;0.000193
-86.921192;0.037450;0.000149
-86.921192;0.037450;0.000149
-90.000000;0.037301;0.000000
