SEP=;
y;Uy;Uy_RESID
-15.840000;0.305231;0.313331
-15.938180;0.300819;0.308919
-15.938180;0.300819;0.308919
-16.420766;0.275176;0.283276
-16.420766;0.275176;0.283276
-16.612731;0.261448;0.269548
-16.612731;0.261448;0.269548
-17.179667;0.212675;0.220775
-17.179667;0.212675;0.220775
-17.250827;0.206777;0.214877
-17.250827;0.206777;0.214877
-17.458285;0.189715;0.197815
-17.458285;0.189715;0.197815
-17.900965;0.157523;0.165623
-17.900965;0.157523;0.165623
-18.058573;0.148250;0.156350
-18.058573;0.148250;0.156350
-18.599738;0.122735;0.130835
-18.599738;0.122735;0.130835
-18.978733;0.108878;0.116978
-18.978733;0.108878;0.116978
-19.364062;0.097649;0.105749
-19.364062;0.097649;0.105749
-20.038749;0.081834;0.089934
-20.038749;0.081834;0.089934
-20.259664;0.077704;0.085804
-20.259664;0.077704;0.085804
-20.621602;0.072203;0.080303
-20.621602;0.072203;0.080303
-21.077457;0.065205;0.073305
-21.077457;0.065205;0.073305
-21.377287;0.060278;0.068378
-21.377287;0.060278;0.068378
-21.847416;0.053821;0.061921
-21.847416;0.053821;0.061921
-22.471060;0.046208;0.054308
-22.471060;0.046208;0.054308
-22.707244;0.043611;0.051711
-22.707244;0.043611;0.051711
-23.590001;0.034649;0.042749
-23.590001;0.034649;0.042749
-24.541578;0.023906;0.032006
-24.541578;0.023906;0.032006
-24.627011;0.022841;0.030941
-24.627011;0.022841;0.030941
-25.502820;0.014205;0.022305
-25.502820;0.014205;0.022305
-26.027486;0.009504;0.017604
-26.027486;0.009504;0.017604
-26.465904;0.005728;0.013828
-26.465904;0.005728;0.013828
-27.400393;-0.001040;0.007060
-27.400393;-0.001040;0.007060
-27.430040;-0.001243;0.006857
-27.430040;-0.001243;0.006857
-27.498673;-0.001772;0.006328
-27.498673;-0.001772;0.006328
-28.403061;-0.005989;0.002111
-28.403061;-0.005989;0.002111
-28.866986;-0.007172;0.000928
-28.866986;-0.007172;0.000928
-29.374113;-0.008477;-0.000377
-29.374113;-0.008477;-0.000377
-30.347143;-0.008001;0.000099
-30.347143;-0.008001;0.000099
-31.451918;-0.010476;-0.002376
-31.451918;-0.010476;-0.002376
-31.511313;-0.010516;-0.002416
-31.511313;-0.010516;-0.002416
-31.649990;-0.010537;-0.002437
-31.649990;-0.010537;-0.002437
-32.404721;-0.011096;-0.002996
-32.404721;-0.011096;-0.002996
-33.038802;-0.011357;-0.003257
-33.038802;-0.011357;-0.003257
-33.212699;-0.011245;-0.003145
-33.212699;-0.011245;-0.003145
-33.834576;-0.010803;-0.002703
-33.834576;-0.010803;-0.002703
-34.235261;-0.010336;-0.002236
-34.235261;-0.010336;-0.002236
-34.307014;-0.010222;-0.002122
-34.307014;-0.010222;-0.002122
-34.761544;-0.009566;-0.001466
-34.761544;-0.009566;-0.001466
-35.365991;-0.009153;-0.001052
-35.365991;-0.009153;-0.001052
-35.509759;-0.009147;-0.001047
-35.509759;-0.009147;-0.001047
-35.933942;-0.009129;-0.001029
-35.933942;-0.009129;-0.001029
-36.453464;-0.009109;-0.001009
-36.453464;-0.009109;-0.001009
-36.601153;-0.009103;-0.001003
-36.601153;-0.009103;-0.001003
-36.820297;-0.009095;-0.000995
-36.820297;-0.009095;-0.000995
-37.554599;-0.009062;-0.000962
-37.554599;-0.009062;-0.000962
-38.207415;-0.009032;-0.000932
-38.207415;-0.009032;-0.000932
-38.668311;-0.009012;-0.000912
-38.668311;-0.009012;-0.000912
-39.227405;-0.008987;-0.000887
-39.227405;-0.008987;-0.000887
-39.858231;-0.008961;-0.000861
-39.858231;-0.008961;-0.000861
-40.330908;-0.008942;-0.000842
-40.330908;-0.008942;-0.000842
