SEP=;
Time[s];Ux(CN_5);Ux(CN_7);Ux_Residual(CN_5-CN_7);Uy(CN_5);Uy(CN_7);Uy_Residual(CN_5-CN_7);Ux(CN_1);Ux(CN_7);Ux_Residual(CN_1-CN_7);Uy(CN_1);Uy(CN_7);Uy_Residual(CN_1-CN_7);Ux(CN_4);Ux(CN_7);Ux_Residual(CN_4-CN_7);Uy(CN_4);Uy(CN_7);Uy_Residual(CN_4-CN_7);Ux(CN_3);Ux(CN_7);Ux_Residual(CN_3-CN_7);Uy(CN_3);Uy(CN_7);Uy_Residual(CN_3-CN_7);Ux(CN_2);Ux(CN_7);Ux_Residual(CN_2-CN_7);Uy(CN_2);Uy(CN_7);Uy_Residual(CN_2-CN_7);Ux(CN_6);Ux(CN_7);Ux_Residual(CN_6-CN_7);Uy(CN_6);Uy(CN_7);Uy_Residual(CN_6-CN_7)
13305600.009999;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000005;-0.000000;0.000005;0.000009;0.000000;0.000009;-0.000004;-0.000000;-0.000004;0.000008;0.000000;0.000008;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000
13305600.019998;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;0.000001;-0.000000;0.000001;-0.000003;0.000000;-0.000003;0.000038;-0.000000;0.000038;0.000062;0.000000;0.000062;-0.000034;-0.000000;-0.000034;0.000055;0.000000;0.000055;0.000000;-0.000000;0.000000;-0.000001;0.000000;-0.000001;-0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000
13305600.029997;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;0.000004;-0.000000;0.000004;-0.000008;0.000000;-0.000008;0.000088;-0.000000;0.000088;0.000148;0.000000;0.000148;-0.000077;-0.000000;-0.000077;0.000128;0.000000;0.000128;-0.000001;-0.000000;-0.000001;-0.000002;0.000000;-0.000002;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.039996;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000009;-0.000000;0.000009;-0.000013;0.000000;-0.000013;0.000139;-0.000000;0.000139;0.000246;0.000000;0.000246;-0.000119;-0.000000;-0.000119;0.000209;0.000000;0.000209;-0.000004;-0.000000;-0.000004;-0.000003;0.000000;-0.000003;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.049995;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000015;-0.000000;0.000015;-0.000016;0.000000;-0.000016;0.000188;-0.000000;0.000188;0.000346;0.000000;0.000346;-0.000155;-0.000000;-0.000155;0.000290;0.000000;0.000290;-0.000009;-0.000000;-0.000009;-0.000004;0.000000;-0.000004;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.059994;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000019;-0.000000;0.000019;-0.000018;0.000000;-0.000018;0.000230;-0.000000;0.000230;0.000440;0.000000;0.000440;-0.000184;-0.000000;-0.000184;0.000362;0.000000;0.000362;-0.000013;-0.000000;-0.000013;-0.000004;0.000000;-0.000004;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.069993;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000018;-0.000000;0.000018;-0.000019;0.000000;-0.000019;0.000269;-0.000000;0.000269;0.000519;0.000000;0.000519;-0.000210;-0.000000;-0.000210;0.000420;0.000000;0.000420;-0.000014;-0.000000;-0.000014;-0.000003;0.000000;-0.000003;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.079992;0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000016;-0.000000;0.000016;-0.000022;0.000000;-0.000022;0.000303;-0.000000;0.000303;0.000585;0.000000;0.000585;-0.000234;-0.000000;-0.000234;0.000464;0.000000;0.000464;-0.000012;-0.000000;-0.000012;-0.000004;0.000000;-0.000004;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.089991;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;0.000015;-0.000000;0.000015;-0.000026;0.000000;-0.000027;0.000334;-0.000000;0.000334;0.000636;0.000000;0.000636;-0.000256;-0.000000;-0.000256;0.000494;0.000000;0.000494;-0.000012;-0.000000;-0.000012;-0.000006;0.000000;-0.000006;-0.000000;-0.000000;0.000000;-0.000000;0.000000;-0.000000
13305600.099989;0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000;0.000015;0.000000;0.000015;-0.000028;0.000000;-0.000028;0.000361;0.000000;0.000361;0.000675;0.000000;0.000674;-0.000276;0.000000;-0.000276;0.000515;0.000000;0.000515;-0.000012;0.000000;-0.000012;-0.000005;0.000000;-0.000006;-0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000
