Time[s],Ux(CN_1),Ux(CN_2),Ux_Residual(CN_1-CN_2),Uy(CN_1),Uy(CN_2),Uy_Residual(CN_1-CN_2),Ux(CN_3),Ux(CN_4),Ux_Residual(CN_3-CN_4),Uy(CN_3),Uy(CN_4),Uy_Residual(CN_3-CN_4),Ux(CN_5),Ux(CN_6),Ux_Residual(CN_5-CN_6),Uy(CN_5),Uy(CN_6),Uy_Residual(CN_5-CN_6),Ux(CN_7),Ux(CN_8),Ux_Residual(CN_7-CN_8),Uy(CN_7),Uy(CN_8),Uy_Residual(CN_7-CN_8),,
0.02,-0.000002,0,-0.000002,0.000029,0,0.000029,0,0.000055,-0.000055,0,-0.000468,0.000468,0.000008,0,0.000008,0.000003,0,0.000003,0,0,0,0,0,0,,13305600
0.039999999,-0.000002,0,-0.000002,0.000029,0,0.000029,0,0.000055,-0.000055,0,-0.000469,0.000469,0.000008,0,0.000008,0.000003,0,0.000003,0,0,0,0,0,0,,
0.060000001,-0.000002,0,-0.000002,0.000029,0,0.000029,0,0.000055,-0.000055,0,-0.00047,0.00047,0.000008,0,0.000008,0.000003,0,0.000003,0,0,0,0,0,0,,
0.08,-0.000002,0,-0.000002,0.000029,0,0.000029,0,0.000056,-0.000055,0,-0.000471,0.000471,0.000008,0,0.000008,0.000003,0,0.000003,0,0,0,0,0,0,,
0.1,-0.000002,0,-0.000002,0.000029,0,0.000029,0,0.000056,-0.000055,0,-0.000472,0.000472,0.000008,0,0.000008,0.000003,0,0.000003,0,0,0,0,0,0,,
0.119999999,-0.000002,0,-0.000002,0.000029,0,0.000029,0.000001,0.000056,-0.000055,0,-0.000473,0.000473,0.000008,0.000001,0.000007,0.000003,0,0.000003,0,0,0,0,0,0,,
0.140000001,-0.000002,0.000001,-0.000003,0.000029,0,0.000029,0.000001,0.000056,-0.000055,0,-0.000473,0.000473,0.000008,0.000001,0.000007,0.000003,0,0.000003,0,0.000001,-0.000001,0,0,0,,
0.16,-0.000002,0.000001,-0.000003,0.000029,0,0.000029,0.000001,0.000056,-0.000055,0,-0.000474,0.000474,0.000008,0.000001,0.000007,0.000003,0,0.000003,0,0.000001,-0.000001,0,0,0,,
0.18,-0.000002,0.000001,-0.000003,0.000029,0,0.000029,0.000001,0.000056,-0.000055,0,-0.000474,0.000474,0.000008,0.000001,0.000007,0.000003,0,0.000003,0,0.000001,-0.000001,0,0,0,,
0.199999999,-0.000002,0.000002,-0.000004,0.000029,0,0.000029,0.000002,0.000056,-0.000054,0,-0.000475,0.000475,0.000008,0.000002,0.000006,0.000003,0,0.000003,0,0.000002,-0.000002,0,0,0,,
0.220000001,-0.000002,0.000002,-0.000004,0.000029,0,0.000029,0.000002,0.000056,-0.000054,0,-0.000475,0.000475,0.000008,0.000002,0.000006,0.000003,0,0.000003,0,0.000002,-0.000002,0,0,0,,
0.24,-0.000002,0.000002,-0.000004,0.000029,0,0.000029,0.000002,0.000056,-0.000054,0,-0.000475,0.000475,0.000008,0.000003,0.000005,0.000003,0,0.000003,0,0.000002,-0.000002,0,0,0,,
0.26,-0.000002,0.000003,-0.000005,0.000029,0,0.000029,0.000003,0.000056,-0.000053,0,-0.000476,0.000476,0.000008,0.000003,0.000005,0.000003,0,0.000003,0,0.000003,-0.000003,0,0,0,,
0.279999999,-0.000002,0.000003,-0.000005,0.000029,0,0.000029,0.000004,0.000057,-0.000053,0,-0.000476,0.000476,0.000008,0.000004,0.000004,0.000003,0,0.000003,0,0.000004,-0.000003,0,0,0,,
0.300000001,-0.000002,0.000004,-0.000006,0.000029,0,0.000029,0.000004,0.000057,-0.000052,0,-0.000477,0.000477,0.000008,0.000004,0.000004,0.000003,0,0.000003,0,0.000004,-0.000004,0,0,0,,
0.32,-0.000002,0.000005,-0.000007,0.000029,0,0.000029,0.000005,0.000057,-0.000052,0,-0.000477,0.000477,0.000008,0.000005,0.000003,0.000003,0,0.000003,0,0.000005,-0.000005,0,0,0,,
0.34,-0.000002,0.000005,-0.000008,0.000029,0,0.000029,0.000006,0.000057,-0.000051,0,-0.000477,0.000477,0.000008,0.000006,0.000002,0.000003,0,0.000003,0,0.000006,-0.000005,0,0,0,,
0.359999999,-0.000002,0.000006,-0.000008,0.000029,0,0.000029,0.000006,0.000057,-0.00005,0,-0.000477,0.000477,0.000008,0.000007,0.000002,0.000003,0,0.000003,0.000001,0.000006,-0.000006,0,0,0,,
0.380000001,-0.000002,0.000007,-0.000009,0.000029,0,0.000029,0.000007,0.000057,-0.000049,0,-0.000478,0.000478,0.000009,0.000007,0.000001,0.000003,0,0.000003,0.000001,0.000007,-0.000006,0,0,0,,
0.4,-0.000002,0.000008,-0.00001,0.000029,0,0.000029,0.000008,0.000057,-0.000049,0,-0.000478,0.000478,0.000009,0.000008,0.000001,0.000003,0,0.000003,0.000002,0.000008,-0.000007,0,0,0,,
0.42,-0.000002,0.000009,-0.000011,0.000029,0,0.000029,0.000009,0.000057,-0.000048,0,-0.000478,0.000478,0.00001,0.000009,0,0.000003,0,0.000003,0.000003,0.000009,-0.000007,0,0,0,,
0.439999999,-0.000002,0.00001,-0.000012,0.000029,0,0.000029,0.00001,0.000057,-0.000047,0,-0.000478,0.000478,0.00001,0.000011,0,0.000003,0,0.000003,0.000004,0.00001,-0.000007,0,0,0,,
0.460000001,-0.000001,0.000011,-0.000013,0.000029,0,0.000029,0.000012,0.000057,-0.000046,0,-0.000478,0.000478,0.000011,0.000012,0,0.000003,0,0.000003,0.000005,0.000012,-0.000007,0,0,0,,
0.48,-0.000001,0.000013,-0.000014,0.000029,0,0.000029,0.000013,0.000058,-0.000045,0,-0.000478,0.000479,0.000012,0.000013,-0.000001,0.000003,0,0.000003,0.000006,0.000013,-0.000007,0,0,0,,
0.5,0,0.000014,-0.000014,0.000029,0,0.000029,0.000014,0.000058,-0.000044,0,-0.000478,0.000479,0.000013,0.000014,-0.000001,0.000003,0,0.000003,0.000007,0.000014,-0.000007,0,0,0,,
0.52,0,0.000015,-0.000015,0.000029,0,0.000029,0.000015,0.000059,-0.000043,0,-0.000479,0.000479,0.000015,0.000016,-0.000001,0.000003,0,0.000003,0.000009,0.000015,-0.000007,0,0,0,,
