SEP=;
y;Ux;Ux_RESID
6.000000;0.473357;0.413248
4.646367;0.473724;0.413615
4.646367;0.473724;0.413615
3.384632;0.473545;0.413435
3.384632;0.473545;0.413435
3.303203;0.473320;0.413210
3.303203;0.473320;0.413210
3.217978;0.473066;0.412957
3.217978;0.473066;0.412957
1.947771;0.471421;0.411312
1.947771;0.471421;0.411312
0.709064;0.467972;0.407862
0.709064;0.467972;0.407862
0.640413;0.467767;0.407657
0.640413;0.467767;0.407657
0.564597;0.467561;0.407452
0.564597;0.467561;0.407452
-0.583723;0.464074;0.403964
-0.583723;0.464074;0.403964
-1.416702;0.462910;0.402800
-1.416702;0.462910;0.402800
-1.875916;0.461378;0.401268
-1.875916;0.461378;0.401268
-2.737313;0.458858;0.398749
-2.737313;0.458858;0.398749
-3.351649;0.458136;0.398026
-3.351649;0.458136;0.398026
-3.692242;0.457710;0.397600
-3.692242;0.457710;0.397600
-4.862274;0.454922;0.394812
-4.862274;0.454922;0.394812
-5.891978;0.449800;0.389690
-5.891978;0.449800;0.389690
-6.297414;0.447476;0.387366
-6.297414;0.447476;0.387366
-7.079133;0.443197;0.383088
-7.079133;0.443197;0.383088
-7.613292;0.440534;0.380425
-7.613292;0.440534;0.380425
-7.918913;0.438704;0.378594
-7.918913;0.438704;0.378594
-8.867452;0.431583;0.371474
-8.867452;0.431583;0.371474
-10.112996;0.421729;0.361620
-10.112996;0.421729;0.361620
-10.159617;0.421401;0.361292
-10.159617;0.421401;0.361292
-10.200005;0.421134;0.361024
-10.200005;0.421134;0.361024
-11.474423;0.413653;0.353544
-11.474423;0.413653;0.353544
-12.748589;0.405573;0.345464
-12.748589;0.405573;0.345464
-12.814560;0.405129;0.345020
-12.814560;0.405129;0.345020
-12.884830;0.404599;0.344489
-12.884830;0.404599;0.344489
-14.160737;0.397212;0.337103
-14.160737;0.397212;0.337103
-15.359058;0.390514;0.330405
-15.359058;0.390514;0.330405
-15.512026;0.389710;0.329600
-15.512026;0.389710;0.329600
-15.667871;0.389690;0.329580
-15.667871;0.389690;0.329580
-16.889308;0.392144;0.332035
-16.889308;0.392144;0.332035
-18.185566;0.387256;0.327147
-18.185566;0.387256;0.327147
-18.266132;0.386758;0.326648
-18.266132;0.386758;0.326648
-18.341990;0.386544;0.326435
-18.341990;0.386544;0.326435
-19.642452;0.379323;0.319214
-19.642452;0.379323;0.319214
-21.008660;0.366173;0.306064
-21.008660;0.366173;0.306064
-21.017536;0.366050;0.305941
-21.017536;0.366050;0.305941
-21.027031;0.365902;0.305793
-21.027031;0.365902;0.305793
-22.391613;0.347314;0.287204
-22.391613;0.347314;0.287204
-23.659695;0.332419;0.272310
-23.659695;0.332419;0.272310
-23.763011;0.331373;0.271264
-23.763011;0.331373;0.271264
-23.874739;0.329945;0.269836
-23.874739;0.329945;0.269836
-25.132174;0.312075;0.251965
-25.132174;0.312075;0.251965
-26.282942;0.293294;0.233185
-26.282942;0.293294;0.233185
-26.495982;0.289932;0.229822
-26.495982;0.289932;0.229822
-26.730248;0.285460;0.225350
-26.730248;0.285460;0.225350
-27.854951;0.260961;0.200851
-27.854951;0.260961;0.200851
-28.866009;0.237479;0.177369
-28.866009;0.237479;0.177369
-29.204984;0.227301;0.167191
-29.204984;0.227301;0.167191
-29.583459;0.216424;0.156314
-29.583459;0.216424;0.156314
-30.546952;0.189712;0.129603
-30.546952;0.189712;0.129603
-31.413337;0.165627;0.105517
-31.413337;0.165627;0.105517
-31.879309;0.152728;0.092618
-31.879309;0.152728;0.092618
-32.393088;0.138580;0.078471
-32.393088;0.138580;0.078471
-33.205000;0.115654;0.055545
-33.205000;0.115654;0.055545
-34.008730;0.090758;0.030649
-34.008730;0.090758;0.030649
-34.529661;0.075048;0.014939
-34.529661;0.075048;0.014939
-35.286217;0.074904;0.014794
-35.286217;0.074904;0.014794
