SEP=;
y;Uy;Uy_RESID
6.000000;-0.216266;-0.219780
4.646367;-0.207584;-0.211097
4.646367;-0.207584;-0.211097
3.384632;-0.195683;-0.199196
3.384632;-0.195683;-0.199196
3.303203;-0.195415;-0.198928
3.303203;-0.195415;-0.198928
3.217978;-0.195085;-0.198598
3.217978;-0.195085;-0.198598
1.947771;-0.185803;-0.189316
1.947771;-0.185803;-0.189316
0.709064;-0.179644;-0.183157
0.709064;-0.179644;-0.183157
0.640413;-0.179234;-0.182747
0.640413;-0.179234;-0.182747
0.564597;-0.178779;-0.182293
0.564597;-0.178779;-0.182293
-0.583723;-0.171892;-0.175405
-0.583723;-0.171892;-0.175405
-1.416702;-0.167451;-0.170965
-1.416702;-0.167451;-0.170965
-1.875916;-0.165573;-0.169086
-1.875916;-0.165573;-0.169086
-2.737313;-0.162303;-0.165816
-2.737313;-0.162303;-0.165816
-3.351649;-0.159457;-0.162970
-3.351649;-0.159457;-0.162970
-3.692242;-0.158022;-0.161535
-3.692242;-0.158022;-0.161535
-4.862274;-0.153705;-0.157218
-4.862274;-0.153705;-0.157218
-5.891978;-0.150553;-0.154066
-5.891978;-0.150553;-0.154066
-6.297414;-0.149066;-0.152580
-6.297414;-0.149066;-0.152580
-7.079133;-0.145354;-0.148867
-7.079133;-0.145354;-0.148867
-7.613292;-0.142408;-0.145921
-7.613292;-0.142408;-0.145921
-7.918913;-0.140667;-0.144180
-7.918913;-0.140667;-0.144180
-8.867452;-0.135925;-0.139439
-8.867452;-0.135925;-0.139439
-10.112996;-0.129240;-0.132753
-10.112996;-0.129240;-0.132753
-10.159617;-0.129040;-0.132553
-10.159617;-0.129040;-0.132553
-10.200005;-0.128857;-0.132370
-10.200005;-0.128857;-0.132370
-11.474423;-0.121319;-0.124832
-11.474423;-0.121319;-0.124832
-12.748589;-0.112681;-0.116194
-12.748589;-0.112681;-0.116194
-12.814560;-0.112193;-0.115706
-12.814560;-0.112193;-0.115706
-12.884830;-0.111662;-0.115175
-12.884830;-0.111662;-0.115175
-14.160737;-0.103196;-0.106709
-14.160737;-0.103196;-0.106709
-15.359058;-0.093766;-0.097279
-15.359058;-0.093766;-0.097279
-15.512026;-0.092525;-0.096038
-15.512026;-0.092525;-0.096038
-15.667871;-0.091431;-0.094944
-15.667871;-0.091431;-0.094944
-16.889308;-0.083511;-0.087024
-16.889308;-0.083511;-0.087024
-18.185566;-0.074673;-0.078186
-18.185566;-0.074673;-0.078186
-18.266132;-0.074096;-0.077609
-18.266132;-0.074096;-0.077609
-18.341990;-0.073565;-0.077078
-18.341990;-0.073565;-0.077078
-19.642452;-0.064761;-0.068274
-19.642452;-0.064761;-0.068274
-21.008660;-0.055881;-0.059394
-21.008660;-0.055881;-0.059394
-21.017536;-0.055831;-0.059344
-21.017536;-0.055831;-0.059344
-21.027031;-0.055777;-0.059290
-21.027031;-0.055777;-0.059290
-22.391613;-0.047172;-0.050685
-22.391613;-0.047172;-0.050685
-23.659695;-0.039800;-0.043313
-23.659695;-0.039800;-0.043313
-23.763011;-0.039192;-0.042706
-23.763011;-0.039192;-0.042706
-23.874739;-0.038550;-0.042063
-23.874739;-0.038550;-0.042063
-25.132174;-0.032195;-0.035708
-25.132174;-0.032195;-0.035708
-26.282942;-0.026807;-0.030321
-26.282942;-0.026807;-0.030321
-26.495982;-0.025690;-0.029203
-26.495982;-0.025690;-0.029203
-26.730248;-0.024558;-0.028072
-26.730248;-0.024558;-0.028072
-27.854951;-0.019389;-0.022902
-27.854951;-0.019389;-0.022902
-28.866009;-0.014566;-0.018079
-28.866009;-0.014566;-0.018079
-29.204984;-0.013118;-0.016631
-29.204984;-0.013118;-0.016631
-29.583459;-0.011364;-0.014877
-29.583459;-0.011364;-0.014877
-30.546952;-0.007435;-0.010948
-30.546952;-0.007435;-0.010948
-31.413337;-0.004469;-0.007982
-31.413337;-0.004469;-0.007982
-31.879309;-0.002912;-0.006425
-31.879309;-0.002912;-0.006425
-32.393088;-0.001647;-0.005160
-32.393088;-0.001647;-0.005160
-33.205000;0.000443;-0.003071
-33.205000;0.000443;-0.003071
-34.008730;0.002669;-0.000844
-34.008730;0.002669;-0.000844
-34.529661;0.003628;0.000115
-34.529661;0.003628;0.000115
-35.286217;0.003643;0.000130
-35.286217;0.003643;0.000130
-35.973460;0.003654;0.000141
-35.973460;0.003654;0.000141
-36.303511;0.003659;0.000146
-36.303511;0.003659;0.000146
-37.771414;0.003675;0.000162
-37.771414;0.003675;0.000162
-39.731119;0.003689;0.000176
-39.731119;0.003689;0.000176
-39.822411;0.003690;0.000176
-39.822411;0.003690;0.000176
-39.919086;0.003690;0.000177
-39.919086;0.003690;0.000177
-41.832154;0.003700;0.000186
-41.832154;0.003700;0.000186
-43.650222;0.003708;0.000194
-43.650222;0.003708;0.000194
-43.827623;0.003709;0.000196
-43.827623;0.003709;0.000196
-44.000566;0.003710;0.000197
-44.000566;0.003710;0.000197
-45.836162;0.003722;0.000208
-45.836162;0.003722;0.000208
-47.804431;0.003711;0.000198
-47.804431;0.003711;0.000198
-47.880977;0.003711;0.000198
-47.880977;0.003711;0.000198
-47.951494;0.003710;0.000197
-47.951494;0.003710;0.000197
-49.947944;0.003696;0.000182
-49.947944;0.003696;0.000182
-52.005953;0.003675;0.000162
-52.005953;0.003675;0.000162
-52.044940;0.003675;0.000162
-52.044940;0.003675;0.000162
-52.088161;0.003674;0.000161
-52.088161;0.003674;0.000161
-54.152232;0.003642;0.000129
-54.152232;0.003642;0.000129
-55.670154;0.003618;0.000105
-55.670154;0.003618;0.000105
-57.017900;0.003610;0.000097
-57.017900;0.003610;0.000097
-59.072698;0.003612;0.000099
-59.072698;0.003612;0.000099
-61.200601;0.003602;0.000089
-61.200601;0.003602;0.000089
-63.411863;0.003591;0.000078
-63.411863;0.003591;0.000078
-65.369990;0.003575;0.000062
-65.369990;0.003575;0.000062
-67.243732;0.003565;0.000051
-67.243732;0.003565;0.000051
-69.533419;0.003557;0.000044
-69.533419;0.003557;0.000044
-71.922974;0.003536;0.000023
-71.922974;0.003536;0.000023
-73.691628;0.003514;0.000001
-73.691628;0.003514;0.000001
-75.382362;0.003505;-0.000008
-75.382362;0.003505;-0.000008
-77.846766;0.003485;-0.000028
-77.846766;0.003485;-0.000028
-80.424529;0.003460;-0.000053
-80.424529;0.003460;-0.000053
-82.000000;0.003447;-0.000066
-82.000000;0.003447;-0.000066
-83.483283;0.003458;-0.000055
-83.483283;0.003458;-0.000055
-86.000000;0.003480;-0.000033
-86.000000;0.003480;-0.000033
-88.516717;0.003501;-0.000012
-88.516717;0.003501;-0.000012
-90.000000;0.003513;0.000000
