SEP=;
y;Uy;Uy_RESID
4.130000;-0.584922;-0.589108
2.810268;-0.334600;-0.338786
2.810268;-0.334600;-0.338786
2.798722;-0.336134;-0.340320
2.798722;-0.336134;-0.340320
1.479002;-0.209463;-0.213649
1.479002;-0.209463;-0.213649
1.467211;-0.208782;-0.212968
1.467211;-0.208782;-0.212968
0.147510;-0.184252;-0.188439
0.147510;-0.184252;-0.188439
0.136327;-0.184954;-0.189140
0.136327;-0.184954;-0.189140
-1.183354;-0.150188;-0.154375
-1.183354;-0.150188;-0.154375
-1.194231;-0.151140;-0.155326
-1.194231;-0.151140;-0.155326
-2.513891;-0.051140;-0.055326
-2.513891;-0.051140;-0.055326
-2.524635;-0.048082;-0.052268
-2.524635;-0.048082;-0.052268
-3.844272;-0.024602;-0.028788
-3.844272;-0.024602;-0.028788
-3.854962;-0.024041;-0.028228
-3.854962;-0.024041;-0.028228
-5.174573;-0.017502;-0.021688
-5.174573;-0.017502;-0.021688
-5.185253;-0.017027;-0.021213
-5.185253;-0.017027;-0.021213
-6.504833;-0.000370;-0.004556
-6.504833;-0.000370;-0.004556
-6.515533;-0.000775;-0.004962
-6.515533;-0.000775;-0.004962
-7.835075;-0.001110;-0.005297
-7.835075;-0.001110;-0.005297
-7.845820;-0.001214;-0.005400
-7.845820;-0.001214;-0.005400
-9.165312;-0.006056;-0.010242
-9.165312;-0.006056;-0.010242
-9.176132;-0.006065;-0.010251
-9.176132;-0.006065;-0.010251
-10.495562;-0.006071;-0.010257
-10.495562;-0.006071;-0.010257
-10.506497;-0.006064;-0.010250
-10.506497;-0.006064;-0.010250
-11.825854;-0.005386;-0.009573
-11.825854;-0.005386;-0.009573
-11.836980;-0.005385;-0.009571
-11.836980;-0.005385;-0.009571
-13.156273;-0.005143;-0.009329
-13.156273;-0.005143;-0.009329
-13.167744;-0.005137;-0.009323
-13.167744;-0.005137;-0.009323
-14.487044;-0.004177;-0.008363
-14.487044;-0.004177;-0.008363
-14.499133;-0.004168;-0.008354
-14.499133;-0.004168;-0.008354
-15.818604;-0.002974;-0.007160
-15.818604;-0.002974;-0.007160
-15.830306;-0.002960;-0.007146
-15.830306;-0.002960;-0.007146
-17.149959;-0.001211;-0.005397
-17.149959;-0.001211;-0.005397
-17.162957;-0.001190;-0.005376
-17.162957;-0.001190;-0.005376
-18.384716;-0.002279;-0.006465
-18.384716;-0.002279;-0.006465
-19.620951;-0.002918;-0.007104
-19.620951;-0.002918;-0.007104
-19.634608;-0.002927;-0.007113
-19.634608;-0.002927;-0.007113
-19.647675;-0.002933;-0.007119
-19.647675;-0.002933;-0.007119
-20.899408;-0.003162;-0.007348
-20.899408;-0.003162;-0.007348
-22.165972;-0.002725;-0.006911
-22.165972;-0.002725;-0.006911
-22.179032;-0.002724;-0.006910
-22.179032;-0.002724;-0.006910
-22.192275;-0.002726;-0.006912
-22.192275;-0.002726;-0.006912
-23.473795;-0.002313;-0.006499
-23.473795;-0.002313;-0.006499
-24.770498;-0.001416;-0.005602
-24.770498;-0.001416;-0.005602
-24.783794;-0.001412;-0.005598
-24.783794;-0.001412;-0.005598
-24.797123;-0.001406;-0.005592
-24.797123;-0.001406;-0.005592
-26.109347;-0.001006;-0.005192
-26.109347;-0.001006;-0.005192
-27.437119;0.000954;-0.003232
-27.437119;0.000954;-0.003232
-27.450508;0.000969;-0.003217
-27.450508;0.000969;-0.003217
-27.463429;0.000984;-0.003202
-27.463429;0.000984;-0.003202
-28.807593;0.002059;-0.002127
-28.807593;0.002059;-0.002127
-30.167683;0.002617;-0.001569
-30.167683;0.002617;-0.001569
-30.180659;0.002631;-0.001555
-30.180659;0.002631;-0.001555
-30.190090;0.002641;-0.001546
-30.190090;0.002641;-0.001546
-31.569988;0.004246;0.000060
-31.569988;0.004246;0.000060
-31.585158;0.004247;0.000061
-31.585158;0.004247;0.000061
-33.003462;0.004328;0.000142
-33.003462;0.004328;0.000142
-34.639639;0.004340;0.000154
-34.639639;0.004340;0.000154
-34.656124;0.004340;0.000154
-34.656124;0.004340;0.000154
-36.551091;0.004348;0.000162
-36.551091;0.004348;0.000162
-36.562684;0.004348;0.000162
-36.562684;0.004348;0.000162
-38.751900;0.004366;0.000180
-38.751900;0.004366;0.000180
-38.761689;0.004366;0.000180
-38.761689;0.004366;0.000180
-41.289739;0.004389;0.000202
-41.289739;0.004389;0.000202
-41.298340;0.004389;0.000203
-41.298340;0.004389;0.000203
-41.312393;0.004389;0.000203
-41.312393;0.004389;0.000203
-44.225449;0.004375;0.000188
-44.225449;0.004375;0.000188
-47.585992;0.004361;0.000175
-47.585992;0.004361;0.000175
-47.601092;0.004361;0.000175
-47.601092;0.004361;0.000175
-51.483393;0.004424;0.000238
-51.483393;0.004424;0.000238
-51.495263;0.004424;0.000238
-51.495263;0.004424;0.000238
-55.976755;0.004484;0.000298
-55.976755;0.004484;0.000298
-55.987561;0.004484;0.000298
-55.987561;0.004484;0.000298
-61.159764;0.004490;0.000304
-61.159764;0.004490;0.000304
-61.169851;0.004490;0.000304
-61.169851;0.004490;0.000304
-67.138806;0.004256;0.000069
-67.138806;0.004256;0.000069
-67.148087;0.004255;0.000069
-67.148087;0.004255;0.000069
-74.036414;0.004295;0.000108
-74.036414;0.004295;0.000108
-74.044410;0.004295;0.000108
-74.044410;0.004295;0.000108
-74.053215;0.004295;0.000109
-74.053215;0.004295;0.000109
-82.000000;0.004221;0.000035
-82.000000;0.004221;0.000035
-82.009981;0.004221;0.000035
-82.009981;0.004221;0.000035
-90.000000;0.004186;0.000000
