y,Ux,Ux_RESID,y,Ux,Ux_RESID
4.13,-0.415629,-0.473718,4.13,-0.622469,-0.672086
2.785708,-0.314136,-0.372226,2.810268,-0.325498,-0.375115
2.785708,-0.314136,-0.372226,2.810268,-0.325498,-0.375115
2.686837,-0.313842,-0.371931,2.798722,-0.328272,-0.377889
2.686837,-0.313842,-0.371931,2.798722,-0.328272,-0.377889
1.338862,-0.204643,-0.262733,1.479002,-0.315804,-0.365421
1.338862,-0.204643,-0.262733,1.479002,-0.315804,-0.365421
1.251692,-0.191617,-0.249706,1.467211,-0.309453,-0.35907
1.251692,-0.191617,-0.249706,1.467211,-0.309453,-0.35907
1.129967,-0.096368,-0.154458,0.14751,-0.060892,-0.110509
1.129967,-0.096368,-0.154458,0.14751,-0.060892,-0.110509
-0.175078,-0.19576,-0.25385,0.136327,-0.059287,-0.108904
-0.175078,-0.19576,-0.25385,0.136327,-0.059287,-0.108904
-1.473233,0.017069,-0.041021,-1.183354,-0.244939,-0.294556
-1.473233,0.017069,-0.041021,-1.183354,-0.244939,-0.294556
-1.593757,-0.030044,-0.088133,-1.194231,-0.262715,-0.312332
-1.593757,-0.030044,-0.088133,-1.194231,-0.262715,-0.312332
-1.693293,0.041703,-0.016387,-2.513891,-0.193019,-0.242636
-1.693293,0.041703,-0.016387,-2.513891,-0.193019,-0.242636
-2.997189,0.008723,-0.049367,-2.524635,-0.183024,-0.232641
-2.997189,0.008723,-0.049367,-2.524635,-0.183024,-0.232641
-3.110805,-0.050878,-0.108968,-3.844272,0.046739,-0.002878
-3.110805,-0.050878,-0.108968,-3.844272,0.046739,-0.002878
-4.362957,-0.138444,-0.196534,-3.854962,0.044999,-0.004617
-4.362957,-0.138444,-0.196534,-3.854962,0.044999,-0.004617
-4.487119,-0.144461,-0.20255,-5.174573,-0.016153,-0.06577
-4.487119,-0.144461,-0.20255,-5.174573,-0.016153,-0.06577
-5.7702,-0.090046,-0.148136,-5.185253,-0.017563,-0.06718
