SEP=;
y;Uy;Uy_RESID
4.130000;-0.825135;-0.830675
2.785708;-0.543902;-0.549443
2.785708;-0.543902;-0.549443
2.686837;-0.542959;-0.548500
2.686837;-0.542959;-0.548500
1.338862;-0.371919;-0.377459
1.338862;-0.371919;-0.377459
1.251692;-0.388829;-0.394370
1.251692;-0.388829;-0.394370
1.129967;-0.413009;-0.418549
1.129967;-0.413009;-0.418549
-0.175078;-0.295804;-0.301345
-0.175078;-0.295804;-0.301345
-1.473233;-0.186316;-0.191857
-1.473233;-0.186316;-0.191857
-1.593757;-0.202327;-0.207867
-1.593757;-0.202327;-0.207867
-1.693293;-0.212671;-0.218211
-1.693293;-0.212671;-0.218211
-2.997189;-0.157235;-0.162776
-2.997189;-0.157235;-0.162776
-3.110805;-0.135069;-0.140610
-3.110805;-0.135069;-0.140610
-4.362957;-0.119388;-0.124929
-4.362957;-0.119388;-0.124929
-4.487119;-0.111375;-0.116915
-4.487119;-0.111375;-0.116915
-5.770200;-0.065138;-0.070678
-5.770200;-0.065138;-0.070678
-5.899494;-0.041578;-0.047118
-5.899494;-0.041578;-0.047118
-7.125858;-0.040977;-0.046517
-7.125858;-0.040977;-0.046517
-7.251259;-0.032658;-0.038198
-7.251259;-0.032658;-0.038198
-8.507347;-0.022583;-0.028123
-8.507347;-0.022583;-0.028123
-8.630547;-0.023002;-0.028542
-8.630547;-0.023002;-0.028542
-9.902688;-0.023611;-0.029152
-9.902688;-0.023611;-0.029152
-10.019948;-0.023626;-0.029166
-10.019948;-0.023626;-0.029166
-11.301083;-0.022079;-0.027620
-11.301083;-0.022079;-0.027620
-11.397194;-0.021940;-0.027481
-11.397194;-0.021940;-0.027481
-12.631816;-0.019733;-0.025273
-12.631816;-0.019733;-0.025273
-12.719814;-0.019595;-0.025136
-12.719814;-0.019595;-0.025136
-12.845062;-0.019340;-0.024881
-12.845062;-0.019340;-0.024881
-14.066290;-0.017533;-0.023074
-14.066290;-0.017533;-0.023074
-15.281071;-0.015489;-0.021029
-15.281071;-0.015489;-0.021029
-15.410514;-0.015235;-0.020775
-15.410514;-0.015235;-0.020775
-15.496188;-0.014996;-0.020536
-15.496188;-0.014996;-0.020536
-16.750221;-0.012426;-0.017967
-16.750221;-0.012426;-0.017967
-17.122727;-0.013787;-0.019327
-17.122727;-0.013787;-0.019327
-17.219922;-0.013915;-0.019456
-17.219922;-0.013915;-0.019456
-18.395747;-0.014703;-0.020243
-18.395747;-0.014703;-0.020243
-18.499525;-0.014604;-0.020145
-18.499525;-0.014604;-0.020145
-19.700006;-0.012683;-0.018224
-19.700006;-0.012683;-0.018224
-19.816613;-0.012434;-0.017974
-19.816613;-0.012434;-0.017974
-21.037143;-0.009861;-0.015401
-21.037143;-0.009861;-0.015401
-21.149015;-0.009610;-0.015151
-21.149015;-0.009610;-0.015151
-22.329186;-0.007866;-0.013407
-22.329186;-0.007866;-0.013407
-22.444615;-0.007861;-0.013401
-22.444615;-0.007861;-0.013401
-23.655034;-0.006125;-0.011666
-23.655034;-0.006125;-0.011666
-23.771856;-0.005978;-0.011519
-23.771856;-0.005978;-0.011519
-24.938703;-0.004668;-0.010209
-24.938703;-0.004668;-0.010209
-25.052705;-0.004658;-0.010199
-25.052705;-0.004658;-0.010199
-26.252077;-0.004025;-0.009566
-26.252077;-0.004025;-0.009566
-26.371959;-0.003828;-0.009368
-26.371959;-0.003828;-0.009368
-27.593670;-0.001605;-0.007146
-27.593670;-0.001605;-0.007146
-27.701107;-0.001489;-0.007029
-27.701107;-0.001489;-0.007029
-28.882325;0.000648;-0.004893
-28.882325;0.000648;-0.004893
-28.984252;0.000718;-0.004823
-28.984252;0.000718;-0.004823
-30.193846;0.002063;-0.003477
-30.193846;0.002063;-0.003477
