SEP=;
y;Ux;Ux_RESID
-4.640000;0.675505;0.615313
-4.652682;0.675362;0.615170
-4.652682;0.675362;0.615170
-4.718598;0.674865;0.614673
-4.718598;0.674865;0.614673
-6.420287;0.666624;0.606432
-6.420287;0.666624;0.606432
-7.935989;0.664778;0.604586
-7.935989;0.664778;0.604586
-7.977920;0.664738;0.604546
-7.977920;0.664738;0.604546
-8.012527;0.664688;0.604496
-8.012527;0.664688;0.604496
-9.567838;0.665836;0.605644
-9.567838;0.665836;0.605644
-11.045022;0.669088;0.608896
-11.045022;0.669088;0.608896
-11.239617;0.669507;0.609315
-11.239617;0.669507;0.609315
-11.458600;0.670676;0.610484
-11.458600;0.670676;0.610484
-12.993660;0.679550;0.619358
-12.993660;0.679550;0.619358
-14.035396;0.686661;0.626470
-14.035396;0.686661;0.626470
-14.507404;0.689356;0.629164
-14.507404;0.689356;0.629164
-15.243569;0.694140;0.633948
-15.243569;0.694140;0.633948
-15.777400;0.697114;0.636922
-15.777400;0.697114;0.636922
-16.152375;0.694815;0.634624
-16.152375;0.694815;0.634624
-17.099886;0.683902;0.623710
-17.099886;0.683902;0.623710
-18.416698;0.662519;0.602328
-18.416698;0.662519;0.602328
-18.433451;0.662176;0.601984
-18.433451;0.662176;0.601984
-18.445407;0.661941;0.601750
-18.445407;0.661941;0.601750
-19.777682;0.637813;0.577621
-19.777682;0.637813;0.577621
-20.787198;0.617495;0.557303
-20.787198;0.617495;0.557303
-21.144529;0.609636;0.549444
-21.144529;0.609636;0.549444
-21.618811;0.598872;0.538680
-21.618811;0.598872;0.538680
-22.530348;0.574919;0.514727
-22.530348;0.574919;0.514727
-23.238216;0.553865;0.493674
-23.238216;0.553865;0.493674
-23.940493;0.533347;0.473155
-23.940493;0.533347;0.473155
-24.806531;0.506953;0.446761
-24.806531;0.506953;0.446761
-25.368964;0.489329;0.429137
-25.368964;0.489329;0.429137
-25.854890;0.473746;0.413554
-25.854890;0.473746;0.413554
-26.807061;0.445329;0.385137
-26.807061;0.445329;0.385137
-27.858679;0.411078;0.350886
-27.858679;0.411078;0.350886
-28.249018;0.397970;0.337779
-28.249018;0.397970;0.337779
-28.619196;0.384246;0.324054
-28.619196;0.384246;0.324054
-29.689137;0.342585;0.282393
-29.689137;0.342585;0.282393
-30.822625;0.295252;0.235060
-30.822625;0.295252;0.235060
-31.125499;0.281589;0.221397
-31.125499;0.281589;0.221397
-31.414967;0.269343;0.209151
-31.414967;0.269343;0.209151
-32.557738;0.221236;0.161044
-32.557738;0.221236;0.161044
-33.799437;0.163870;0.103679
-33.799437;0.163870;0.103679
-33.983138;0.154875;0.094683
-33.983138;0.154875;0.094683
-34.155464;0.146280;0.086088
-34.155464;0.146280;0.086088
-35.405429;0.077581;0.017389
-35.405429;0.077581;0.017389
-36.491536;0.076326;0.016134
-36.491536;0.076326;0.016134
-36.699363;0.076109;0.015917
-36.699363;0.076109;0.015917
-36.891938;0.075926;0.015735
-36.891938;0.075926;0.015735
-38.077450;0.075055;0.014863
-38.077450;0.075055;0.014863
-39.193257;0.074379;0.014187
-39.193257;0.074379;0.014187
-39.365949;0.074280;0.014088
-39.365949;0.074280;0.014088
-41.131593;0.073340;0.013148
-41.131593;0.073340;0.013148
-41.326746;0.073244;0.013052
-41.326746;0.073244;0.013052
-41.661885;0.073081;0.012889
-41.661885;0.073081;0.012889
-43.726712;0.072180;0.011988
-43.726712;0.072180;0.011988
-45.492142;0.071477;0.011285
-45.492142;0.071477;0.011285
-45.949364;0.071297;0.011105
-45.949364;0.071297;0.011105
-46.425363;0.071103;0.010911
-46.425363;0.071103;0.010911
-48.130139;0.070382;0.010190
-48.130139;0.070382;0.010190
-49.797055;0.069693;0.009501
-49.797055;0.069693;0.009501
-50.271815;0.069503;0.009312
-50.271815;0.069503;0.009312
-50.744128;0.069324;0.009132
-50.744128;0.069324;0.009132
-52.396455;0.068754;0.008562
-52.396455;0.068754;0.008562
-54.225228;0.068204;0.008012
-54.225228;0.068204;0.008012
-54.653243;0.068086;0.007894
-54.653243;0.068086;0.007894
-54.958902;0.068008;0.007817
-54.958902;0.068008;0.007817
-57.358032;0.067420;0.007228
-57.358032;0.067420;0.007228
-61.164441;0.066537;0.006345
-61.164441;0.066537;0.006345
-61.490609;0.066463;0.006271
-61.490609;0.066463;0.006271
-61.811461;0.066382;0.006190
-61.811461;0.066382;0.006190
-65.606440;0.065284;0.005092
-65.606440;0.065284;0.005092
-69.425143;0.064336;0.004144
-69.425143;0.064336;0.004144
-69.707818;0.064247;0.004055
-69.707818;0.064247;0.004055
-69.990795;0.064160;0.003968
-69.990795;0.064160;0.003968
-73.806415;0.062953;0.002761
-73.806415;0.062953;0.002761
-77.593371;0.061785;0.001593
-77.593371;0.061785;0.001593
-77.903284;0.061689;0.001497
-77.903284;0.061689;0.001497
-78.216541;0.061598;0.001406
-78.216541;0.061598;0.001406
-82.000000;0.060617;0.000425
-82.000000;0.060617;0.000425
-85.671733;0.060428;0.000236
-85.671733;0.060428;0.000236
-86.000000;0.060410;0.000218
-86.000000;0.060410;0.000218
-86.328268;0.060392;0.000200
-86.328268;0.060392;0.000200
-90.000000;0.060192;0.000000
