SEP=;
y;Uy;Uy_RESID
-4.640000;-0.106277;-0.110165
-4.652682;-0.106151;-0.110039
-4.652682;-0.106151;-0.110039
-4.718598;-0.105401;-0.109289
-4.718598;-0.105401;-0.109289
-6.420287;-0.085273;-0.089161
-6.420287;-0.085273;-0.089161
-7.935989;-0.071220;-0.075108
-7.935989;-0.071220;-0.075108
-7.977920;-0.070889;-0.074777
-7.977920;-0.070889;-0.074777
-8.012527;-0.070571;-0.074459
-8.012527;-0.070571;-0.074459
-9.567838;-0.057277;-0.061165
-9.567838;-0.057277;-0.061165
-11.045022;-0.045929;-0.049817
-11.045022;-0.045929;-0.049817
-11.239617;-0.044382;-0.048270
-11.239617;-0.044382;-0.048270
-11.458600;-0.042763;-0.046651
-11.458600;-0.042763;-0.046651
-12.993660;-0.031635;-0.035523
-12.993660;-0.031635;-0.035523
-14.035396;-0.025160;-0.029048
-14.035396;-0.025160;-0.029048
-14.507404;-0.022493;-0.026381
-14.507404;-0.022493;-0.026381
-15.243569;-0.019158;-0.023046
-15.243569;-0.019158;-0.023046
-15.777400;-0.016786;-0.020674
-15.777400;-0.016786;-0.020674
-16.152375;-0.015492;-0.019380
-16.152375;-0.015492;-0.019380
-17.099886;-0.012895;-0.016783
-17.099886;-0.012895;-0.016783
-18.416698;-0.009843;-0.013731
-18.416698;-0.009843;-0.013731
-18.433451;-0.009787;-0.013675
-18.433451;-0.009787;-0.013675
-18.445407;-0.009747;-0.013635
-18.445407;-0.009747;-0.013635
-19.777682;-0.006540;-0.010428
-19.777682;-0.006540;-0.010428
-20.787198;-0.004929;-0.008817
-20.787198;-0.004929;-0.008817
-21.144529;-0.004406;-0.008294
-21.144529;-0.004406;-0.008294
-21.618811;-0.003737;-0.007625
-21.618811;-0.003737;-0.007625
-22.530348;-0.002418;-0.006306
-22.530348;-0.002418;-0.006306
-23.238216;-0.001818;-0.005706
-23.238216;-0.001818;-0.005706
-23.940493;-0.001289;-0.005177
-23.940493;-0.001289;-0.005177
-24.806531;-0.000204;-0.004092
