SEP=;
y;Ux;Ux_RESID
-15.840000;0.098021;0.037102
-16.831961;0.096539;0.035621
-16.831961;0.096539;0.035621
-16.915001;0.096407;0.035489
-16.915001;0.096407;0.035489
-16.998556;0.096286;0.035368
-16.998556;0.096286;0.035368
-17.990001;0.097641;0.036723
-17.990001;0.097641;0.036723
-19.373412;0.092286;0.031368
-19.373412;0.092286;0.031368
-19.490000;0.090901;0.029982
-19.490000;0.090901;0.029982
-19.606497;0.089721;0.028803
-19.606497;0.089721;0.028803
-20.990000;0.076144;0.015226
-20.990000;0.076144;0.015226
-22.134688;0.068356;0.007437
-22.134688;0.068356;0.007437
-22.251935;0.067937;0.007018
-22.251935;0.067937;0.007018
-23.396879;0.062997;0.002079
-23.396879;0.062997;0.002079
-23.489177;0.062818;0.001899
-23.489177;0.062818;0.001899
-23.616510;0.063075;0.002156
-23.616510;0.063075;0.002156
-24.760556;0.063954;0.003035
-24.760556;0.063954;0.003035
-25.918158;0.064736;0.003817
-25.918158;0.064736;0.003817
-26.046400;0.064692;0.003773
-26.046400;0.064692;0.003773
-26.178659;0.065065;0.004146
-26.178659;0.065065;0.004146
-27.348047;0.067256;0.006337
-27.348047;0.067256;0.006337
-28.531290;0.064386;0.003468
-28.531290;0.064386;0.003468
-28.664183;0.064020;0.003102
-28.664183;0.064020;0.003102
-28.797805;0.063460;0.002541
-28.797805;0.063460;0.002541
-29.996352;0.060938;0.000019
-29.996352;0.060938;0.000019
-31.209100;0.059212;-0.001707
-31.209100;0.059212;-0.001707
-31.343359;0.059480;-0.001439
-31.343359;0.059480;-0.001439
-31.472977;0.059514;-0.001404
-31.472977;0.059514;-0.001404
-32.706677;0.061400;0.000482
-32.706677;0.061400;0.000482
-33.954994;0.065199;0.004280
-33.954994;0.065199;0.004280
-34.085187;0.064775;0.003857
-34.085187;0.064775;0.003857
-34.179714;0.064446;0.003528
-34.179714;0.064446;0.003528
-35.479987;0.052358;-0.008561
-35.479987;0.052358;-0.008561
-36.810575;0.081724;0.020806
-36.810575;0.081724;0.020806
-36.920201;0.080245;0.019327
-36.920201;0.080245;0.019327
-38.489853;0.061228;0.000309
-38.489853;0.061228;0.000309
-38.596408;0.061252;0.000334
-38.596408;0.061252;0.000334
-40.453896;0.062446;0.001528
-40.453896;0.062446;0.001528
-40.551887;0.062464;0.001545
-40.551887;0.062464;0.001545
-42.748337;0.062704;0.001785
-42.748337;0.062704;0.001785
-42.836363;0.062710;0.001791
-42.836363;0.062710;0.001791
-42.978987;0.062723;0.001804
-42.978987;0.062723;0.001804
-45.512880;0.062687;0.001768
-45.512880;0.062687;0.001768
-48.474237;0.062410;0.001491
-48.474237;0.062410;0.001491
-48.627817;0.062385;0.001467
-48.627817;0.062385;0.001467
-52.146019;0.061808;0.000890
-52.146019;0.061808;0.000890
-52.267617;0.061792;0.000873
-52.267617;0.061792;0.000873
-56.410267;0.060889;-0.000029
-56.410267;0.060889;-0.000029
-56.522864;0.060867;-0.000052
-56.522864;0.060867;-0.000052
-61.391731;0.060381;-0.000538
-61.391731;0.060381;-0.000538
-61.506271;0.060379;-0.000540
-61.506271;0.060379;-0.000540
-67.223706;0.059867;-0.001052
-67.223706;0.059867;-0.001052
-67.339308;0.059853;-0.001066
-67.339308;0.059853;-0.001066
-73.977243;0.059496;-0.001422
-73.977243;0.059496;-0.001422
-74.090722;0.059509;-0.001410
-74.090722;0.059509;-0.001410
-81.893495;0.060598;-0.000320
-81.893495;0.060598;-0.000320
-82.000000;0.060644;-0.000274
-82.000000;0.060644;-0.000274
-82.099811;0.060645;-0.000273
-82.099811;0.060645;-0.000273
-90.000000;0.060919;0.000000
