SEP=;
y;Uy;Uy_RESID
-15.840000;-0.001818;0.000177
-16.831961;-0.002422;-0.000428
-16.831961;-0.002422;-0.000428
-16.915001;-0.002396;-0.000401
-16.915001;-0.002396;-0.000401
-16.998556;-0.002380;-0.000386
-16.998556;-0.002380;-0.000386
-17.990001;-0.003927;-0.001932
-17.990001;-0.003927;-0.001932
-19.373412;-0.003491;-0.001497
-19.373412;-0.003491;-0.001497
-19.490000;-0.003406;-0.001412
-19.490000;-0.003406;-0.001412
-19.606497;-0.003434;-0.001439
-19.606497;-0.003434;-0.001439
-20.990000;-0.004518;-0.002523
-20.990000;-0.004518;-0.002523
-22.134688;-0.003699;-0.001705
-22.134688;-0.003699;-0.001705
-22.251935;-0.003448;-0.001454
-22.251935;-0.003448;-0.001454
-23.396879;-0.002111;-0.000116
-23.396879;-0.002111;-0.000116
-23.489177;-0.002148;-0.000154
-23.489177;-0.002148;-0.000154
-23.616510;-0.002255;-0.000261
-23.616510;-0.002255;-0.000261
-24.760556;-0.002252;-0.000258
-24.760556;-0.002252;-0.000258
-25.918158;-0.001660;0.000335
-25.918158;-0.001660;0.000335
-26.046400;-0.001521;0.000474
-26.046400;-0.001521;0.000474
-26.178659;-0.001454;0.000540
-26.178659;-0.001454;0.000540
-27.348047;-0.002082;-0.000088
-27.348047;-0.002082;-0.000088
-28.531290;-0.003725;-0.001731
-28.531290;-0.003725;-0.001731
-28.664183;-0.004025;-0.002030
-28.664183;-0.004025;-0.002030
-28.797805;-0.004343;-0.002349
-28.797805;-0.004343;-0.002349
-29.996352;-0.006835;-0.004841
-29.996352;-0.006835;-0.004841
-31.209100;-0.009668;-0.007674
-31.209100;-0.009668;-0.007674
-31.343359;-0.009843;-0.007849
-31.343359;-0.009843;-0.007849
-31.472977;-0.009975;-0.007981
-31.472977;-0.009975;-0.007981
-32.706677;-0.012221;-0.010227
-32.706677;-0.012221;-0.010227
-33.954994;-0.013461;-0.011467
-33.954994;-0.013461;-0.011467
-34.085187;-0.013838;-0.011843
-34.085187;-0.013838;-0.011843
-34.179714;-0.014070;-0.012076
-34.179714;-0.014070;-0.012076
-35.479987;-0.015421;-0.013426
-35.479987;-0.015421;-0.013426
-36.810575;-0.012511;-0.010517
-36.810575;-0.012511;-0.010517
-36.920201;-0.009747;-0.007753
-36.920201;-0.009747;-0.007753
-38.489853;0.000557;0.002551
-38.489853;0.000557;0.002551
-38.596408;0.000402;0.002396
-38.596408;0.000402;0.002396
-40.453896;-0.002008;-0.000014
-40.453896;-0.002008;-0.000014
-40.551887;-0.002024;-0.000030
-40.551887;-0.002024;-0.000030
-42.748337;-0.002316;-0.000322
-42.748337;-0.002316;-0.000322
-42.836363;-0.002323;-0.000329
-42.836363;-0.002323;-0.000329
-42.978987;-0.002335;-0.000341
-42.978987;-0.002335;-0.000341
-45.512880;-0.002416;-0.000422
-45.512880;-0.002416;-0.000422
-48.474237;-0.002292;-0.000297
-48.474237;-0.002292;-0.000297
-48.627817;-0.002283;-0.000289
-48.627817;-0.002283;-0.000289
-52.146019;-0.002493;-0.000498
-52.146019;-0.002493;-0.000498
-52.267617;-0.002510;-0.000516
-52.267617;-0.002510;-0.000516
-56.410267;-0.002255;-0.000261
-56.410267;-0.002255;-0.000261
-56.522864;-0.002262;-0.000268
-56.522864;-0.002262;-0.000268
-61.391731;-0.002520;-0.000525
-61.391731;-0.002520;-0.000525
-61.506271;-0.002530;-0.000536
-61.506271;-0.002530;-0.000536
-67.223706;-0.002645;-0.000651
-67.223706;-0.002645;-0.000651
-67.339308;-0.002633;-0.000639
-67.339308;-0.002633;-0.000639
-73.977243;-0.002056;-0.000061
-73.977243;-0.002056;-0.000061
-74.090722;-0.002040;-0.000045
-74.090722;-0.002040;-0.000045
-81.893495;-0.002211;-0.000217
-81.893495;-0.002211;-0.000217
-82.000000;-0.002215;-0.000220
-82.000000;-0.002215;-0.000220
-82.099811;-0.002213;-0.000218
-82.099811;-0.002213;-0.000218
-90.000000;-0.001994;0.000000
