y,Ux,Ux_RESID,y,Ux,Ux_RESID
-15.84,0.163407,0.101822,-15.84,0.098021,0.037102
-15.903352,0.163341,0.101756,-16.831961,0.096539,0.035621
-15.903352,0.163341,0.101756,-16.831961,0.096539,0.035621
-16.867487,0.161752,0.100167,-16.915001,0.096407,0.035489
-16.867487,0.161752,0.100167,-16.915001,0.096407,0.035489
-16.962589,0.161507,0.099922,-16.998556,0.096286,0.035368
-16.962589,0.161507,0.099922,-16.998556,0.096286,0.035368
-17.926549,0.157434,0.095849,-17.990001,0.097641,0.036723
-17.926549,0.157434,0.095849,-17.990001,0.097641,0.036723
-17.990001,0.157389,0.095804,-19.373412,0.092286,0.031368
-17.990001,0.157389,0.095804,-19.373412,0.092286,0.031368
-18.65903,0.153866,0.092281,-19.49,0.090901,0.029982
-18.65903,0.153866,0.092281,-19.49,0.090901,0.029982
-18.740001,0.153167,0.091582,-19.606497,0.089721,0.028803
-18.740001,0.153167,0.091582,-19.606497,0.089721,0.028803
-18.820655,0.15227,0.090685,-20.99,0.076144,0.015226
-18.820655,0.15227,0.090685,-20.99,0.076144,0.015226
-19.49,0.148032,0.086447,-22.134688,0.068356,0.007437
-19.49,0.148032,0.086447,-22.134688,0.068356,0.007437
-20.159346,0.144144,0.082559,-22.251935,0.067937,0.007018
-20.159346,0.144144,0.082559,-22.251935,0.067937,0.007018
-20.24,0.1438,0.082215,-23.396879,0.062997,0.002079
-20.24,0.1438,0.082215,-23.396879,0.062997,0.002079
-20.321315,0.143599,0.082014,-23.489177,0.062818,0.001899
-20.321315,0.143599,0.082014,-23.489177,0.062818,0.001899
-20.99,0.136657,0.075072,-23.61651,0.063075,0.002156
-20.99,0.136657,0.075072,-23.61651,0.063075,0.002156
-21.829122,0.127293,0.065708,-24.760556,0.063954,0.003035
-21.829122,0.127293,0.065708,-24.760556,0.063954,0.003035
-21.938169,0.126433,0.064848,-25.918158,0.064736,0.003817
-21.938169,0.126433,0.064848,-25.918158,0.064736,0.003817
-22.082521,0.125153,0.063568,-26.0464,0.064692,0.003773
-22.082521,0.125153,0.063568,-26.0464,0.064692,0.003773
-22.980381,0.117607,0.056022,-26.178659,0.065065,0.004146
-22.980381,0.117607,0.056022,-26.178659,0.065065,0.004146
-23.961544,0.114496,0.052911,-27.348047,0.067256,0.006337
-23.961544,0.114496,0.052911,-27.348047,0.067256,0.006337
-24.111582,0.114564,0.052979,-28.53129,0.064386,0.003468
-24.111582,0.114564,0.052979,-28.53129,0.064386,0.003468
-25.23265,0.112452,0.050867,-28.664183,0.06402,0.003102
-25.23265,0.112452,0.050867,-28.664183,0.06402,0.003102
-25.356102,0.112411,0.050826,-28.797805,0.06346,0.002541
-25.356102,0.112411,0.050826,-28.797805,0.06346,0.002541
-26.606852,0.11083,0.049245,-29.996352,0.060938,0.000019
-26.606852,0.11083,0.049245,-29.996352,0.060938,0.000019
-26.721467,0.111169,0.049584,-31.2091,0.059212,-0.001707
-26.721467,0.111169,0.049584,-31.2091,0.059212,-0.001707
-28.043593,0.109162,0.047577,-31.343359,0.05948,-0.001439
-28.043593,0.109162,0.047577,-31.343359,0.05948,-0.001439
-28.156606,0.108822,0.047237,-31.472977,0.059514,-0.001404
-28.156606,0.108822,0.047237,-31.472977,0.059514,-0.001404
-29.6361,0.103217,0.041633,-32.706677,0.0614,0.000482
-29.6361,0.103217,0.041633,-32.706677,0.0614,0.000482
-29.749798,0.102646,0.041061,-33.954994,0.065199,0.00428
-29.749798,0.102646,0.041061,-33.954994,0.065199,0.00428
-31.392315,0.090513,0.028928,-34.085187,0.064775,0.003857
-31.392315,0.090513,0.028928,-34.085187,0.064775,0.003857
-31.494041,0.089997,0.028412,-34.179714,0.064446,0.003528
-31.494041,0.089997,0.028412,-34.179714,0.064446,0.003528
-33.313335,0.083966,0.022381,-35.479987,0.052358,-0.008561
-33.313335,0.083966,0.022381,-35.479987,0.052358,-0.008561
-33.398704,0.083077,0.021492,-36.810575,0.081724,0.020806
-33.398704,0.083077,0.021492,-36.810575,0.081724,0.020806
-33.49079,0.082921,0.021336,-36.920201,0.080245,0.019327
-33.49079,0.082921,0.021336,-36.920201,0.080245,0.019327
-35.479973,0.074889,0.013304,-38.489853,0.061228,0.000309
-35.479973,0.074889,0.013304,-38.489853,0.061228,0.000309
-37.400299,0.074448,0.012863,-38.596408,0.061252,0.000334
-37.400299,0.074448,0.012863,-38.596408,0.061252,0.000334
-37.502735,0.074735,0.01315,-40.453896,0.062446,0.001528
-37.502735,0.074735,0.01315,-40.453896,0.062446,0.001528
-37.634687,0.07434,0.012756,-40.551887,0.062464,0.001545
-37.634687,0.07434,0.012756,-40.551887,0.062464,0.001545
-39.675789,0.072577,0.010992,-42.748337,0.062704,0.001785
-39.675789,0.072577,0.010992,-42.748337,0.062704,0.001785
-41.865946,0.072425,0.01084,-42.836363,0.06271,0.001791
-41.865946,0.072425,0.01084,-42.836363,0.06271,0.001791
-42.002174,0.072411,0.010826,-42.978987,0.062723,0.001804
-42.002174,0.072411,0.010826,-42.978987,0.062723,0.001804
-44.404435,0.072055,0.01047,-45.51288,0.062687,0.001768
-44.404435,0.072055,0.01047,-45.51288,0.062687,0.001768
-44.498115,0.07204,0.010455,-48.474237,0.06241,0.001491
-44.498115,0.07204,0.010455,-48.474237,0.06241,0.001491
-44.628044,0.072019,0.010434,-48.627817,0.062385,0.001467
-44.628044,0.072019,0.010434,-48.627817,0.062385,0.001467
-47.178662,0.071478,0.009893,-52.146019,0.061808,0.00089
-47.178662,0.071478,0.009893,-52.146019,0.061808,0.00089
-49.915546,0.070343,0.008758,-52.267617,0.061792,0.000873
-49.915546,0.070343,0.008758,-52.267617,0.061792,0.000873
-50.04977,0.070295,0.00871,-56.410267,0.060889,-0.000029
-50.04977,0.070295,0.00871,-56.410267,0.060889,-0.000029
-53.036955,0.069262,0.007677,-56.522864,0.060867,-0.000052
-53.036955,0.069262,0.007677,-56.522864,0.060867,-0.000052
-53.130662,0.069208,0.007623,-61.391731,0.060381,-0.000538
-53.130662,0.069208,0.007623,-61.391731,0.060381,-0.000538
-53.263293,0.069148,0.007563,-61.506271,0.060379,-0.00054
-53.263293,0.069148,0.007563,-61.506271,0.060379,-0.00054
-56.440859,0.067938,0.006353,-67.223706,0.059867,-0.001052
-56.440859,0.067938,0.006353,-67.223706,0.059867,-0.001052
-59.850475,0.066847,0.005262,-67.339308,0.059853,-0.001066
-59.850475,0.066847,0.005262,-67.339308,0.059853,-0.001066
-59.987889,0.066819,0.005234,-73.977243,0.059496,-0.001422
-59.987889,0.066819,0.005234,-73.977243,0.059496,-0.001422
-63.698201,0.066189,0.004604,-74.090722,0.059509,-0.00141
-63.698201,0.066189,0.004604,-74.090722,0.059509,-0.00141
-63.794126,0.066175,0.00459,-81.893495,0.060598,-0.00032
-63.794126,0.066175,0.00459,-81.893495,0.060598,-0.00032
-63.92996,0.06615,0.004565,-82,0.060644,-0.000274
-63.92996,0.06615,0.004565,-82,0.060644,-0.000274
-67.881648,0.064922,0.003337,-82.099811,0.060645,-0.000273
-67.881648,0.064922,0.003337,-82.099811,0.060645,-0.000273
-72.121916,0.063611,0.002026,-90,0.060919,0
-72.121916,0.063611,0.002026,,,
-72.261666,0.063589,0.002004,,,
-72.261666,0.063589,0.002004,,,
-76.86604,0.063266,0.001681,,,
-76.86604,0.063266,0.001681,,,
-76.959521,0.063254,0.001669,,,
-76.959521,0.063254,0.001669,,,
-77.050507,0.063248,0.001663,,,
-77.050507,0.063248,0.001663,,,
-82,0.063158,0.001573,,,
-82,0.063158,0.001573,,,
-85.922188,0.062353,0.000768,,,
-85.922188,0.062353,0.000768,,,
-86,0.062338,0.000753,,,
-86,0.062338,0.000753,,,
-86.077812,0.062323,0.000738,,,
-86.077812,0.062323,0.000738,,,
-90,0.061585,0,,,
