SEP=;
y;Uy;Uy_RESID
-15.840000;-0.027616;-0.015465
-15.903352;-0.027703;-0.015551
-15.903352;-0.027703;-0.015551
-16.867487;-0.028466;-0.016314
-16.867487;-0.028466;-0.016314
-16.962589;-0.028722;-0.016571
-16.962589;-0.028722;-0.016571
-17.926549;-0.030147;-0.017996
-17.926549;-0.030147;-0.017996
-17.990001;-0.030279;-0.018127
-17.990001;-0.030279;-0.018127
-18.659030;-0.031645;-0.019493
-18.659030;-0.031645;-0.019493
-18.740001;-0.031797;-0.019646
-18.740001;-0.031797;-0.019646
-18.820655;-0.031944;-0.019792
-18.820655;-0.031944;-0.019792
-19.490000;-0.031829;-0.019677
-19.490000;-0.031829;-0.019677
-20.159346;-0.032294;-0.020143
-20.159346;-0.032294;-0.020143
-20.240000;-0.032489;-0.020338
-20.240000;-0.032489;-0.020338
-20.321315;-0.032666;-0.020515
-20.321315;-0.032666;-0.020515
-20.990000;-0.033170;-0.021019
-20.990000;-0.033170;-0.021019
-21.829122;-0.033555;-0.021403
-21.829122;-0.033555;-0.021403
-21.938169;-0.033544;-0.021393
-21.938169;-0.033544;-0.021393
-22.082521;-0.033532;-0.021380
-22.082521;-0.033532;-0.021380
-22.980381;-0.033637;-0.021485
-22.980381;-0.033637;-0.021485
-23.961544;-0.033140;-0.020988
-23.961544;-0.033140;-0.020988
-24.111582;-0.032756;-0.020604
-24.111582;-0.032756;-0.020604
-25.232650;-0.032170;-0.020018
-25.232650;-0.032170;-0.020018
-25.356102;-0.032026;-0.019874
-25.356102;-0.032026;-0.019874
-26.606852;-0.029840;-0.017688
-26.606852;-0.029840;-0.017688
-26.721467;-0.029472;-0.017321
-26.721467;-0.029472;-0.017321
-28.043593;-0.028358;-0.016206
-28.043593;-0.028358;-0.016206
-28.156606;-0.028251;-0.016099
-28.156606;-0.028251;-0.016099
-29.636100;-0.028232;-0.016080
-29.636100;-0.028232;-0.016080
-29.749798;-0.028325;-0.016174
-29.749798;-0.028325;-0.016174
-31.392315;-0.028647;-0.016495
-31.392315;-0.028647;-0.016495
-31.494041;-0.028546;-0.016394
-31.494041;-0.028546;-0.016394
-33.313335;-0.023378;-0.011226
-33.313335;-0.023378;-0.011226
-33.398704;-0.023129;-0.010977
-33.398704;-0.023129;-0.010977
-33.490790;-0.022800;-0.010648
-33.490790;-0.022800;-0.010648
-35.479973;-0.014387;-0.002236
-35.479973;-0.014387;-0.002236
-37.400299;-0.013712;-0.001560
-37.400299;-0.013712;-0.001560
-37.502735;-0.013493;-0.001342
-37.502735;-0.013493;-0.001342
-37.634687;-0.013117;-0.000965
-37.634687;-0.013117;-0.000965
-39.675789;-0.012336;-0.000185
-39.675789;-0.012336;-0.000185
-41.865946;-0.012310;-0.000158
-41.865946;-0.012310;-0.000158
-42.002174;-0.012306;-0.000155
-42.002174;-0.012306;-0.000155
-44.404435;-0.012191;-0.000039
-44.404435;-0.012191;-0.000039
-44.498115;-0.012183;-0.000032
-44.498115;-0.012183;-0.000032
-44.628044;-0.012175;-0.000023
-44.628044;-0.012175;-0.000023
-47.178662;-0.011955;0.000197
-47.178662;-0.011955;0.000197
-49.915546;-0.011906;0.000246
-49.915546;-0.011906;0.000246
-50.049770;-0.011925;0.000226
-50.049770;-0.011925;0.000226
-53.036955;-0.011987;0.000165
-53.036955;-0.011987;0.000165
-53.130662;-0.011983;0.000169
-53.130662;-0.011983;0.000169
-53.263293;-0.011981;0.000171
-53.263293;-0.011981;0.000171
-56.440859;-0.011856;0.000295
-56.440859;-0.011856;0.000295
-59.850475;-0.011992;0.000160
-59.850475;-0.011992;0.000160
-59.987889;-0.012005;0.000147
-59.987889;-0.012005;0.000147
-63.698201;-0.012321;-0.000169
-63.698201;-0.012321;-0.000169
-63.794126;-0.012326;-0.000175
-63.794126;-0.012326;-0.000175
-63.929960;-0.012339;-0.000188
-63.929960;-0.012339;-0.000188
-67.881648;-0.012411;-0.000259
-67.881648;-0.012411;-0.000259
-72.121916;-0.012133;0.000019
-72.121916;-0.012133;0.000019
-72.261666;-0.012121;0.000031
-72.261666;-0.012121;0.000031
-76.866040;-0.012191;-0.000039
-76.866040;-0.012191;-0.000039
-76.959521;-0.012193;-0.000042
-76.959521;-0.012193;-0.000042
-77.050507;-0.012200;-0.000048
-77.050507;-0.012200;-0.000048
-82.000000;-0.012315;-0.000163
-82.000000;-0.012315;-0.000163
-85.922188;-0.012225;-0.000074
-85.922188;-0.012225;-0.000074
-86.000000;-0.012223;-0.000072
-86.000000;-0.012223;-0.000072
-86.077812;-0.012222;-0.000070
-86.077812;-0.012222;-0.000070
-90.000000;-0.012152;0.000000
