SEP=;
y;Ux;Ux_RESID
-15.840000;0.573808;0.513665
-16.818535;0.566571;0.506428
-16.818535;0.566571;0.506428
-18.088252;0.557196;0.497052
-18.088252;0.557196;0.497052
-18.183629;0.556355;0.496212
-18.183629;0.556355;0.496212
-18.281805;0.555461;0.495317
-18.281805;0.555461;0.495317
-19.547316;0.542726;0.482583
-19.547316;0.542726;0.482583
-20.769638;0.526116;0.465973
-20.769638;0.526116;0.465973
-20.908504;0.523877;0.463734
-20.908504;0.523877;0.463734
-21.052258;0.521135;0.460992
-21.052258;0.521135;0.460992
-22.268177;0.498110;0.437967
-22.268177;0.498110;0.437967
-23.432080;0.473969;0.413826
-23.432080;0.473969;0.413826
-23.625294;0.468905;0.408762
-23.625294;0.468905;0.408762
-23.827293;0.464026;0.403882
-23.827293;0.464026;0.403882
-24.980937;0.435195;0.375052
-24.980937;0.435195;0.375052
-26.070437;0.405907;0.345764
-26.070437;0.405907;0.345764
-26.334600;0.398998;0.338854
-26.334600;0.398998;0.338854
-26.614258;0.391864;0.331721
-26.614258;0.391864;0.331721
-27.687154;0.362093;0.301950
-27.687154;0.362093;0.301950
-28.687067;0.333308;0.273165
-28.687067;0.333308;0.273165
-29.038477;0.322030;0.261887
-29.038477;0.322030;0.261887
-29.413348;0.309940;0.249797
-29.413348;0.309940;0.249797
-30.388502;0.278732;0.218588
-30.388502;0.278732;0.218588
-31.295947;0.247162;0.187018
-31.295947;0.247162;0.187018
-31.735892;0.231133;0.170990
-31.735892;0.231133;0.170990
-32.202824;0.214320;0.154177
-32.202824;0.214320;0.154177
-33.079435;0.181572;0.121429
-33.079435;0.181572;0.121429
-33.908628;0.151102;0.090958
-33.908628;0.151102;0.090958
-34.418598;0.130866;0.070723
-34.418598;0.130866;0.070723
-34.956123;0.109082;0.048938
-34.956123;0.109082;0.048938
-35.754653;0.075401;0.015258
-35.754653;0.075401;0.015258
-36.044169;0.075249;0.015106
-36.044169;0.075249;0.015106
-36.822604;0.074865;0.014722
-36.822604;0.074865;0.014722
-37.724686;0.074458;0.014315
-37.724686;0.074458;0.014315
-38.437000;0.074167;0.014023
-38.437000;0.074167;0.014023
-39.769696;0.073656;0.013513
-39.769696;0.073656;0.013513
-40.318511;0.073453;0.013310
-40.318511;0.073453;0.013310
-40.772350;0.073286;0.013143
-40.772350;0.073286;0.013143
-42.209976;0.072771;0.012628
-42.209976;0.072771;0.012628
-43.815574;0.072222;0.012079
-43.815574;0.072222;0.012079
-44.167937;0.072114;0.011971
-44.167937;0.072114;0.011971
-44.520966;0.072006;0.011863
-44.520966;0.072006;0.011863
-46.165240;0.071482;0.011339
-46.165240;0.071482;0.011339
-47.753171;0.070968;0.010825
-47.753171;0.070968;0.010825
-48.211139;0.070822;0.010679
-48.211139;0.070822;0.010679
-48.720938;0.070659;0.010515
-48.720938;0.070659;0.010515
-50.280763;0.070170;0.010027
-50.280763;0.070170;0.010027
-51.651661;0.069743;0.009600
-51.651661;0.069743;0.009600
-52.369426;0.069513;0.009370
-52.369426;0.069513;0.009370
-53.300215;0.069219;0.009076
-53.300215;0.069219;0.009076
-54.546255;0.068825;0.008682
-54.546255;0.068825;0.008682
-55.333219;0.068563;0.008420
-55.333219;0.068563;0.008420
-57.304577;0.068021;0.007877
-57.304577;0.068021;0.007877
-60.762295;0.067124;0.006981
-60.762295;0.067124;0.006981
-61.432742;0.066943;0.006800
-61.432742;0.066943;0.006800
-62.032146;0.066771;0.006627
-62.032146;0.066771;0.006627
-65.547828;0.065636;0.005493
-65.547828;0.065636;0.005493
-69.358898;0.064213;0.004069
-69.358898;0.064213;0.004069
-69.659760;0.064127;0.003984
-69.659760;0.064127;0.003984
-69.941693;0.064049;0.003906
-69.941693;0.064049;0.003906
-73.771916;0.062852;0.002709
-73.771916;0.062852;0.002709
-77.810783;0.061567;0.001424
-77.810783;0.061567;0.001424
-77.885817;0.061538;0.001395
-77.885817;0.061538;0.001395
-77.957186;0.061513;0.001370
-77.957186;0.061513;0.001370
-82.000000;0.060319;0.000176
-82.000000;0.060319;0.000176
-85.978116;0.060223;0.000080
-85.978116;0.060223;0.000080
-86.000000;0.060223;0.000080
-86.000000;0.060223;0.000080
-86.021885;0.060223;0.000079
-86.021885;0.060223;0.000079
-90.000000;0.060143;0.000000
