SEP=;
y;Uy;Uy_RESID
-15.840000;-0.076455;-0.080925
-16.818535;-0.069341;-0.073812
-16.818535;-0.069341;-0.073812
-18.088252;-0.061692;-0.066162
-18.088252;-0.061692;-0.066162
-18.183629;-0.061229;-0.065699
-18.183629;-0.061229;-0.065699
-18.281805;-0.060748;-0.065219
-18.281805;-0.060748;-0.065219
-19.547316;-0.053328;-0.057798
-19.547316;-0.053328;-0.057798
-20.769638;-0.046138;-0.050608
-20.769638;-0.046138;-0.050608
-20.908504;-0.045331;-0.049801
-20.908504;-0.045331;-0.049801
-21.052258;-0.044542;-0.049012
-21.052258;-0.044542;-0.049012
-22.268177;-0.037335;-0.041805
-22.268177;-0.037335;-0.041805
-23.432080;-0.031650;-0.036121
-23.432080;-0.031650;-0.036121
-23.625294;-0.030913;-0.035383
-23.625294;-0.030913;-0.035383
-23.827293;-0.030281;-0.034751
-23.827293;-0.030281;-0.034751
-24.980937;-0.025779;-0.030250
-24.980937;-0.025779;-0.030250
-26.070437;-0.022162;-0.026632
-26.070437;-0.022162;-0.026632
-26.334600;-0.021198;-0.025668
-26.334600;-0.021198;-0.025668
-26.614258;-0.019971;-0.024442
-26.614258;-0.019971;-0.024442
-27.687154;-0.015984;-0.020454
-27.687154;-0.015984;-0.020454
-28.687067;-0.011978;-0.016448
-28.687067;-0.011978;-0.016448
-29.038477;-0.010426;-0.014896
-29.038477;-0.010426;-0.014896
-29.413348;-0.009148;-0.013618
-29.413348;-0.009148;-0.013618
-30.388502;-0.005838;-0.010308
-30.388502;-0.005838;-0.010308
-31.295947;-0.003058;-0.007528
-31.295947;-0.003058;-0.007528
-31.735892;-0.002239;-0.006709
-31.735892;-0.002239;-0.006709
-32.202824;-0.001323;-0.005793
-32.202824;-0.001323;-0.005793
-33.079435;0.000373;-0.004098
-33.079435;0.000373;-0.004098
-33.908628;0.001800;-0.002670
-33.908628;0.001800;-0.002670
-34.418598;0.002892;-0.001578
-34.418598;0.002892;-0.001578
-34.956123;0.003762;-0.000708
-34.956123;0.003762;-0.000708
-35.754653;0.004553;0.000083
-35.754653;0.004553;0.000083
-36.044169;0.004562;0.000092
-36.044169;0.004562;0.000092
-36.822604;0.004578;0.000108
-36.822604;0.004578;0.000108
-37.724686;0.004579;0.000109
-37.724686;0.004579;0.000109
-38.437000;0.004577;0.000106
-38.437000;0.004577;0.000106
-39.769696;0.004572;0.000102
-39.769696;0.004572;0.000102
-40.318511;0.004569;0.000098
-40.318511;0.004569;0.000098
-40.772350;0.004566;0.000096
-40.772350;0.004566;0.000096
-42.209976;0.004555;0.000085
-42.209976;0.004555;0.000085
-43.815574;0.004536;0.000065
-43.815574;0.004536;0.000065
-44.167937;0.004531;0.000061
-44.167937;0.004531;0.000061
-44.520966;0.004529;0.000058
-44.520966;0.004529;0.000058
-46.165240;0.004519;0.000049
-46.165240;0.004519;0.000049
-47.753171;0.004515;0.000045
-47.753171;0.004515;0.000045
-48.211139;0.004512;0.000042
-48.211139;0.004512;0.000042
-48.720938;0.004508;0.000038
-48.720938;0.004508;0.000038
-50.280763;0.004492;0.000022
-50.280763;0.004492;0.000022
-51.651661;0.004479;0.000009
-51.651661;0.004479;0.000009
-52.369426;0.004472;0.000002
-52.369426;0.004472;0.000002
-53.300215;0.004461;-0.000010
-53.300215;0.004461;-0.000010
-54.546255;0.004447;-0.000023
-54.546255;0.004447;-0.000023
-55.333219;0.004432;-0.000038
-55.333219;0.004432;-0.000038
-57.304577;0.004386;-0.000085
-57.304577;0.004386;-0.000085
-60.762295;0.004316;-0.000154
-60.762295;0.004316;-0.000154
-61.432742;0.004310;-0.000160
-61.432742;0.004310;-0.000160
-62.032146;0.004304;-0.000166
-62.032146;0.004304;-0.000166
-65.547828;0.004295;-0.000175
-65.547828;0.004295;-0.000175
-69.358898;0.004334;-0.000136
-69.358898;0.004334;-0.000136
-69.659760;0.004333;-0.000137
-69.659760;0.004333;-0.000137
-69.941693;0.004335;-0.000135
-69.941693;0.004335;-0.000135
-73.771916;0.004374;-0.000096
-73.771916;0.004374;-0.000096
-77.810783;0.004406;-0.000064
-77.810783;0.004406;-0.000064
-77.885817;0.004406;-0.000064
-77.885817;0.004406;-0.000064
-77.957186;0.004406;-0.000064
-77.957186;0.004406;-0.000064
-82.000000;0.004422;-0.000048
-82.000000;0.004422;-0.000048
-85.978116;0.004464;-0.000006
-85.978116;0.004464;-0.000006
-86.000000;0.004464;-0.000006
-86.000000;0.004464;-0.000006
-86.021885;0.004465;-0.000006
-86.021885;0.004465;-0.000006
-90.000000;0.004470;0.000000
